PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
29-01901,68,2,1,0,1,0,12,1,1,16.3,8180,11,6,3500.0,5,347,N,2,2,2,2,18,24,13664
24-01004,60,1,1,0,6,0,2,1,1,4436.953645045525,7570,10,11,94070.0,8,501,N,2,2,2,2,65,65,9924
38-00100,39,2,1,0,1,4,6,1,1,267.33859041399035,2090,0,5,53380.0,1,51,N,2,2,2,2,191,186,19695
36-04010,27,2,6,0,1,0,N,1,2,50672.09835309042,8770,14,9,610000.0,7,46,N,2,2,2,2,178,177,16794
51-01301,2,1,N,0,1,3,3,1,1,11092.079806225958,9920,9,12,98500.0,9,50,N,N,N,2,2,64,62,25049
51-51255,21,1,6,0,1,0,2,1,2,11291.6343919567,9090,15,5,51700.0,1,453,N,2,2,2,2,134,178,23166
36-03710,38,2,1,0,2,2,5,1,1,50108.877991590176,8192,11,12,28700.0,4,191,N,2,2,2,2,56,58,16000
26-02702,41,2,6,0,2,0,9,1,2,2556.1027290709344,5680,18,7,337000.0,5,257,N,2,2,2,2,34,34,11755
36-03710,39,2,1,0,1,0,2,1,1,50231.77480158485,9920,9,5,101600.0,1,500,N,1,2,2,2,27,31,16481
32-00405,36,2,6,2,8,0,2,1,2,52632.09055396942,4585,5,5,-7250.0,0,90,N,2,2,2,2,75,67,16678
19-01700,46,2,6,1,1,2,3,1,2,3597.402316961446,5490,6,1,31210.0,5,153,N,2,2,2,2,134,134,7438
08-00803,47,2,2,0,6,2,8,1,1,3648.8226330073508,8980,14,3,198200.0,3,197,N,2,2,2,2,36,31,4787
29-01901,69,2,1,0,1,0,12,1,1,16.3,9920,9,4,118300.0,2,193,N,2,2,2,2,40,58,13517
24-01004,63,1,2,0,1,N,N,3,0,4549.229726467188,8270,12,5,33860.0,4,256,N,2,2,2,2,23,2,9709
26-02702,18,2,6,0,6,N,N,3,0,4885.0176916370765,7890,11,7,330000.0,5,N,N,2,2,2,2,115,0,10667
01-01301,19,1,6,0,1,N,9,3,0,2642.583282688961,9920,9,6,-6400.0,0,97,N,2,2,2,2,69,0,0
36-04010,37,2,1,0,1,3,4,1,1,28.670178045620506,8180,11,10,-900.0,8,500,N,2,2,2,2,318,244,18215
06-07502,67,1,1,0,6,0,2,1,2,33912.169915533894,770,10,3,10700.0,2,71,N,1,2,1,2,81,80,1892
40-00200,19,1,6,0,1,1,3,1,1,220.0291043426852,N,N,4,10040.0,0,489,N,2,2,2,2,42,32,21096
17-03529,40,1,6,0,2,0,9,1,2,11146.588834352786,7280,1,6,29450.0,4,221,N,2,2,2,2,178,177,5492
13-04600,85,2,3,0,2,0,5,1,2,3775.495627329142,N,N,5,85700.0,2,149,N,2,1,2,2,60,49,4799
36-04010,57,1,1,0,2,0,4,1,1,50885.35356771718,4585,5,6,63600.0,7,459,N,2,2,2,2,128,127,16942
29-01901,0,2,N,0,2,2,4,1,2,5564.01539833506,N,N,N,N,N,5,N,N,N,2,2,186,257,26962
29-01901,24,1,6,4,1,0,N,1,2,3220.816343388344,7790,3,3,179900.0,4,137,N,2,2,2,2,146,139,13435
32-00405,6,1,N,0,9,3,3,1,2,52770.8633524665,9920,9,2,9970.0,9,177,N,2,2,2,2,50,53,23587
01-01301,24,2,6,0,6,0,9,1,2,33205.90671828057,7290,1,8,12690.0,8,50,N,2,2,2,2,102,105,1209
30-00600,28,1,1,0,1,1,3,1,1,62.692991362673176,4972,1,4,83800.0,9,501,N,2,2,2,2,127,110,14250
38-00100,53,2,1,0,1,0,4,1,1,147.345425902109,9690,16,9,28000.0,4,501,N,2,2,2,2,59,58,19185
19-01700,26,2,6,0,1,0,9,1,2,4107.029238937706,680,8,8,144260.0,8,500,N,2,2,2,2,78,78,9943
06-08507,54,1,4,0,6,0,9,1,1,3056.9409364065523,4480,5,6,61100.0,6,50,N,2,2,2,2,79,80,2539
01-01301,22,1,6,1,1,0,3,1,2,2915.043345182976,7780,10,7,210400.0,4,212,N,2,2,2,2,89,135,735
26-02702,20,1,6,0,1,N,N,3,0,4835.22488105553,N,N,7,140030.0,3,N,N,2,2,2,2,13,0,10584
38-00100,74,2,3,0,1,0,9,1,1,16.3,9920,9,4,22500.0,4,186,N,2,2,2,2,110,112,19601
29-01901,7,1,N,0,1,6,7,1,1,16.3,9920,9,2,98500.0,9,126,N,2,2,2,2,9,13,26445
28-01100,74,1,1,0,2,0,3,1,1,5395.642196204608,9920,9,2,204300.0,3,360,N,2,2,2,2,59,57,12523
17-03531,21,1,1,0,2,2,3,1,2,3245.3952056894695,7770,1,4,55730.0,7,226,N,2,2,2,2,308,296,6828
19-01700,59,1,1,0,6,0,12,1,1,3985.717984297781,6970,8,6,32600.0,3,342,N,2,2,2,2,62,63,8699
06-07502,14,1,6,0,1,3,6,1,1,3238.896404358247,9920,9,2,-7600.0,0,500,N,2,2,2,2,59,59,2390
26-02702,33,1,1,0,2,1,2,1,1,2440.1493357778136,590,6,6,55230.0,7,500,N,2,2,2,2,190,196,11437
36-04010,38,2,6,0,9,1,6,1,1,51166.44116282825,7870,11,9,135770.0,9,51,N,2,2,2,2,43,52,18032
36-04010,65,1,1,0,2,0,2,1,1,50925.20682447975,8191,12,4,12400.0,3,412,N,2,2,2,2,85,75,17621
01-01301,18,1,6,0,2,3,5,1,2,2981.9881114603036,N,N,4,10020.0,0,13,N,2,2,2,2,443,325,779
32-00405,79,1,3,0,2,0,9,1,2,52163.178116242525,9920,9,5,20040.0,3,163,N,1,1,1,2,136,139,16360
38-00100,28,1,6,0,1,0,3,1,1,157.81624952132734,8790,14,5,145300.0,2,172,N,2,2,2,2,17,43,18832
29-01901,57,2,1,0,1,0,12,1,1,16.3,9490,15,4,98920.0,8,500,N,2,2,2,2,18,21,13481
51-01301,0,2,N,0,1,2,4,1,1,11165.61453315447,N,N,N,N,N,501,N,N,N,2,2,81,84,25761
17-03529,39,1,1,0,6,0,2,1,1,15296.772443847565,7870,11,10,40010.0,5,51,N,2,2,2,2,94,108,8111
30-00600,3,2,N,0,1,2,3,1,2,7959.644246574398,9920,9,12,99500.0,9,211,N,N,N,2,2,54,53,23078
13-04600,40,2,6,0,2,0,N,1,2,3721.356098369528,6070,7,7,305200.0,5,230,N,2,2,2,2,83,83,4897
17-03531,47,2,6,0,2,0,9,1,1,11281.4724148995,6290,7,7,32600.0,5,260,N,2,2,2,2,91,59,8102
17-03529,76,2,6,0,2,0,3,1,2,15141.807855319328,N,N,3,145200.0,3,366,N,2,2,2,2,110,111,5774
38-00100,11,1,N,4,1,0,4,1,1,171.07906971232092,N,N,3,N,N,430,N,2,2,2,2,62,32,24851
51-01301,32,2,2,0,2,0,12,1,2,11189.708969105268,8090,11,7,-9000.0,1,228,N,2,2,2,2,1962,263,21371
26-02702,22,2,6,0,2,0,2,1,2,2609.9315134271546,3170,3,4,24500.0,4,270,N,2,2,2,2,214,189,12049
19-01700,38,1,1,0,1,1,2,1,1,4098.061252895579,9470,15,11,140100.0,8,500,N,2,2,2,2,53,49,9984
01-01301,81,2,3,0,2,0,9,1,1,2588.1235186577305,7860,10,6,157900.0,3,130,N,2,1,2,2,82,82,104
38-00100,60,2,1,0,1,0,2,1,1,84.00110272679159,N,N,7,34220.0,1,287,N,2,1,2,2,58,58,19218
24-01004,6,2,N,0,1,2,4,1,1,4270.955660187019,N,N,3,N,N,7,N,2,2,2,2,63,69,26442
40-00200,29,2,6,0,1,0,9,1,2,10977.979013736618,7280,1,1,76350.0,7,50,N,2,2,2,2,100,108,19861
17-03531,67,2,6,0,2,0,2,1,1,11242.225476798621,8191,12,10,10020.0,8,501,N,2,2,2,2,78,76,7029
17-03531,68,2,6,0,2,0,2,1,1,11216.531481041862,N,N,4,105500.0,2,88,N,2,2,2,2,63,50,7601
28-01100,20,2,6,0,2,0,3,1,1,2690.935090315117,5180,6,7,77100.0,2,501,N,2,2,2,2,142,99,11580
24-01004,38,1,1,0,1,3,4,1,1,4436.2274600282035,7790,10,11,397000.0,8,50,N,2,2,2,2,55,66,10158
13-04600,64,2,6,0,2,0,9,1,1,14876.957679416986,9920,9,1,79200.0,7,50,N,2,2,2,2,46,47,5024
51-01301,50,2,6,0,1,0,12,1,1,11140.167737650167,7780,10,1,98390.0,7,500,N,2,2,2,2,103,61,20956
51-01301,68,2,4,3,1,0,N,1,2,11231.024646761816,N,N,8,660000.0,7,501,N,2,1,2,2,181,179,21922
36-04010,82,2,3,0,1,0,2,1,1,27.869605850910457,4972,5,4,105440.0,1,123,N,2,2,2,2,43,43,18885
01-01301,72,2,1,0,2,0,3,1,1,2648.772478073294,9920,9,6,81650.0,1,237,N,2,2,2,2,114,93,0
08-00803,9,1,N,0,2,2,2,1,1,3580.8383579291635,9920,9,2,99300.0,9,141,N,1,2,2,2,36,30,24843
24-01004,21,1,6,0,2,1,11,1,1,4299.608770636259,N,N,4,100010.0,0,501,N,2,2,2,2,69,74,9612
06-08507,45,1,2,0,1,0,N,1,1,3345.901935821219,8680,14,10,108900.0,2,82,N,2,2,2,2,138,131,855
32-00405,49,2,6,4,1,0,12,1,2,52626.10934790185,8370,12,6,37150.0,4,277,N,2,2,2,2,98,99,17061
40-00200,75,1,1,0,3,0,2,1,1,272.14772896265714,4680,5,4,45500.0,6,390,N,2,2,2,2,314,327,21579
36-04010,64,1,1,0,1,0,12,1,1,16.3,9920,9,6,65050.0,0,50,N,2,2,2,2,13,8,17098
24-01004,56,2,1,0,9,0,2,1,2,4730.264303949614,9920,9,7,-7600.0,0,248,N,2,2,2,2,146,76,10435
36-03710,0,1,N,0,2,2,4,1,2,50150.557856461826,9920,9,9,99100.0,9,500,N,N,N,2,2,280,181,23146
24-01004,79,2,3,0,1,0,N,1,1,4274.483502737068,N,N,7,52040.0,6,431,N,2,2,2,2,80,80,10035
30-00600,52,2,1,0,1,1,3,1,1,58.818679550712986,1880,0,9,210800.0,4,501,N,2,2,2,2,9,10,15024
17-03529,0,2,N,0,2,0,4,1,1,11082.164321138513,9920,9,9,98920.0,9,305,N,N,N,2,2,170,84,24747
38-00100,81,2,3,0,3,0,9,1,1,41.226890900922854,9920,9,2,11690.0,2,96,N,2,1,2,2,22,21,19433
06-08507,42,2,1,0,6,0,3,1,1,3391.8520092825243,3490,4,9,100130.0,8,501,N,2,2,2,2,135,99,2834
51-51255,60,1,1,0,6,0,4,1,2,11261.00681102563,770,3,6,188200.0,3,444,N,2,2,2,2,51,51,21447
06-08507,8,2,N,0,1,3,4,1,2,3336.9373764134434,9920,9,2,99500.0,9,500,N,2,2,2,2,74,73,24399
51-01301,81,1,1,0,1,0,12,1,1,11145.930492577147,9920,9,11,18900.0,2,500,N,1,2,2,2,60,62,21919
28-01100,65,2,6,0,2,0,12,1,2,5323.1069394888145,7790,10,7,214090.0,3,140,N,2,2,2,2,120,121,12716
40-00200,30,1,6,0,1,0,12,1,1,11116.161415908095,7380,1,8,94600.0,7,500,N,2,2,2,2,71,90,22145
06-08507,37,2,1,0,1,2,4,1,2,3470.424153944662,7460,10,9,62100.0,1,501,N,2,2,2,2,98,98,2346
17-03529,26,2,6,0,2,0,12,1,1,11074.859488854863,8170,11,8,216100.0,3,218,N,2,2,2,2,197,92,6000
36-03710,14,1,N,0,1,4,5,1,2,52864.7,N,N,3,N,N,1,N,2,2,2,2,280,201,23753
01-01301,72,1,1,0,1,0,12,1,1,33532.73854303209,9920,9,1,11700.0,7,500,N,2,2,2,1,79,79,1015
26-02702,15,1,6,0,9,2,4,1,1,4930.714346315885,N,N,4,10000.0,0,501,N,2,2,2,2,78,71,11131
36-03710,9,2,N,0,2,0,3,1,1,49392.9766179514,9920,9,2,98390.0,9,254,N,2,2,2,2,80,110,22289
28-01100,39,2,1,0,2,2,5,1,1,2868.0253587119023,6690,8,8,447000.0,7,418,N,2,2,2,2,93,118,12835
06-07502,65,1,3,0,6,0,N,1,2,33704.972715737815,9070,15,5,120500.0,3,N,N,2,2,2,2,86,87,2386
26-02702,69,2,1,0,2,0,2,1,1,4869.990000111572,9920,9,3,1600.0,2,394,N,1,2,2,2,78,65,11115
38-00100,73,2,2,0,9,0,9,1,1,16.3,9920,9,4,2200.0,4,186,N,2,1,2,2,28,39,18798
19-01700,32,2,1,0,6,2,3,1,2,3883.7480553483874,9920,9,8,-1070.0,0,50,N,2,2,2,2,44,47,7497
38-00100,8,1,N,0,3,3,3,1,2,16.3,9920,9,2,98920.0,9,435,N,1,2,2,2,175,178,24068
40-00200,5,2,N,0,1,2,3,1,1,11059.551905421837,9920,9,2,98730.0,9,500,N,2,2,2,2,90,92,25209
13-04600,55,1,4,0,2,0,N,1,1,3760.745088183106,770,3,5,87250.0,1,65,N,2,2,2,2,95,59,4837
01-01301,43,1,6,0,1,0,2,1,1,33191.12461606379,7680,2,8,188200.0,3,50,N,2,2,2,2,158,77,2052
17-03531,44,1,1,0,1,1,2,1,1,3470.7396360100615,4090,4,8,39300.0,8,500,N,2,2,2,2,103,112,7782
28-01100,65,2,6,0,2,0,9,1,1,5050.884426090341,8170,11,4,22940.0,3,184,N,2,2,2,2,86,86,11832
08-00803,40,1,6,0,2,N,9,2,0,3604.799444182068,8680,14,5,590000.0,1,98,N,2,2,2,2,54,0,4086
17-03529,33,1,6,0,2,2,3,1,2,15156.015430713756,9920,18,5,10000.0,0,10,N,2,2,2,2,227,224,6929
19-01700,2,2,N,0,9,1,2,1,2,3842.887291706259,N,N,N,N,N,131,N,N,N,2,2,273,221,25910
36-04010,86,1,6,0,1,0,9,1,1,16.3,9920,9,2,125050.0,1,100,N,1,2,1,1,76,78,18756
36-04010,43,2,1,0,2,2,4,1,1,50676.597065932656,7860,11,9,71700.0,7,501,N,2,2,2,2,138,168,16600
38-00100,18,2,6,0,1,0,3,1,1,81.24903855245748,8270,12,5,40100.0,1,385,N,2,2,2,2,213,312,19360
01-01301,18,2,6,0,1,N,N,3,0,2755.965588088087,N,N,7,10.0,0,N,N,2,2,2,2,73,0,116
06-08507,64,1,4,0,1,1,12,1,1,3083.7585285703153,9920,9,6,313000.0,4,180,N,2,2,2,2,90,90,3054
38-00100,61,1,1,0,1,0,3,1,1,121.53881331361103,1790,0,5,68100.0,8,455,N,2,2,2,2,92,91,19247
38-00100,59,2,4,0,1,0,2,1,1,274.80853966246934,4980,6,9,183000.0,3,192,N,2,2,2,2,65,63,21129
32-00405,11,2,N,4,8,5,6,1,2,8038.194638099163,N,N,3,N,N,91,N,2,2,2,2,168,183,23459
36-03710,38,2,6,0,2,N,N,2,0,52864.7,N,N,5,100500.0,0,N,N,2,2,2,2,70,2,17238
30-00600,29,1,1,1,1,0,3,1,2,7905.288320885684,8680,14,3,241000.0,3,413,N,2,2,2,2,335,330,14738
24-01004,24,2,6,0,1,0,9,1,2,4459.8129093955995,7790,10,1,279200.0,4,207,N,2,2,2,2,98,97,9942
51-01301,52,1,6,0,1,0,9,1,1,11086.466808076153,7380,1,8,550000.0,6,422,N,2,2,2,2,56,57,21243
30-00600,9,2,N,1,1,3,3,1,1,7791.367279499894,9920,9,2,98600.0,9,119,N,2,2,2,2,63,69,22328
29-01901,50,1,4,0,2,0,3,1,1,3099.9259075725654,8192,12,7,22700.0,5,224,N,2,2,2,2,131,66,13812
24-01004,35,2,1,0,9,2,4,1,2,4330.555871018574,N,N,5,100100.0,0,322,N,2,2,2,2,61,138,10740
06-07502,80,2,1,0,1,0,2,1,1,33742.45001541867,N,N,9,410000.0,2,264,N,2,2,2,2,118,117,1495
51-51255,42,2,1,0,6,2,4,1,1,11281.642648647516,7860,11,10,132800.0,2,501,N,2,2,2,2,64,47,22006
38-00100,62,1,1,0,1,0,2,1,1,171.79220020546245,N,N,9,100190.0,0,202,N,2,2,2,2,43,31,19146
29-01901,28,2,6,0,2,0,8,1,2,3177.6714838303196,9920,2,5,10110.0,0,148,N,2,2,2,2,71,44,13749
29-01901,70,2,1,0,1,0,12,1,1,16.3,9920,9,4,3200.0,4,307,N,2,2,2,2,274,269,13385
36-04010,4,1,N,0,1,3,4,1,1,26.8404172268797,9920,9,1,99100.0,9,246,N,2,2,2,2,52,47,24078
06-07502,1,2,N,0,6,2,4,1,2,33791.35123627399,N,N,N,N,N,501,N,N,N,2,2,69,66,24236
08-00803,58,2,4,0,2,0,2,1,1,3432.1880399568654,9160,15,4,196400.0,3,356,N,2,1,2,2,22,19,4179
32-00405,0,1,N,1,1,2,3,1,2,8093.242305485753,N,N,N,N,N,394,N,N,N,2,2,119,95,23597
29-01901,64,2,1,0,1,0,12,1,1,16.3,8270,13,6,19530.0,3,306,N,2,2,2,2,8,17,12419
06-08507,15,2,6,1,1,N,9,3,0,3155.118493405548,9920,9,6,-1800.0,0,94,N,2,2,2,2,70,0,2191
24-01004,16,1,6,0,1,3,5,1,1,4371.500707668269,N,N,4,100130.0,0,501,N,2,2,2,2,84,71,9166
36-04010,23,2,6,0,1,0,5,1,1,16.3,8191,11,7,2360.0,3,500,N,2,2,2,2,56,65,17994
36-04010,9,1,N,1,3,1,4,1,2,16.3,9920,9,2,98730.0,9,115,N,2,2,2,2,155,95,23587
08-00803,22,1,6,0,9,N,N,3,0,3721.422611804872,8891,14,7,38600.0,1,N,N,2,2,2,2,18,1,3917
36-04010,35,2,6,0,2,3,4,1,2,51319.572269849516,8180,12,7,100400.0,0,107,N,2,2,2,2,85,107,17753
38-00100,64,2,4,0,1,0,2,1,1,140.75277376124197,7290,10,5,47600.0,6,394,N,2,2,2,2,189,189,19033
19-01700,60,1,1,0,1,0,4,1,1,3976.9341776676906,2290,4,4,47500.0,6,346,N,2,2,2,2,137,132,9022
38-00100,53,1,4,0,3,0,9,1,1,68.83498769689197,7690,2,3,0.0,2,73,N,2,2,2,2,109,110,20441
06-07502,36,2,6,0,1,0,N,1,2,34271.09986558631,7460,10,9,165050.0,9,51,N,2,2,2,2,215,217,4030
17-03529,80,1,1,0,2,0,12,1,1,11141.490482156367,9920,9,7,207200.0,3,152,N,2,2,2,2,107,130,6242
01-01301,21,2,6,0,1,N,N,3,0,2934.351336183775,7880,11,7,100200.0,2,N,N,2,2,2,2,96,1,363
30-00600,86,2,3,0,1,0,N,1,1,77.889743561193,N,N,5,20900.0,0,102,N,2,1,1,1,56,56,14216
17-03529,72,1,4,0,2,0,9,1,1,11108.804026122307,9920,9,1,57900.0,6,482,N,2,2,2,2,106,75,6628
06-07502,53,2,1,0,1,0,2,1,2,33864.79094208586,6570,8,9,260500.0,9,501,N,2,2,2,2,193,206,2385
06-08507,9,1,N,0,1,1,3,1,2,3365.1566437906736,N,N,3,N,N,501,N,2,2,2,2,53,53,24191
13-04600,45,2,4,0,2,0,2,1,2,14908.896878553154,4680,5,6,255500.0,3,178,N,2,2,2,2,176,150,4601
30-00600,63,2,4,0,9,0,2,1,2,7853.789257905703,9920,9,7,-2000.0,0,147,N,2,2,1,1,88,39,14743
17-03531,48,2,6,0,1,0,9,1,1,3225.0075079822273,9070,15,7,423200.0,6,324,N,2,2,2,2,68,87,6113
36-04010,59,1,1,0,2,0,2,1,1,50561.15065314648,7680,10,5,283000.0,4,407,N,2,2,2,2,197,231,16438
38-00100,30,2,1,0,9,2,4,1,1,101.39255432838723,8680,14,7,161000.0,3,144,N,2,2,2,2,27,35,18062
40-00200,84,1,4,0,3,0,N,1,2,236.84395945797164,N,N,5,164500.0,4,134,N,2,1,1,2,47,48,20964
19-01700,48,2,5,0,1,1,2,1,1,3979.10504908363,7080,9,7,5020.0,6,292,N,2,2,2,2,135,129,9563
06-08507,73,1,3,0,6,0,2,1,1,3511.0013065920302,4580,5,12,152220.0,9,501,N,2,2,2,2,52,52,1641
01-01301,7,2,N,0,2,3,4,1,2,2785.381048569994,N,N,3,N,N,382,N,2,2,2,2,174,315,23530
24-01004,3,1,N,0,6,2,5,1,1,4363.521263695598,N,N,N,N,N,501,N,N,N,2,2,87,120,26724
38-00100,1,1,N,0,3,5,7,1,1,143.19412810005525,N,N,N,N,N,336,N,N,N,2,2,163,120,24670
06-08507,28,2,6,0,9,0,2,1,1,3649.9755633717946,6770,8,9,76020.0,7,51,N,2,2,2,2,113,60,2845
40-00200,48,1,1,0,6,2,4,1,1,11073.256258446803,8780,14,8,281000.0,0,306,N,2,2,2,2,63,94,20740
28-01100,62,2,6,0,2,0,9,1,1,5398.98650380663,1270,3,4,209000.0,3,157,N,2,2,2,2,59,50,13156
36-03710,58,2,1,0,2,0,12,1,1,49418.90848486089,8170,12,6,27900.0,4,50,N,2,2,2,2,50,34,15899
36-03710,26,2,6,0,2,0,12,1,2,49179.315636750725,8180,11,3,27000.0,4,155,N,2,2,2,2,122,128,15032
30-00600,95,1,6,0,3,0,N,1,1,111.01977259205921,N,N,5,1920.0,1,152,2,2,2,1,1,28,31,15373
38-00100,44,2,1,0,1,0,2,1,1,94.21556957351305,6992,9,9,40700.0,5,501,N,2,2,2,2,183,184,18569
36-03710,21,1,6,4,1,0,4,1,2,52864.7,5381,6,7,24310.0,4,456,N,2,2,2,2,378,327,16965
30-00600,52,2,1,1,8,0,2,1,2,7965.3453540569435,9920,9,3,-8400.0,0,190,N,2,2,2,2,131,135,15587
06-08507,36,2,6,0,1,0,9,1,2,3204.228863595343,8980,14,8,-6400.0,7,500,N,2,2,2,2,192,162,3336
36-03710,12,2,N,3,1,5,8,1,2,52864.7,N,N,3,N,N,190,N,2,2,2,2,140,91,24353
40-00200,75,2,3,0,3,0,2,1,1,148.30069163898906,N,N,9,207200.0,4,200,N,2,1,2,2,57,57,21004
24-01004,8,1,N,0,1,2,4,1,1,4215.979546172317,N,N,3,N,N,501,N,2,2,2,2,51,49,26330
51-01301,46,1,1,0,1,2,4,1,1,11263.754054106272,7470,10,10,125000.0,8,501,N,2,2,2,2,84,76,22316
32-00405,62,1,1,0,1,0,3,1,2,7999.247073951226,N,N,7,153300.0,3,315,N,2,1,2,2,50,50,15920
13-04600,11,2,N,0,2,2,3,1,2,3693.1277444299653,N,N,3,N,N,218,N,2,2,2,2,95,100,25034
38-00100,38,1,1,0,1,2,4,1,1,84.86729185010974,N,N,5,200400.0,3,141,N,2,2,2,2,34,34,17926
19-01700,74,2,3,0,2,0,3,1,1,4060.371241260957,7790,10,1,148500.0,8,500,N,2,2,2,2,83,84,7979
08-00803,22,1,6,1,1,0,9,1,2,3251.914035933189,9190,16,8,81030.0,7,50,N,2,2,2,2,19,15,3551
36-03710,88,2,6,4,2,0,2,1,1,49889.855912855295,9920,9,4,97000.0,1,500,N,1,1,2,2,30,37,15752
38-00100,55,2,3,0,1,0,12,1,1,16.3,9920,9,4,15020.0,3,140,N,2,2,2,2,92,91,19356
40-00200,40,1,1,0,1,3,4,1,1,11078.007991678447,9380,15,1,13650.0,8,452,N,2,2,2,2,101,102,21838
19-01700,71,1,1,0,1,0,2,1,1,3617.3907266472015,N,N,7,36100.0,9,501,N,2,2,2,1,86,86,7940
08-00803,4,1,N,1,8,1,2,1,2,3562.8512960280955,N,N,1,N,N,131,N,N,N,2,2,35,59,25106
32-00405,20,2,6,1,1,1,4,1,2,8051.165677030758,5470,6,5,100120.0,2,77,N,2,2,2,2,59,46,16069
40-00200,75,2,4,0,1,0,2,1,2,179.08075424449572,8290,12,4,110730.0,3,73,N,2,2,2,2,51,51,20426
51-01301,58,2,1,0,1,0,12,1,1,11109.062889415849,9920,9,7,167050.0,2,471,N,1,1,2,2,90,82,21179
17-03531,9,2,N,0,1,2,4,1,2,3525.3555125776325,9920,9,2,99500.0,9,281,N,2,2,2,2,69,79,25297
19-01700,56,1,1,0,1,0,3,1,1,3720.3082460342252,770,3,5,24700.0,4,393,N,2,2,2,2,107,113,8450
24-01004,25,1,6,0,1,0,9,1,1,4394.6850304302225,7290,1,8,56010.0,6,437,N,2,2,2,2,73,73,9638
36-04010,3,2,N,0,1,4,5,1,2,65.45689656976076,9920,9,12,99800.0,9,382,N,N,N,2,2,162,135,24470
51-01301,59,1,6,0,1,0,9,1,1,11091.325169858977,9080,15,1,7600.0,6,50,N,2,2,2,2,86,86,21766
26-02702,45,1,1,0,6,3,5,1,2,4967.976814625015,7870,11,12,473000.0,1,155,N,2,2,2,2,168,167,11253
29-01901,60,1,6,0,2,0,2,1,1,5853.656877747208,6290,7,7,820.0,8,51,N,2,2,2,2,54,49,13771
38-00100,38,2,1,0,3,1,3,1,1,102.24080433065231,N,N,7,10000.0,0,62,N,2,2,2,2,46,46,19782
06-08507,44,1,1,0,6,2,4,1,1,34722.54642731445,6270,6,9,306000.0,9,52,N,2,2,2,2,75,74,2884
19-01700,53,2,6,4,1,0,9,1,2,3915.93844844751,9180,15,4,223200.0,8,50,N,2,2,2,2,61,62,9047
17-03529,55,1,4,0,2,2,6,1,1,11122.441512970609,7860,10,11,-8400.0,1,135,N,2,2,2,2,123,98,5277
29-01901,69,2,1,0,1,0,12,1,1,16.3,9920,9,8,96600.0,1,242,N,2,2,2,2,100,101,13922
40-00200,47,2,1,0,1,2,3,1,1,11118.29302274945,9470,15,8,-900.0,7,500,N,2,2,2,2,48,45,20715
06-08507,71,1,1,0,1,0,12,1,1,3217.04038529439,7790,10,11,211000.0,8,500,N,2,2,2,2,51,47,3021
30-00600,10,2,N,0,1,3,4,1,1,32.523322605531305,N,N,3,N,N,255,N,2,2,2,2,105,110,26959
29-01901,63,2,6,0,2,0,3,1,2,5628.866622107967,4480,5,4,123000.0,3,264,N,2,2,2,2,81,80,13209
51-51255,28,2,6,0,1,0,N,1,2,11277.305075719778,6992,9,10,6160.0,7,466,N,2,2,2,2,54,49,21455
19-01700,72,1,1,0,1,0,12,1,1,3892.16294205971,8980,14,11,30270.0,8,50,N,2,2,2,2,44,45,8510
30-00600,66,2,3,0,3,1,4,1,2,72.94103558484022,N,N,6,112000.0,1,123,N,2,1,2,2,25,26,13777
19-01700,12,1,N,0,1,2,3,1,1,4167.119540111566,9920,9,2,9970.0,9,500,N,2,2,2,2,63,55,26258
36-04010,52,2,1,0,1,0,4,1,1,19.607961250080443,8080,11,8,671000.0,7,500,N,2,2,2,2,198,119,18375
06-07502,18,1,6,0,2,N,N,3,0,33926.84165522155,8563,13,5,52000.0,6,389,N,1,2,2,1,6,1,1027
17-03529,93,1,3,0,2,0,9,1,2,11146.85125637071,9920,9,3,165800.0,2,133,N,2,2,2,2,243,245,6084
17-03531,81,2,3,0,2,0,3,1,1,11300.300569189063,N,N,4,21520.0,3,N,N,2,1,2,2,222,224,8193
24-01004,9,1,N,0,2,2,4,1,1,4191.152701554796,N,N,3,N,N,501,N,2,2,2,2,261,245,26138
40-00200,13,2,6,0,1,1,2,1,1,11049.126589864718,8470,13,3,-1900.0,0,50,N,2,2,2,2,117,97,20140
36-04010,54,1,2,0,1,0,12,1,1,16.3,1691,0,4,19900.0,8,500,N,2,2,2,2,21,19,17950
06-08507,68,1,1,0,6,0,2,1,1,3412.3948079278457,9190,15,10,30900.0,1,195,N,2,2,2,2,122,121,2082
51-51255,32,2,1,0,1,1,3,1,1,11264.60348675937,7072,9,11,21520.0,9,501,N,2,2,2,2,55,55,22201
13-04600,71,1,6,0,2,0,N,1,1,3680.3579079287256,N,N,5,183050.0,4,151,N,2,2,2,2,42,43,4980
13-04600,21,2,6,0,9,N,N,3,0,3900.1659807031683,5790,6,5,100300.0,1,N,N,2,2,2,2,41,1,4729
32-00405,9,2,N,2,8,2,2,1,2,52551.90712411335,9920,9,2,99100.0,9,106,N,2,2,1,2,226,148,23331
01-01301,72,2,3,0,2,0,N,1,2,2919.139491254831,8564,13,5,126400.0,3,107,N,1,2,2,2,132,129,461
01-01301,82,2,1,0,6,0,2,1,1,33237.75698403786,9920,9,1,8000.0,1,500,N,2,2,2,2,111,118,1283
