,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,AGEP,HOUSING_TYPE,DVET,DEYE,index_col
2054,2,2,1,2,6,1,30,2,5,2,2054
2055,1,6,1,1,2,7,68,3,N,2,2055
2056,1,5,2,1,6,4,41,1,N,2,2056
2057,1,6,1,1,3,7,33,3,N,2,2057
2058,2,1,1,1,6,7,38,3,5,2,2058
2059,2,2,1,1,6,1,60,3,N,2,2059
2060,1,6,1,1,5,5,63,3,N,2,2060
2061,2,3,1,1,0,4,28,1,N,2,2061
2062,1,4,1,1,2,7,90,1,N,2,2062
2063,2,5,1,1,8,4,77,1,5,2,2063
2064,1,2,1,1,8,9,82,1,N,2,2064
2065,2,1,1,1,6,10,18,3,N,2,2065
2066,2,3,1,1,7,9,26,3,N,2,2066
2067,2,4,1,1,5,10,24,3,N,2,2067
2068,1,6,1,1,9,6,6,3,N,2,2068
2069,2,1,1,1,9,9,26,3,N,2,2069
2070,1,1,1,1,N,6,9,3,N,2,2070
2071,1,2,1,1,7,7,72,1,N,2,2071
2072,1,N,1,1,8,6,46,3,N,2,2072
2073,2,3,1,1,4,9,48,3,N,2,2073
2074,1,5,1,1,N,9,69,3,N,2,2074
2075,2,6,1,1,6,10,48,3,N,2,2075
2076,1,4,1,1,0,4,56,3,N,2,2076
2077,2,2,1,1,9,8,68,3,N,2,2077
2078,2,3,1,1,8,8,2,3,N,2,2078
2079,1,4,1,1,7,5,73,3,N,2,2079
2080,2,2,1,1,9,7,66,3,N,2,2080
2081,1,N,1,1,6,10,10,3,N,2,2081
2082,2,5,1,1,6,3,22,2,N,2,2082
2083,1,6,1,1,9,9,24,3,5,2,2083
2084,1,6,1,1,4,6,8,3,N,2,2084
2085,1,1,1,1,4,4,19,3,N,2,2085
2086,2,1,1,1,8,7,60,3,N,2,2086
2087,2,6,1,1,0,5,73,3,N,2,2087
2088,1,6,2,1,1,5,74,3,N,2,2088
2089,1,6,1,1,2,7,56,2,N,2,2089
2090,2,2,1,1,0,5,61,3,N,2,2090
2091,2,3,1,1,2,6,17,3,N,2,2091
2092,2,4,1,1,8,10,5,3,N,2,2092
2093,2,1,1,1,4,8,10,3,N,2,2093
2094,2,6,1,1,1,5,81,3,N,2,2094
2095,2,3,1,1,7,9,85,1,N,2,2095
2096,1,N,1,1,6,3,7,3,N,2,2096
2097,2,6,1,1,3,7,37,3,N,2,2097
2098,1,5,2,1,7,12,18,3,N,2,2098
2099,2,1,1,1,4,12,2,3,N,2,2099
2100,2,2,1,1,6,10,14,3,N,2,2100
2101,2,3,1,1,4,7,79,3,N,2,2101
2102,2,1,1,1,9,4,44,3,N,2,2102
2103,2,1,1,1,2,9,67,1,N,2,2103
2104,2,6,1,1,1,5,93,3,N,2,2104
2105,1,N,1,1,8,4,45,1,5,2,2105
2106,2,1,1,1,6,10,13,2,N,2,2106
2107,1,3,1,1,2,6,20,3,N,2,2107
2108,2,4,1,1,2,6,54,3,N,2,2108
2109,1,N,2,1,N,6,1,3,N,2,2109
2110,1,3,2,1,6,1,4,3,N,2,2110
2111,2,3,1,1,N,2,14,3,N,2,2111
2112,2,4,1,1,1,9,86,3,N,2,2112
2113,2,4,1,1,4,8,25,3,N,2,2113
2114,1,6,1,1,1,5,89,3,N,2,2114
2115,1,N,1,1,N,3,26,1,5,2,2115
2116,1,1,2,1,8,1,19,3,N,2,2116
2117,1,2,1,1,9,5,88,2,N,2,2117
2118,1,5,5,1,N,12,4,1,N,2,2118
2119,1,N,1,1,6,3,55,1,N,2,2119
2120,1,4,1,1,5,7,75,1,N,2,2120
2121,1,3,1,1,5,N,13,2,5,2,2121
2122,2,6,1,1,1,5,86,2,N,2,2122
2123,1,N,1,1,N,2,6,3,N,2,2123
2124,1,2,1,1,0,6,40,3,N,2,2124
2125,1,N,1,1,N,2,21,1,N,2,2125
2126,2,N,1,1,6,8,39,1,N,2,2126
2127,2,1,1,1,8,6,68,3,N,2,2127
2128,2,6,1,1,1,4,49,3,N,2,2128
2129,1,4,1,1,4,9,42,3,N,2,2129
2130,1,2,1,1,9,7,26,3,5,2,2130
2131,2,N,1,1,N,3,21,3,5,2,2131
2132,2,1,1,1,N,12,26,1,N,2,2132
2133,2,6,1,1,1,5,62,3,N,2,2133
2134,1,5,1,1,N,11,8,3,N,2,2134
2135,1,3,1,1,1,4,90,3,N,2,2135
2136,2,1,1,1,5,8,58,1,N,2,2136
2137,2,2,1,1,7,4,55,3,N,2,2137
2138,2,N,1,1,N,12,55,2,N,2,2138
2139,1,3,1,1,8,6,31,3,N,2,2139
2140,2,1,1,1,6,11,30,1,5,2,2140
2141,1,3,2,1,9,7,31,3,N,2,2141
2142,2,N,1,1,N,4,31,3,N,2,2142
2143,1,3,1,1,0,4,50,3,N,2,2143
2144,1,3,1,1,8,7,24,1,5,2,2144
2145,2,2,1,1,0,5,53,3,N,2,2145
2146,1,2,1,1,0,5,68,3,N,2,2146
2147,1,N,1,2,N,N,47,1,N,2,2147
2148,2,2,1,1,8,8,39,3,N,2,2148
2149,2,3,1,1,3,6,33,3,N,2,2149
2150,2,3,1,1,9,7,75,3,N,2,2150
2151,1,N,1,1,5,7,80,3,N,2,2151
2152,1,2,1,1,8,4,5,1,N,2,2152
2153,2,4,1,1,2,7,45,3,N,2,2153
2154,2,3,1,1,0,4,13,3,N,2,2154
2155,2,1,1,1,4,9,28,1,N,2,2155
2156,2,3,1,1,8,6,25,3,N,2,2156
2157,2,N,1,1,N,11,9,3,N,2,2157
2158,2,N,1,1,5,9,45,2,N,2,2158
2159,2,1,1,1,5,9,27,3,N,2,2159
2160,1,3,1,1,8,7,59,3,N,2,2160
2161,2,3,1,1,8,8,88,3,N,2,2161
2162,2,6,1,1,1,6,63,3,N,2,2162
2163,2,4,1,1,0,9,72,3,N,2,2163
2164,2,1,1,1,6,1,29,1,N,2,2164
2165,1,5,1,1,9,9,38,1,N,2,2165
2166,1,4,1,1,3,7,48,3,N,2,2166
2167,2,3,2,2,9,6,75,3,N,2,2167
2168,2,N,1,1,6,1,20,2,5,2,2168
2169,2,N,1,1,4,7,69,3,N,2,2169
2170,2,1,1,1,4,3,47,3,5,2,2170
2171,2,1,1,1,N,3,42,1,N,2,2171
2172,2,N,1,1,8,1,42,1,N,2,2172
2173,1,N,1,1,N,3,27,3,N,2,2173
2174,1,2,1,1,3,4,44,3,N,2,2174
2175,2,6,1,1,3,9,52,1,N,2,2175
2176,2,4,1,1,6,10,57,1,N,2,2176
2177,1,5,2,1,0,5,63,2,N,2,2177
2178,2,4,3,1,4,12,5,3,N,2,2178
2179,2,1,1,1,9,8,29,2,5,2,2179
2180,2,2,1,1,9,5,32,3,N,2,2180
2181,1,3,4,1,1,5,72,3,N,2,2181
2182,1,3,1,1,7,3,32,3,N,2,2182
2183,2,6,2,1,2,5,55,3,N,2,2183
2184,1,1,1,1,7,6,48,1,N,2,2184
2185,1,3,1,1,5,10,66,3,N,2,2185
2186,2,1,1,1,6,4,25,2,N,2,2186
2187,2,6,1,1,N,5,87,2,N,2,2187
2188,1,4,1,1,4,7,3,3,N,2,2188
2189,2,6,1,1,0,12,61,2,N,2,2189
2190,2,4,1,1,9,6,57,2,N,2,2190
2191,2,6,1,1,1,5,94,3,N,2,2191
2192,1,1,2,1,5,2,27,3,N,2,2192
2193,1,6,1,1,2,8,35,3,N,2,2193
2194,1,6,1,1,9,5,34,3,N,2,2194
2195,2,4,5,1,5,12,49,1,N,2,2195
2196,2,2,2,1,9,1,35,2,N,2,2196
2197,2,5,1,1,7,4,47,3,N,2,2197
2198,1,4,1,1,0,3,80,3,N,2,2198
2199,1,2,1,1,3,5,54,2,N,2,2199
2200,2,4,1,1,8,3,12,3,N,2,2200
2201,1,2,1,1,8,4,12,3,N,2,2201
2202,2,5,1,1,0,5,91,3,N,2,2202
2203,1,3,1,1,N,6,62,3,2,2,2203
2204,1,4,1,1,4,7,31,3,N,2,2204
2205,1,4,3,1,9,9,18,3,N,2,2205
2206,1,2,1,1,9,5,23,1,N,2,2206
2207,1,3,1,1,0,5,56,2,N,2,2207
2208,1,N,2,1,N,12,0,2,N,2,2208
2209,1,5,1,1,8,6,24,3,N,2,2209
2210,2,5,1,1,8,9,26,3,N,2,2210
2211,2,2,1,1,9,5,48,1,N,2,2211
2212,2,5,1,1,2,7,81,1,N,2,2212
2213,1,5,1,1,6,9,47,3,N,2,2213
2214,1,4,1,1,7,1,47,3,5,2,2214
2215,1,N,2,1,2,6,34,2,N,2,2215
2216,1,1,1,1,5,9,65,1,N,2,2216
2217,1,4,1,1,2,4,86,3,N,2,2217
2218,1,6,1,1,1,5,40,3,N,2,2218
2219,2,N,1,1,N,2,29,1,N,2,2219
2220,2,N,2,1,7,6,44,3,N,2,2220
2221,1,2,1,1,0,5,58,3,N,2,2221
2222,1,3,1,1,5,4,42,3,N,2,2222
2223,2,1,1,1,6,4,32,3,N,2,2223
2224,2,6,1,1,4,7,23,3,N,2,2224
2225,2,2,1,1,9,5,79,3,N,2,2225
2226,1,6,1,1,0,7,64,1,N,2,2226
2227,2,3,1,1,9,8,30,1,N,2,2227
2228,2,1,1,1,9,5,61,3,N,2,2228
2229,2,4,1,1,8,8,30,3,N,2,2229
2230,2,5,1,1,4,4,30,1,N,2,2230
2231,2,1,1,1,6,10,50,3,N,2,2231
2232,1,6,1,1,2,5,81,2,N,2,2232
2233,1,1,1,1,N,8,30,2,N,2,2233
2234,2,4,2,1,2,1,28,3,N,2,2234
2235,2,1,1,1,7,3,10,3,N,2,2235
2236,2,1,1,1,6,9,43,3,N,2,2236
2237,2,5,1,1,N,6,76,3,N,2,2237
2238,1,1,1,1,4,6,78,1,N,2,2238
2239,2,2,1,1,7,5,67,3,N,2,2239
2240,2,1,1,1,6,7,37,3,5,2,2240
2241,1,6,1,1,0,5,51,3,N,2,2241
2242,2,N,1,1,6,10,71,1,N,2,2242
2243,1,6,1,1,1,8,32,3,N,2,2243
2244,1,1,1,1,N,2,12,3,5,2,2244
2245,2,2,1,2,1,7,70,3,N,2,2245
2246,2,1,1,1,7,6,53,3,N,2,2246
2247,1,N,1,1,N,7,71,1,N,2,2247
2248,2,2,1,1,3,3,37,3,N,2,2248
2249,1,2,1,1,2,5,87,3,N,2,2249
2250,1,3,1,1,8,5,35,3,N,2,2250
2251,2,6,1,1,1,5,93,3,N,2,2251
2252,1,2,1,1,2,8,26,2,N,2,2252
2253,2,5,1,1,N,10,44,3,5,2,2253
2254,1,1,1,1,N,1,27,3,N,2,2254
2255,2,3,1,1,8,6,54,3,N,2,2255
2256,2,2,1,1,N,1,25,3,N,2,2256
2257,1,3,1,1,6,11,52,3,N,2,2257
2258,1,2,1,1,3,5,94,3,N,2,2258
2259,2,6,2,1,2,4,48,3,N,2,2259
2260,2,5,1,1,N,8,57,3,N,2,2260
2261,1,3,1,1,8,7,41,3,N,2,2261
2262,1,1,1,1,4,12,1,3,N,2,2262
2263,1,N,1,1,8,12,77,3,5,2,2263
2264,2,1,1,1,3,12,65,3,N,2,2264
2265,2,6,1,1,1,5,65,3,N,2,2265
2266,1,4,1,1,N,4,22,3,N,2,2266
2267,2,6,1,1,5,3,16,3,5,2,2267
2268,2,4,1,1,5,6,48,3,N,2,2268
2269,2,5,2,1,7,1,21,1,N,2,2269
2270,2,N,1,1,6,N,34,2,N,2,2270
2271,2,3,1,1,8,5,69,3,N,2,2271
2272,1,5,1,1,N,10,68,1,5,2,2272
2273,2,4,1,1,8,6,17,3,N,2,2273
2274,2,5,1,1,N,9,3,3,N,2,2274
2275,1,N,1,1,N,11,22,3,N,2,2275
2276,2,3,1,1,N,11,6,3,N,2,2276
2277,2,5,1,1,N,3,43,3,N,2,2277
2278,1,5,1,1,0,11,87,2,N,2,2278
2279,2,1,1,1,9,9,38,3,N,2,2279
2280,1,6,1,1,1,7,50,1,N,2,2280
2281,1,4,1,1,2,1,10,2,5,2,2281
2282,2,6,1,1,7,4,7,3,5,2,2282
2283,1,1,1,1,5,7,54,1,5,2,2283
2284,1,6,1,1,1,5,65,3,N,2,2284
2285,1,3,1,1,5,6,38,2,N,2,2285
2286,2,N,1,1,3,11,52,3,N,2,2286
2287,1,3,1,1,2,6,58,3,N,2,2287
2288,1,5,1,1,2,8,21,1,N,2,2288
2289,1,4,1,1,9,7,94,3,N,2,2289
2290,1,6,1,1,2,7,78,3,N,2,2290
2291,2,3,3,1,8,10,34,3,N,2,2291
2292,1,4,1,1,9,7,72,2,N,2,2292
2293,2,1,1,1,2,7,84,2,N,2,2293
2294,2,N,1,1,N,2,4,3,N,2,2294
2295,2,5,1,1,6,11,41,3,N,2,2295
2296,1,5,1,1,7,8,72,3,N,2,2296
2297,2,5,1,1,7,5,27,3,N,2,2297
2298,1,6,1,1,2,5,41,3,N,2,2298
2299,2,4,1,1,2,9,78,3,5,2,2299
2300,1,6,2,1,1,8,39,3,N,2,2300
2301,1,1,1,1,8,11,39,2,N,2,2301
2302,1,6,1,1,0,5,51,3,N,2,2302
2303,1,1,1,1,3,10,7,3,N,2,2303
2304,1,3,1,1,9,10,35,2,N,2,2304
2305,2,N,1,1,N,12,16,3,N,2,2305
2306,2,N,1,1,9,6,51,1,N,2,2306
2307,2,N,2,1,8,7,25,3,N,2,2307
2308,2,6,1,1,0,5,34,3,N,2,2308
2309,1,4,1,1,6,10,54,2,N,2,2309
2310,1,6,1,1,2,9,86,3,N,2,2310
2311,2,3,1,1,5,12,48,3,N,2,2311
2312,1,2,2,1,0,8,41,3,N,2,2312
2313,1,4,1,1,9,6,51,1,N,2,2313
2314,2,N,3,1,7,7,72,3,N,2,2314
2315,1,2,2,2,5,9,40,3,5,2,2315
2316,2,4,1,1,3,6,68,2,N,2,2316
2317,1,4,1,1,5,7,46,1,N,2,2317
2318,2,6,1,1,2,6,86,3,N,2,2318
2319,1,1,1,1,0,4,78,3,N,2,2319
2320,1,6,1,1,0,5,52,3,N,2,2320
2321,1,N,1,1,4,8,78,3,N,2,2321
2322,1,N,1,1,N,12,15,3,N,2,2322
2323,1,3,1,2,7,7,46,2,N,2,2323
2324,1,4,1,1,9,9,67,3,N,2,2324
2325,2,1,1,1,6,12,4,2,N,2,2325
2326,1,6,1,1,7,5,75,2,5,2,2326
2327,1,N,1,1,N,10,29,1,N,2,2327
2328,2,1,1,1,9,7,78,3,5,2,2328
2329,2,6,1,1,0,5,89,3,N,2,2329
2330,1,6,1,1,9,9,53,3,N,2,2330
2331,2,2,1,1,5,8,75,3,N,2,2331
2332,2,4,1,1,8,10,51,3,N,2,2332
2333,2,6,1,1,9,6,46,3,N,2,2333
2334,1,2,1,1,3,9,17,3,N,2,2334
2335,1,1,2,1,6,3,5,3,N,2,2335
2336,1,2,1,1,1,10,16,3,N,2,2336
2337,2,3,1,1,4,3,47,3,5,2,2337
2338,1,6,1,1,3,7,73,3,N,2,2338
2339,2,4,1,1,3,10,71,3,N,2,2339
2340,2,5,1,1,8,11,30,1,N,2,2340
2341,2,N,1,1,N,1,36,3,N,2,2341
2342,2,4,1,1,6,9,71,3,5,2,2342
2343,1,4,1,1,0,1,20,3,N,2,2343
2344,2,6,1,1,4,6,66,1,N,2,2344
2345,1,4,1,1,5,5,63,3,N,2,2345
2346,1,3,1,1,0,3,3,3,N,2,2346
2347,2,3,1,1,N,6,55,3,N,2,2347
2348,1,N,7,1,2,11,30,1,N,2,2348
2349,1,5,1,1,8,11,18,1,N,2,2349
2350,2,5,1,1,5,5,67,3,N,2,2350
2351,2,2,1,1,8,5,63,3,5,2,2351
2352,1,3,1,1,7,9,16,3,N,2,2352
2353,1,3,1,1,N,1,26,3,N,2,2353
2354,1,2,1,1,7,1,19,3,N,2,2354
2355,2,4,1,1,5,8,58,3,N,2,2355
2356,1,5,1,1,8,9,39,3,N,2,2356
2357,2,5,1,1,2,8,68,3,N,2,2357
2358,1,6,1,1,5,3,4,3,5,2,2358
2359,1,1,1,1,2,8,82,3,N,2,2359
2360,2,4,1,1,0,8,46,1,N,2,2360
2361,2,2,1,1,0,1,55,1,N,2,2361
2362,2,2,1,1,2,5,65,1,N,2,2362
2363,2,2,1,1,4,8,65,1,N,2,2363
2364,1,5,1,1,N,N,16,3,5,2,2364
2365,2,N,1,1,5,12,57,1,5,2,2365
2366,2,4,1,2,0,6,62,2,N,2,2366
2367,1,2,1,1,0,4,21,3,N,2,2367
2368,2,2,1,1,0,4,61,3,N,2,2368
2369,1,6,1,1,4,7,31,3,N,2,2369
2370,1,4,1,1,1,5,91,3,N,2,2370
2371,2,6,1,1,9,7,60,3,N,2,2371
2372,1,3,1,1,8,8,63,1,N,2,2372
2373,1,4,1,1,3,7,64,1,N,2,2373
2374,2,4,1,1,7,10,11,3,N,2,2374
2375,1,N,1,1,N,2,2,2,5,2,2375
2376,1,6,1,1,1,5,47,3,N,2,2376
2377,1,1,4,1,8,1,52,3,N,2,2377
2378,1,6,1,1,7,8,63,2,N,2,2378
2379,1,6,1,1,2,8,33,1,N,2,2379
2380,2,2,1,1,3,1,57,3,N,2,2380
2381,1,4,1,1,9,5,39,3,N,2,2381
2382,1,5,4,1,N,6,14,3,N,2,2382
2383,2,4,1,1,6,8,38,3,N,2,2383
2384,1,6,1,1,1,7,72,3,5,2,2384
2385,1,3,1,1,5,9,56,3,N,2,2385
2386,2,N,5,1,6,9,14,3,N,2,2386
2387,2,1,2,1,3,5,59,3,N,2,2387
2388,1,5,1,1,N,6,8,3,5,2,2388
2389,2,1,1,1,3,4,56,3,5,2,2389
2390,1,4,1,1,9,9,85,3,N,2,2390
2391,1,2,1,1,4,6,26,3,N,2,2391
2392,2,3,2,1,4,10,8,3,N,2,2392
2393,2,2,1,1,7,6,80,3,N,2,2393
2394,1,6,1,1,9,7,41,3,N,2,2394
2395,2,5,1,1,6,9,26,2,N,2,2395
2396,2,5,1,1,N,9,0,3,N,2,2396
2397,1,3,1,1,N,9,32,3,N,2,2397
2398,2,N,1,1,N,11,76,1,N,2,2398
2399,2,1,1,1,5,6,13,3,N,2,2399
2400,1,1,1,1,8,5,77,2,N,2,2400
2401,1,2,1,1,9,4,19,3,N,2,2401
2402,1,5,1,1,9,7,67,3,N,2,2402
2403,2,5,1,1,5,5,66,2,N,2,2403
2404,2,N,1,1,8,N,3,3,N,2,2404
2405,2,6,1,2,5,9,55,2,N,2,2405
2406,1,2,1,1,3,5,41,3,N,2,2406
2407,1,5,1,1,7,5,54,3,5,2,2407
2408,1,6,1,1,1,8,60,3,5,2,2408
2409,1,N,1,1,5,6,46,3,N,2,2409
2410,1,N,1,1,N,2,20,1,5,2,2410
2411,1,5,2,1,N,10,33,2,N,2,2411
2412,2,6,2,1,0,5,47,3,N,2,2412
2413,1,N,1,1,N,12,22,2,N,2,2413
2414,2,2,1,1,N,4,63,1,N,2,2414
2415,2,5,1,1,5,3,28,3,N,2,2415
2416,1,2,1,1,0,9,26,3,N,2,2416
2417,1,N,1,1,N,3,8,1,N,2,2417
2418,2,2,1,1,7,5,38,3,N,2,2418
2419,2,N,1,1,N,12,15,3,N,2,2419
2420,1,N,6,1,3,8,59,2,N,2,2420
2421,2,6,1,1,0,5,79,3,N,2,2421
2422,2,3,1,1,N,5,40,2,N,2,2422
2423,2,6,1,1,9,7,56,3,N,2,2423
2424,1,3,1,1,7,12,2,3,N,2,2424
2425,1,3,1,1,5,7,13,3,N,2,2425
2426,1,5,1,1,4,8,32,3,N,2,2426
2427,1,5,1,1,9,9,86,3,N,2,2427
2428,1,2,1,1,5,7,53,3,N,2,2428
2429,2,1,1,1,6,1,66,2,N,2,2429
2430,2,1,1,1,6,1,81,3,N,2,2430
2431,1,2,1,1,8,10,21,3,N,2,2431
2432,1,3,1,1,6,3,64,3,N,2,2432
2433,1,3,1,1,2,1,2,3,N,2,2433
2434,2,1,1,1,5,3,13,1,5,2,2434
2435,2,4,1,1,9,6,56,3,N,2,2435
2436,1,4,1,1,7,10,34,1,N,2,2436
2437,1,6,1,1,2,9,63,3,N,2,2437
2438,2,3,1,1,5,9,73,2,N,2,2438
2439,2,5,1,1,N,1,36,3,N,2,2439
2440,2,2,1,1,3,6,24,3,N,2,2440
2441,2,5,1,1,N,6,81,2,N,2,2441
2442,1,N,1,1,7,2,32,1,N,2,2442
2443,1,3,1,1,0,5,69,3,N,2,2443
2444,1,3,1,1,6,10,1,3,N,2,2444
2445,1,4,1,1,5,5,29,3,N,2,2445
2446,2,4,1,1,9,5,76,2,N,2,2446
2447,2,3,1,1,6,5,55,3,N,2,2447
2448,1,4,1,1,2,1,2,2,N,2,2448
2449,2,N,1,1,N,3,41,1,2,2,2449
2450,1,N,1,1,4,3,66,3,N,2,2450
2451,1,N,1,1,4,9,77,3,N,2,2451
2452,2,2,1,1,3,5,84,3,N,2,2452
2453,1,5,2,1,3,10,21,3,N,2,2453
2454,2,1,1,1,5,8,57,3,5,2,2454
2455,1,3,1,1,4,7,84,3,5,2,2455
2456,2,2,1,1,7,6,77,2,N,2,2456
2457,1,1,1,1,6,1,37,3,N,2,2457
2458,2,2,4,1,3,7,65,3,N,2,2458
2459,2,4,1,1,9,4,10,3,N,2,2459
2460,1,2,1,1,2,9,62,3,N,2,2460
2461,2,5,1,1,3,7,11,3,5,2,2461
2462,2,N,1,1,8,8,72,1,N,2,2462
2463,1,5,1,1,N,9,52,3,N,2,2463
2464,1,1,1,1,6,7,32,3,5,2,2464
2465,2,3,2,1,0,11,22,3,N,2,2465
2466,1,6,1,1,9,8,37,3,N,2,2466
2467,1,6,2,1,3,8,19,3,N,2,2467
2468,2,6,2,1,0,10,24,3,N,2,2468
2469,1,6,1,1,4,10,8,3,N,2,2469
2470,2,4,1,1,6,5,63,2,5,2,2470
2471,1,6,1,1,1,9,45,3,N,2,2471
2472,2,4,1,1,4,5,11,1,N,2,2472
2473,1,4,1,1,N,3,10,3,5,2,2473
2474,2,4,1,1,5,7,21,2,N,2,2474
2475,1,6,1,1,3,9,29,3,N,2,2475
2476,1,N,1,1,8,3,58,3,N,2,2476
2477,2,N,2,1,6,3,63,1,N,2,2477
2478,2,2,1,2,4,1,25,3,N,2,2478
2479,1,5,1,1,9,3,26,3,N,2,2479
2480,2,N,1,1,N,3,23,2,N,2,2480
2481,1,4,1,1,5,5,55,3,N,2,2481
2482,2,3,1,1,8,7,59,1,N,2,2482
2483,1,1,1,1,9,7,10,3,N,2,2483
2484,2,4,1,1,9,10,53,1,N,2,2484
2485,1,N,1,1,6,2,7,3,N,2,2485
2486,1,5,1,1,6,4,55,1,N,2,2486
2487,1,2,4,1,7,3,80,3,5,2,2487
2488,1,4,1,1,0,5,85,1,N,2,2488
2489,1,4,3,1,2,7,41,3,N,2,2489
2490,1,1,1,1,N,6,19,1,N,2,2490
2491,1,3,1,1,3,1,33,2,N,2,2491
2492,1,N,2,1,N,2,45,3,N,2,2492
2493,1,3,1,1,8,8,9,3,N,2,2493
2494,2,3,1,1,7,6,45,2,N,2,2494
2495,2,4,1,1,2,5,45,3,5,2,2495
2496,2,6,2,1,1,7,64,3,N,2,2496
2497,1,4,1,1,2,11,17,3,N,2,2497
2498,1,4,1,2,2,7,61,2,N,2,2498
2499,1,2,1,1,1,9,18,3,N,2,2499
2500,2,6,1,1,1,7,75,1,N,2,2500
2501,1,2,1,1,2,8,32,3,N,2,2501
2502,1,1,1,1,N,9,46,2,N,2,2502
2503,2,5,1,1,N,N,35,1,N,2,2503
2504,2,4,1,1,0,8,36,3,N,2,2504
2505,1,N,1,1,N,N,1,1,N,2,2505
2506,1,6,2,1,4,7,31,3,N,2,2506
2507,1,6,1,1,3,5,44,3,N,2,2507
2508,2,4,2,1,3,5,71,3,N,2,2508
2509,2,4,1,1,0,5,55,3,N,2,2509
2510,1,6,1,1,0,5,27,3,N,2,2510
2511,1,5,1,1,N,6,42,3,N,2,2511
2512,1,2,1,1,6,9,32,3,N,2,2512
2513,2,3,3,1,5,6,51,3,5,2,2513
2514,2,6,1,1,0,9,36,3,5,2,2514
2515,1,5,1,1,8,8,62,3,5,2,2515
2516,2,1,1,1,9,1,27,1,N,2,2516
2517,1,3,1,1,5,8,36,3,5,2,2517
2518,2,6,1,1,2,8,7,3,N,2,2518
2519,1,1,1,1,7,3,21,3,N,2,2519
2520,2,N,1,1,N,10,69,3,N,2,2520
2521,2,N,1,1,5,2,67,1,N,2,2521
2522,2,N,1,1,N,1,17,3,N,2,2522
2523,1,6,1,1,9,9,25,3,N,2,2523
2524,2,1,1,1,5,10,22,3,N,2,2524
2525,2,4,2,1,5,1,31,3,N,2,2525
2526,1,6,2,1,7,8,82,3,N,2,2526
2527,1,6,1,1,9,5,82,2,N,2,2527
2528,1,6,1,1,1,5,92,3,N,2,2528
2529,2,6,1,1,3,3,34,2,N,2,2529
2530,2,5,1,1,N,9,61,1,N,2,2530
2531,1,2,1,1,2,4,24,1,N,2,2531
2532,1,5,1,1,2,8,84,1,N,2,2532
2533,2,2,1,1,0,7,75,3,N,2,2533
2534,2,1,1,1,0,6,22,3,N,2,2534
2535,2,2,1,1,3,9,28,3,N,2,2535
2536,1,6,1,1,3,4,21,3,N,2,2536
2537,2,5,1,1,6,7,56,3,N,2,2537
2538,1,5,1,1,6,4,31,3,5,2,2538
2539,2,6,1,1,0,5,80,3,N,2,2539
2540,2,2,1,1,1,7,65,3,N,2,2540
2541,1,5,1,1,N,1,6,1,N,2,2541
2542,1,6,1,1,0,12,21,3,N,2,2542
2543,2,6,1,1,1,1,21,3,N,2,2543
2544,2,2,5,1,5,3,18,3,N,2,2544
2545,1,4,1,1,3,9,46,3,N,2,2545
2546,1,6,1,1,9,7,29,3,N,2,2546
2547,2,5,1,1,N,9,59,3,N,2,2547
2548,2,4,1,1,6,8,41,3,N,2,2548
2549,1,6,5,1,9,7,24,3,N,2,2549
2550,1,5,1,1,8,5,84,3,N,2,2550
2551,2,4,1,1,4,7,65,3,N,2,2551
2552,1,4,2,1,0,4,32,3,5,2,2552
2553,2,2,1,1,6,5,80,3,N,2,2553
2554,2,2,1,1,1,6,46,1,N,2,2554
2555,1,2,1,1,5,7,68,2,N,2,2555
2556,2,3,3,1,5,1,35,2,N,2,2556
2557,1,2,1,1,2,8,73,3,5,2,2557
2558,1,1,1,1,4,9,69,3,N,2,2558
2559,1,4,1,1,3,10,27,2,N,2,2559
2560,2,4,4,1,1,8,76,3,N,2,2560
2561,1,5,1,1,4,4,50,3,N,2,2561
2562,1,4,1,1,9,4,29,2,5,2,2562
2563,1,N,1,1,8,6,63,3,N,2,2563
2564,2,1,1,1,4,5,92,3,N,2,2564
2565,1,4,1,1,3,1,13,3,N,2,2565
2566,1,N,5,1,N,12,8,3,N,2,2566
2567,2,4,1,1,0,9,66,3,N,2,2567
2568,2,1,1,1,9,4,76,1,N,2,2568
2569,1,6,1,1,5,6,14,3,N,2,2569
2570,1,5,1,1,3,4,79,1,N,2,2570
2571,2,6,1,1,0,6,8,3,N,2,2571
2572,1,6,1,1,5,1,16,3,N,2,2572
2573,2,1,1,1,N,3,11,3,5,2,2573
2574,1,1,1,1,7,8,57,2,N,2,2574
2575,1,4,1,1,2,11,28,3,N,2,2575
2576,2,1,1,1,5,4,32,3,N,2,2576
2577,2,5,1,1,8,12,53,3,N,2,2577
2578,1,3,1,1,2,9,63,3,N,2,2578
2579,2,1,1,1,8,11,46,3,5,2,2579
2580,2,1,1,1,7,10,31,3,N,2,2580
2581,2,1,1,1,N,9,41,3,N,2,2581
2582,2,2,1,1,2,5,66,1,N,2,2582
2583,2,N,1,1,6,10,57,1,N,2,2583
2584,1,4,1,1,5,5,63,1,N,2,2584
2585,1,4,1,1,9,7,35,3,N,2,2585
2586,2,6,1,1,2,9,35,2,N,2,2586
2587,1,1,1,1,4,9,2,3,N,2,2587
2588,1,3,1,1,4,1,14,3,N,2,2588
