,SEX,MSP,RAC1P,OWN_RENT,PINCP_DECILE,EDU,HISP,PUMA,INDP
7481,1,N,1,2,4,8,0,13-04600,N
7482,1,1,1,2,5,7,0,28-01100,N
7483,2,6,2,1,9,8,0,51-51255,N
7484,1,1,3,1,2,10,0,17-03531,N
7485,1,6,1,0,0,7,2,01-01301,9470
7486,1,6,1,1,2,5,0,19-01700,N
7487,1,1,1,2,N,2,0,17-03529,7860
7488,1,6,1,1,7,9,0,51-51255,N
7489,1,6,1,1,7,7,0,36-04010,7860
7490,1,N,6,2,1,7,0,17-03529,N
7491,1,3,8,2,0,8,0,19-01700,N
7492,2,1,6,1,0,4,0,51-01301,7780
7493,1,4,1,1,8,11,0,19-01700,4890
7494,2,N,1,2,9,12,0,26-02702,5275
7495,2,1,1,2,8,10,0,51-01301,N
7496,2,3,1,1,8,9,1,32-00405,8680
7497,2,6,9,1,N,N,0,06-07502,N
7498,2,N,9,2,4,10,1,32-00405,N
7499,1,N,2,2,7,9,0,08-00803,7390
7500,2,1,1,1,3,5,0,24-01004,N
7501,2,3,2,1,7,8,0,29-01901,7280
7502,1,6,1,1,6,9,0,36-04010,3570
7503,2,6,1,1,4,4,0,24-01004,7380
7504,1,1,1,2,0,7,0,17-03529,7870
7505,2,3,1,2,9,10,0,51-51255,N
7506,2,1,1,1,8,7,0,26-02702,N
7507,2,N,2,1,8,6,0,40-00200,N
7508,1,6,1,1,N,2,0,30-00600,N
7509,2,2,2,1,9,12,0,40-00200,9770
7510,1,1,2,1,0,7,0,38-00100,7780
7511,1,6,1,1,7,8,0,30-00600,N
7512,1,1,1,0,2,5,0,08-00803,8192
7513,2,5,1,1,6,7,1,32-00405,N
7514,2,N,1,2,4,5,0,08-00803,7870
7515,1,N,1,1,2,5,0,36-03710,8590
7516,2,N,2,1,N,3,0,29-01901,N
7517,1,N,1,2,8,9,0,17-03529,6070
7518,2,N,1,1,0,9,4,36-03710,8680
7519,2,6,2,1,5,5,1,06-07502,N
7520,1,N,2,0,2,7,0,17-03529,7690
7521,1,1,1,2,1,9,0,13-04600,N
7522,1,6,2,2,N,3,0,13-04600,N
7523,2,1,2,2,2,5,0,38-00100,9370
7524,2,6,6,1,4,7,0,40-00200,4670
7525,2,6,1,1,3,10,4,36-03710,8680
7526,2,N,8,2,4,5,0,51-01301,N
7527,1,N,1,1,N,1,0,24-01004,7380
7528,2,1,6,1,9,10,0,29-01901,N
7529,2,1,1,1,7,8,0,24-01004,N
7530,2,N,1,1,7,7,0,36-04010,7860
7531,2,1,1,1,7,9,0,32-00405,N
7532,2,N,1,1,N,3,0,13-04600,N
7533,2,3,2,1,N,N,0,51-01301,8380
7534,1,6,1,1,4,3,0,08-00803,6380
7535,1,4,1,2,N,N,0,30-00600,N
7536,1,5,2,1,8,10,0,29-01901,N
7537,2,5,1,1,3,7,0,13-04600,7460
7538,1,6,1,1,9,10,0,08-00803,N
7539,1,3,1,1,N,3,0,08-00803,7860
7540,1,1,6,1,5,5,0,01-01301,7390
7541,2,1,1,2,N,1,0,24-01004,7390
7542,2,5,2,1,N,3,0,17-03529,8680
7543,1,6,1,2,6,9,0,36-04010,7071
7544,2,N,1,2,4,5,0,08-00803,7870
7545,2,N,2,1,1,4,0,08-00803,5070
7546,1,1,6,2,8,10,0,08-00803,9290
7547,1,N,1,1,2,3,0,30-00600,N
7548,2,N,1,2,3,8,0,38-00100,170
7549,2,1,2,2,7,9,0,29-01901,N
7550,2,1,1,1,1,7,0,24-01004,N
7551,2,1,1,1,N,3,0,51-01301,N
7552,2,1,2,1,4,5,0,38-00100,N
7553,2,6,1,1,7,9,1,38-00100,280
7554,1,6,2,2,1,5,0,51-01301,7270
7555,2,N,1,2,3,5,0,38-00100,N
7556,1,6,1,2,2,5,0,19-01700,6170
7557,2,1,6,2,3,5,0,13-04600,N
7558,2,1,1,1,3,7,0,38-00100,7860
7559,1,1,8,1,9,9,0,17-03529,N
7560,1,1,1,1,N,3,0,36-03710,N
7561,1,2,2,2,N,1,0,17-03529,8090
7562,2,6,1,2,2,9,2,36-04010,3570
7563,1,4,1,2,N,6,0,17-03529,N
7564,2,3,2,2,N,6,0,29-01901,N
7565,2,3,2,1,2,5,0,26-02702,N
7566,2,6,1,0,0,9,0,38-00100,6992
7567,2,6,8,2,0,4,0,17-03529,N
7568,2,6,1,1,1,9,0,36-04010,N
7569,2,6,2,2,0,7,1,30-00600,N
7570,2,6,1,0,8,7,0,30-00600,1280
7571,2,3,1,1,7,10,0,26-02702,8770
7572,1,6,1,2,N,N,0,28-01100,770
7573,2,6,2,1,0,7,0,36-04010,770
7574,2,1,9,1,7,9,0,30-00600,3770
7575,1,4,2,1,N,3,0,26-02702,N
7576,1,3,1,2,N,3,0,08-00803,9480
7577,1,6,8,1,N,2,0,08-00803,2070
7578,2,N,6,2,1,9,0,30-00600,N
7579,2,N,1,2,6,10,0,28-01100,N
7580,2,N,1,1,8,7,0,51-01301,7390
7581,1,4,1,1,N,3,0,40-00200,7860
7582,2,1,1,1,4,7,0,51-01301,9480
7583,1,6,8,1,6,10,0,51-01301,7390
7584,2,6,1,1,3,7,0,30-00600,7280
7585,1,1,1,2,8,9,0,30-00600,5593
7586,1,6,1,1,7,3,0,28-01100,3570
7587,2,6,1,1,8,8,0,38-00100,770
7588,1,1,1,1,9,9,0,08-00803,7460
7589,2,N,2,1,4,10,4,36-03710,8170
7590,1,1,1,1,4,5,0,51-51255,N
7591,2,4,3,1,6,6,0,26-02702,9190
7592,2,5,2,1,N,3,0,06-07502,N
7593,2,6,1,1,N,3,0,19-01700,9170
7594,1,1,1,2,N,3,0,24-01004,9170
7595,2,1,1,1,6,7,0,32-00405,8770
7596,2,1,1,1,9,11,0,29-01901,N
7597,2,6,1,1,N,3,0,13-04600,N
7598,1,6,2,2,N,N,0,06-07502,7790
7599,1,1,6,0,1,6,0,38-00100,N
7600,2,1,1,1,N,3,0,17-03529,N
7601,2,4,2,2,8,9,0,51-01301,N
7602,1,N,1,2,N,2,0,51-01301,N
7603,2,N,1,2,3,5,0,13-04600,4971
7604,1,6,6,2,0,10,0,06-08507,N
7605,1,6,2,2,7,5,0,26-02702,5381
7606,2,1,6,2,0,4,0,30-00600,N
7607,1,1,1,1,7,10,0,28-01100,8570
7608,2,2,2,2,1,4,0,30-00600,7860
7609,1,1,2,1,N,3,0,30-00600,8770
7610,2,N,2,0,5,5,0,40-00200,N
7611,1,6,1,1,N,3,0,24-01004,9170
7612,1,6,2,1,4,5,0,19-01700,9170
7613,1,4,1,1,9,12,0,28-01100,9480
7614,1,1,1,1,2,3,0,29-01901,7860
7615,1,N,1,1,9,9,0,24-01004,9570
7616,2,N,1,2,N,2,0,13-04600,8980
7617,2,1,1,2,N,4,0,40-00200,N
7618,1,3,9,1,N,3,0,24-01004,3780
7619,1,N,1,1,8,10,0,28-01100,N
7620,1,4,1,1,6,9,0,06-07502,8680
7621,1,6,2,1,3,5,0,38-00100,N
7622,1,N,6,1,3,9,4,26-02702,6080
7623,1,N,1,1,0,4,0,38-00100,490
7624,1,6,1,1,6,4,0,24-01004,7380
7625,2,2,1,1,7,10,0,13-04600,N
7626,2,5,2,1,N,3,0,28-01100,3365
7627,2,6,1,1,4,6,0,26-02702,6890
7628,2,6,3,1,N,3,0,29-01901,5391
7629,1,N,6,2,3,10,0,51-51255,7380
7630,1,1,2,2,5,9,0,38-00100,7680
7631,1,N,9,1,4,5,4,24-01004,9590
7632,2,2,1,1,9,11,0,06-08507,8680
7633,1,2,1,2,6,5,0,36-04010,7290
7634,2,6,6,1,9,6,0,13-04600,4670
7635,1,2,1,2,3,8,0,06-07502,7370
7636,1,1,1,2,8,10,0,32-00405,5570
7637,2,6,2,1,9,10,0,24-01004,9480
7638,2,1,1,2,0,8,0,32-00405,N
7639,1,6,1,2,7,10,0,28-01100,7970
7640,1,1,6,1,N,N,0,06-08507,9690
7641,1,N,6,2,0,4,0,17-03531,N
7642,1,6,1,1,N,3,2,36-03710,4490
7643,1,1,1,2,0,6,0,51-01301,8290
7644,2,1,1,1,9,9,0,17-03529,7870
7645,2,4,8,1,9,10,0,08-00803,8770
7646,1,2,2,1,8,10,0,40-00200,9070
7647,1,N,1,1,7,9,0,24-01004,7460
7648,2,6,6,1,N,1,1,19-01700,N
7649,2,3,1,1,9,7,0,24-01004,N
7650,2,N,2,2,7,7,0,30-00600,N
7651,2,3,1,1,8,4,0,32-00405,N
7652,2,1,6,1,3,5,0,38-00100,N
7653,2,1,8,1,4,11,0,17-03529,7390
7654,2,N,1,1,N,3,0,17-03529,N
7655,1,1,1,1,6,8,0,30-00600,180
7656,2,1,2,1,5,7,0,17-03529,5170
7657,2,1,6,1,6,9,0,26-02702,8770
7658,2,6,3,2,4,5,0,29-01901,6970
7659,2,3,1,2,8,10,0,28-01100,8270
7660,2,N,1,1,5,7,0,51-51255,6490
7661,1,N,2,1,0,5,0,17-03529,8191
7662,1,1,2,1,8,9,0,26-02702,N
7663,1,N,1,1,N,3,0,30-00600,N
7664,2,6,1,2,2,8,0,51-01301,7860
7665,2,1,1,1,6,9,0,17-03531,5580
7666,2,6,1,2,0,7,2,36-03710,N
7667,2,1,1,0,0,12,0,29-01901,9920
7668,1,4,2,1,2,9,1,38-00100,N
7669,1,6,3,1,4,9,4,24-01004,N
7670,1,3,2,2,8,9,0,13-04600,7860
7671,2,N,6,1,4,5,0,30-00600,7860
7672,2,6,1,2,4,7,0,29-01901,N
7673,1,6,1,1,9,10,0,24-01004,8270
7674,2,2,1,1,6,8,1,32-00405,7860
7675,2,N,1,1,N,3,0,38-00100,8590
7676,2,6,8,1,0,4,0,26-02702,7870
7677,2,1,2,1,9,10,0,51-51255,N
7678,1,6,2,1,8,10,0,40-00200,N
7679,2,6,1,2,4,5,4,51-51255,N
7680,2,3,1,1,6,9,0,13-04600,N
7681,2,1,1,2,3,7,0,30-00600,7870
7682,2,6,2,2,0,1,0,19-01700,6991
7683,1,N,9,2,7,10,0,36-03710,N
7684,1,N,2,1,3,10,2,36-03710,N
7685,1,1,6,1,3,7,0,51-01301,9570
7686,2,6,2,2,6,7,0,17-03529,N
7687,1,1,1,1,N,3,0,40-00200,8191
7688,2,4,2,1,N,N,0,08-00803,N
7689,2,6,2,1,8,10,0,51-51255,9470
7690,2,1,1,2,3,7,4,17-03529,N
7691,2,6,1,2,3,9,0,40-00200,7860
7692,2,N,1,1,2,7,0,38-00100,6870
7693,2,1,6,2,6,3,0,17-03531,7860
7694,2,2,1,1,9,9,0,13-04600,9370
7695,2,6,1,0,3,7,0,19-01700,N
7696,2,1,6,2,6,9,0,38-00100,8370
7697,2,5,2,1,9,9,0,30-00600,5480
7698,2,6,8,1,3,9,0,40-00200,N
7699,2,4,1,1,6,11,0,19-01700,4971
7700,1,N,2,0,4,5,0,13-04600,6570
7701,1,6,8,1,8,9,0,06-07502,580
7702,2,1,2,2,0,3,0,28-01100,N
7703,1,1,1,0,0,4,0,51-01301,8590
7704,2,1,1,1,9,9,0,17-03529,6390
7705,1,1,8,1,8,10,0,51-51255,N
7706,1,N,1,1,4,7,0,40-00200,8180
7707,1,1,9,1,3,7,0,36-04010,N
7708,2,N,1,1,4,5,0,36-04010,8170
7709,2,1,1,1,N,3,0,28-01100,N
7710,2,1,1,2,3,3,0,06-08507,N
7711,1,N,9,2,3,5,0,30-00600,N
7712,1,N,2,1,9,9,0,13-04600,2370
7713,2,1,3,1,0,7,1,32-00405,9090
7714,2,1,6,1,7,4,0,51-01301,N
7715,2,3,1,1,9,10,0,38-00100,7290
7716,2,1,2,2,1,4,4,24-01004,7870
7717,2,1,1,2,4,9,0,19-01700,6991
7718,1,6,1,1,9,8,0,30-00600,8370
7719,2,4,8,2,N,3,0,38-00100,7870
7720,1,3,2,1,3,9,0,36-04010,N
7721,2,6,1,2,5,5,0,26-02702,7870
7722,1,N,9,1,9,10,0,24-01004,N
7723,1,1,1,2,4,5,0,28-01100,8680
7724,2,6,1,1,3,4,0,28-01100,4770
7725,1,2,2,1,9,10,0,08-00803,7380
7726,2,6,1,1,5,7,0,29-01901,4880
7727,2,1,1,1,7,5,0,29-01901,380
7728,1,1,1,2,1,9,0,38-00100,N
7729,2,1,1,1,0,4,0,06-07502,N
7730,2,N,2,1,2,10,0,36-03710,N
7731,2,1,1,1,6,7,0,01-01301,6480
7732,2,1,6,1,2,11,3,40-00200,7580
7733,2,4,2,2,8,12,0,19-01700,8680
7734,2,6,5,2,4,5,0,06-08507,N
7735,1,1,1,0,0,5,4,51-51255,7860
7736,2,1,6,2,4,5,0,40-00200,N
7737,1,6,8,1,5,7,0,13-04600,9370
7738,2,6,1,2,8,10,0,24-01004,9470
7739,2,6,1,2,0,7,0,29-01901,6970
7740,2,6,2,1,N,3,0,17-03529,N
7741,1,6,1,1,N,2,1,32-00405,N
7742,1,6,1,1,7,10,0,28-01100,8670
7743,2,6,2,1,3,9,4,32-00405,N
7744,2,6,1,0,3,3,0,51-51255,N
7745,2,N,2,2,8,12,0,36-04010,N
7746,1,6,1,0,0,7,0,26-02702,N
7747,1,N,1,1,6,10,0,28-01100,770
7748,1,1,1,1,8,8,0,28-01100,N
7749,2,6,1,2,4,10,0,17-03529,N
7750,2,6,2,1,4,5,0,19-01700,9170
7751,2,6,1,1,6,12,0,30-00600,8980
7752,1,1,1,2,N,3,0,19-01700,N
7753,1,1,2,1,8,12,0,51-01301,N
7754,1,6,1,1,7,10,0,51-01301,6672
7755,2,1,1,1,N,1,0,24-01004,N
7756,2,1,1,2,2,11,0,24-01004,7390
7757,2,N,1,2,5,7,0,30-00600,N
7758,2,1,1,1,5,11,0,19-01700,5070
7759,2,N,5,2,5,5,0,38-00100,N
7760,1,1,1,1,3,5,0,24-01004,4590
7761,2,N,1,2,2,4,4,29-01901,N
7762,2,4,1,1,9,10,0,29-01901,9920
7763,2,6,1,1,8,8,0,06-08507,N
7764,2,1,1,2,0,12,0,36-04010,8660
7765,2,6,9,1,4,6,0,40-00200,7770
7766,1,N,2,1,8,9,0,24-01004,7071
7767,1,1,6,1,5,4,0,17-03529,8680
7768,1,1,1,1,6,5,0,13-04600,N
7769,2,6,1,1,N,3,0,28-01100,9170
7770,1,6,1,1,8,9,0,51-01301,N
7771,1,1,9,1,9,9,0,13-04600,N
7772,2,6,1,2,0,4,0,51-01301,7380
7773,2,6,2,1,4,1,0,30-00600,5391
7774,1,6,1,2,N,2,0,30-00600,N
7775,1,N,3,1,2,9,0,36-04010,N
7776,1,N,1,1,9,10,0,51-51255,9590
7777,1,6,1,2,0,11,0,40-00200,8390
7778,2,1,1,1,7,10,0,38-00100,6080
7779,1,1,1,1,N,2,0,24-01004,7380
7780,2,N,3,1,0,4,0,28-01100,N
7781,2,6,2,2,2,6,0,26-02702,7870
7782,1,N,1,1,7,7,0,29-01901,8770
7783,1,3,2,2,1,4,0,26-02702,N
7784,2,6,1,1,9,7,0,38-00100,9160
7785,1,N,1,1,9,9,0,51-51255,8191
7786,1,4,2,1,5,9,0,17-03531,180
7787,2,1,1,1,8,10,0,01-01301,9480
7788,2,N,2,1,6,6,1,32-00405,7690
7789,1,1,1,1,2,4,2,17-03529,490
7790,2,6,1,1,8,9,4,06-07502,8680
7791,2,6,1,1,8,11,0,51-01301,9480
7792,1,6,6,1,N,3,0,19-01700,N
7793,2,N,2,1,9,12,0,19-01700,8680
7794,2,1,6,2,N,2,0,38-00100,N
7795,2,3,9,1,9,9,0,06-07502,N
7796,2,1,1,2,0,7,0,51-51255,7860
7797,2,6,9,1,1,4,0,13-04600,7470
7798,2,1,1,2,0,4,0,38-00100,8470
7799,1,6,1,2,8,10,0,51-51255,9590
7800,2,4,1,2,7,9,0,06-07502,9290
7801,1,N,1,2,7,9,0,51-51255,2390
7802,2,1,1,2,5,9,0,26-02702,7870
7803,2,6,1,1,1,7,0,24-01004,N
7804,1,N,1,2,N,3,0,36-04010,N
7805,1,1,3,2,9,10,0,17-03529,N
7806,1,6,1,2,N,3,0,40-00200,9790
7807,1,1,1,1,N,N,0,06-07502,N
7808,2,3,2,1,6,5,0,30-00600,N
7809,1,6,1,2,0,8,0,06-08507,8680
7810,2,1,1,2,0,5,0,38-00100,8680
7811,1,1,1,1,N,2,0,19-01700,6870
7812,1,N,2,2,6,10,0,06-08507,3390
7813,2,N,1,2,1,10,1,32-00405,N
7814,2,N,1,2,2,7,1,32-00405,N
7815,1,6,2,1,4,5,0,17-03529,7870
7816,2,N,2,2,9,11,0,19-01700,N
7817,1,N,1,1,2,6,0,51-01301,N
7818,2,1,2,2,6,8,4,40-00200,8680
7819,2,6,1,2,2,5,0,06-08507,8570
7820,1,6,1,1,4,4,0,38-00100,170
7821,2,6,1,1,7,10,1,08-00803,2780
7822,1,2,1,1,5,7,0,06-08507,N
7823,1,5,2,2,5,7,1,32-00405,770
7824,1,6,1,1,7,10,0,06-08507,N
7825,2,1,1,1,2,9,0,17-03529,3390
7826,2,6,1,1,0,8,0,28-01100,8270
7827,2,1,2,1,4,5,0,29-01901,4971
7828,2,5,2,1,6,9,0,36-03710,N
7829,1,2,6,1,8,11,0,51-01301,6190
7830,1,1,1,2,0,5,0,08-00803,7460
7831,2,N,1,1,N,3,0,32-00405,N
7832,1,1,2,1,4,5,0,36-04010,N
7833,1,N,1,1,9,9,0,30-00600,N
7834,2,1,1,2,2,8,0,08-00803,1190
7835,1,N,3,1,6,10,0,13-04600,7470
7836,2,5,1,2,0,7,0,24-01004,7290
7837,1,1,1,1,9,12,0,26-02702,N
7838,1,6,1,2,6,12,0,08-00803,7870
7839,2,1,1,1,3,5,0,26-02702,N
7840,1,N,1,2,6,5,0,40-00200,7290
7841,2,2,1,2,7,9,0,36-04010,N
7842,2,6,9,1,1,4,0,28-01100,N
7843,2,6,1,1,2,4,0,38-00100,8270
7844,1,1,1,1,3,7,0,38-00100,N
7845,2,6,1,1,4,9,0,06-08507,N
7846,1,4,1,1,N,3,0,06-08507,2090
7847,2,1,1,1,9,11,0,36-03710,8590
7848,1,N,1,2,N,4,0,30-00600,N
7849,2,2,8,1,9,11,0,24-01004,7580
7850,1,N,6,2,1,9,4,51-51255,9590
7851,1,1,1,2,7,9,0,38-00100,5391
7852,2,6,8,2,1,5,0,01-01301,N
7853,1,1,1,0,1,6,0,51-01301,770
7854,2,3,1,1,9,12,0,13-04600,590
7855,2,1,3,1,9,9,0,17-03529,N
7856,2,1,1,1,6,4,0,13-04600,6290
7857,2,1,2,1,N,2,0,38-00100,7980
7858,1,3,1,0,2,5,0,17-03529,6680
7859,2,1,1,1,5,9,0,36-04010,N
7860,2,6,6,0,1,7,0,17-03529,7870
7861,1,1,1,1,8,12,1,32-00405,N
7862,2,1,1,1,5,7,0,13-04600,N
7863,1,1,3,1,2,4,0,40-00200,N
7864,1,1,6,1,N,3,0,24-01004,N
7865,2,6,1,0,2,5,1,40-00200,N
7866,1,4,1,1,N,N,0,08-00803,7890
7867,2,1,1,0,1,7,0,13-04600,8680
7868,1,6,2,1,N,3,0,30-00600,N
7869,2,1,1,1,6,7,0,06-08507,N
7870,1,6,3,2,7,9,4,24-01004,8563
7871,2,N,2,2,1,7,0,51-01301,3070
7872,1,1,1,2,3,5,0,08-00803,8660
7873,2,N,1,2,4,8,0,30-00600,770
7874,1,N,6,2,5,5,0,26-02702,7490
7875,1,1,1,0,N,3,0,40-00200,9480
7876,2,6,2,2,5,7,0,51-51255,9170
7877,1,6,2,0,5,5,0,13-04600,9490
7878,1,N,6,2,0,7,2,36-03710,7071
7879,1,6,2,1,9,10,0,30-00600,8660
7880,2,N,2,1,7,7,0,17-03531,6870
7881,1,6,1,2,0,7,0,19-01700,3080
7882,2,6,1,1,9,7,0,24-01004,N
7883,2,1,6,1,5,7,0,19-01700,7860
7884,2,6,1,1,6,9,0,38-00100,170
7885,2,3,1,1,7,9,0,17-03529,7280
7886,2,6,1,1,6,9,0,29-01901,N
7887,2,6,1,2,4,5,0,24-01004,7460
7888,2,3,1,2,8,7,0,36-04010,7860
7889,2,1,1,2,7,11,0,08-00803,770
7890,2,N,1,2,9,9,1,32-00405,N
7891,1,6,1,2,7,9,1,32-00405,8290
7892,1,6,2,1,1,7,0,32-00405,6970
7893,2,1,3,1,6,7,0,51-01301,7380
7894,2,6,2,1,2,9,0,01-01301,6890
7895,1,1,1,1,5,8,2,24-01004,7970
7896,1,6,8,1,3,9,0,28-01100,N
7897,1,1,6,1,4,9,0,36-04010,N
7898,2,1,1,1,N,3,0,40-00200,N
7899,2,1,2,1,7,10,0,38-00100,9490
7900,2,1,2,2,1,7,0,13-04600,N
7901,1,1,1,1,7,7,4,36-03710,8680
7902,2,1,1,1,6,7,0,06-08507,770
7903,2,3,1,2,N,3,0,08-00803,2480
7904,2,1,6,1,3,5,0,28-01100,N
7905,2,6,1,1,0,4,0,40-00200,7860
7906,2,1,1,1,6,9,0,28-01100,7580
7907,1,6,8,2,1,7,0,28-01100,7860
7908,1,6,1,1,9,9,0,01-01301,8370
7909,1,6,6,1,8,10,0,13-04600,2370
7910,2,1,1,2,N,N,0,06-08507,7071
7911,2,N,1,1,2,5,0,06-08507,N
7912,2,1,1,1,3,5,0,13-04600,N
7913,2,N,2,1,8,9,0,38-00100,170
7914,2,6,2,2,N,3,4,26-02702,3070
7915,1,6,1,1,7,8,0,26-02702,N
7916,2,6,1,1,1,7,1,32-00405,N
7917,1,1,1,2,9,10,0,29-01901,9470
7918,2,6,2,1,8,7,0,06-07502,7380
7919,2,1,1,0,1,7,1,51-51255,1070
7920,1,4,2,1,5,8,0,36-04010,6080
7921,1,2,1,2,7,7,0,08-00803,N
7922,1,6,1,1,2,3,0,30-00600,N
7923,2,1,1,1,0,5,0,30-00600,9370
7924,2,6,1,1,2,8,0,38-00100,N
7925,2,6,1,2,4,9,0,30-00600,N
7926,2,1,6,1,2,5,0,28-01100,8680
7927,1,1,1,1,0,3,0,36-04010,N
7928,1,N,1,1,6,8,0,13-04600,N
7929,2,1,1,1,N,1,4,36-03710,3980
7930,2,1,1,1,9,10,0,13-04600,9160
7931,2,4,2,1,0,4,0,19-01700,7580
7932,2,4,2,1,5,7,0,30-00600,N
7933,1,6,2,1,5,7,4,36-03710,N
7934,2,N,1,2,N,2,0,32-00405,N
7935,2,1,1,2,N,N,0,13-04600,3960
7936,1,N,1,1,N,N,0,38-00100,N
7937,2,6,1,1,6,7,0,19-01700,4971
7938,2,5,2,1,N,3,0,19-01700,N
7939,2,1,1,1,N,3,0,51-51255,7870
7940,2,6,2,1,4,9,0,06-08507,N
7941,1,1,1,1,9,10,0,17-03529,N
7942,2,6,1,2,4,10,0,51-01301,N
7943,2,1,2,1,4,5,0,38-00100,N
7944,2,6,2,1,N,3,0,38-00100,N
7945,2,6,2,1,0,6,0,26-02702,N
7946,2,1,2,1,2,8,0,13-04600,8290
7947,2,4,2,1,N,3,0,24-01004,N
7948,1,6,2,1,N,2,0,08-00803,8660
7949,2,N,2,1,N,N,4,36-03710,9470
7950,1,6,1,2,9,10,0,17-03531,N
7951,1,N,3,0,0,7,0,24-01004,6490
7952,1,6,2,2,9,9,0,24-01004,N
7953,1,6,1,1,7,9,0,06-08507,8290
7954,2,6,1,1,7,10,0,29-01901,N
7955,2,6,1,1,2,5,0,38-00100,670
7956,2,6,1,2,9,7,0,24-01004,7870
7957,2,6,2,0,N,4,0,26-02702,8390
7958,2,6,1,1,9,9,0,29-01901,8680
7959,2,6,7,0,8,9,0,51-51255,7860
7960,1,1,6,0,0,7,0,24-01004,7380
7961,1,1,1,0,4,5,0,08-00803,6170
7962,1,4,2,1,8,10,0,17-03529,8180
7963,1,6,2,0,1,7,0,19-01700,6991
7964,1,6,9,1,0,6,0,24-01004,7390
7965,2,4,1,2,1,5,0,06-08507,7380
7966,2,6,1,2,3,9,0,24-01004,7970
7967,2,6,6,1,7,5,0,24-01004,7380
7968,1,6,1,2,N,3,0,13-04600,N
7969,1,4,1,1,9,9,0,36-04010,N
7970,2,1,6,2,9,8,0,51-51255,N
7971,2,5,2,2,7,10,0,06-07502,N
7972,2,3,9,2,7,10,0,40-00200,6380
7973,2,N,8,2,5,5,0,08-00803,6380
7974,2,6,1,2,0,9,0,51-51255,9470
7975,2,6,1,1,7,9,0,51-51255,6991
7976,1,1,2,2,1,5,0,24-01004,9290
7977,1,5,2,1,2,9,0,13-04600,N
7978,1,1,2,1,N,3,0,38-00100,N
7979,1,2,2,1,6,10,0,13-04600,N
7980,2,6,2,1,9,7,0,36-04010,N
7981,2,3,2,2,6,2,0,51-51255,9590
7982,1,3,1,2,N,3,0,24-01004,N
7983,2,5,1,2,9,11,4,29-01901,N
7984,2,4,1,2,5,7,0,51-01301,8290
7985,1,1,1,1,7,9,0,17-03529,N
7986,1,5,2,2,N,3,0,28-01100,8680
7987,2,4,2,1,6,9,0,13-04600,770
7988,1,N,3,1,7,9,0,17-03531,8191
7989,1,1,1,1,N,N,0,38-00100,8090
7990,1,1,1,2,9,6,0,24-01004,570
7991,2,6,2,1,9,7,0,24-01004,6991
7992,2,1,6,1,N,3,0,19-01700,8680
7993,2,6,6,2,4,5,0,08-00803,6570
7994,2,1,6,1,4,5,0,17-03529,N
7995,2,1,1,1,7,9,0,13-04600,8680
7996,1,1,1,1,8,7,0,06-07502,N
7997,2,1,1,1,6,8,0,26-02702,N
7998,2,6,8,0,3,5,0,19-01700,N
7999,2,1,1,2,4,5,0,24-01004,N
8000,1,N,1,2,9,10,4,36-03710,9470
8001,1,1,2,2,N,N,0,24-01004,N
8002,2,6,2,0,0,4,0,08-00803,7860
8003,2,N,2,2,0,6,0,26-02702,N
8004,1,4,1,1,4,5,0,28-01100,1180
8005,1,N,9,1,N,2,0,32-00405,N
8006,1,6,2,0,5,7,0,24-01004,N
8007,1,N,1,1,8,12,0,17-03531,N
8008,2,6,2,0,5,7,0,24-01004,8680
8009,2,N,3,1,N,N,0,38-00100,3365
8010,2,N,1,1,N,N,0,06-08507,9290
8011,2,1,1,1,6,5,0,36-04010,8680
8012,1,6,2,2,9,10,0,08-00803,8680
8013,2,6,2,1,N,3,0,13-04600,N
8014,1,1,1,2,9,9,0,01-01301,4971
8015,2,1,3,2,N,1,1,40-00200,8570
8016,2,N,1,2,6,5,4,36-03710,N
8017,2,6,1,1,5,8,0,51-51255,570
8018,2,1,1,1,N,3,0,36-04010,690
8019,2,6,3,2,4,8,0,06-08507,N
8020,2,6,6,1,3,7,0,17-03529,3365
8021,2,2,2,1,9,10,0,24-01004,7390
8022,1,4,2,1,0,4,0,06-07502,7270
8023,2,6,1,1,9,9,0,24-01004,N
8024,2,1,8,1,8,10,0,08-00803,6380
8025,1,6,2,2,6,7,0,17-03529,7870
8026,1,N,7,0,0,3,0,06-07502,7380
8027,2,3,1,2,N,N,0,29-01901,9380
8028,1,6,2,2,5,9,2,36-03710,N
8029,1,6,8,1,N,1,0,17-03531,N
8030,2,5,2,1,1,7,0,51-51255,190
8031,1,1,1,1,3,5,0,19-01700,6380
8032,2,4,2,1,3,7,1,32-00405,7690
8033,2,1,1,2,7,10,0,30-00600,180
8034,2,6,6,2,5,7,0,08-00803,8090
8035,1,6,1,1,4,5,0,17-03529,N
8036,1,3,2,1,9,9,0,13-04600,N
8037,2,6,2,2,4,1,0,01-01301,N
8038,2,1,1,0,1,7,0,28-01100,7690
8039,2,3,2,2,8,10,0,29-01901,N
8040,1,1,2,2,3,9,0,36-04010,3875
8041,2,3,1,2,6,7,0,17-03531,N
8042,1,6,1,0,1,7,0,51-51255,9480
8043,2,4,1,1,0,4,0,17-03529,7071
8044,1,6,3,1,N,3,0,17-03531,N
8045,1,1,3,0,0,7,0,26-02702,N
8046,2,6,1,1,2,9,1,19-01700,N
8047,2,1,5,1,0,5,0,08-00803,8090
8048,1,6,2,1,N,3,0,51-51255,770
