,PUMA,AGEP,RAC1P,MSP,SEX,HOUSING_TYPE,OWN_RENT,DVET,PINCP_DECILE,EDU,NOC,HISP
6780,06-08507,67,6,6,2,1,1,N,2,3,4,0
6781,08-00803,43,1,1,1,1,1,N,0,3,3,0
6782,36-04010,18,1,6,2,1,1,N,9,12,0,0
6783,51-51255,20,1,4,2,1,2,N,N,5,0,0
6784,24-01004,52,1,6,2,1,0,N,4,1,2,0
6785,40-00200,50,1,1,1,1,0,N,2,9,0,0
6786,30-00600,1,1,6,1,1,2,N,3,9,3,2
6787,28-01100,30,2,3,2,1,2,N,2,3,0,0
6788,29-01901,30,2,6,2,1,2,N,4,3,0,0
6789,36-04010,38,2,6,2,1,2,N,2,9,0,0
6790,30-00600,48,1,N,1,1,0,N,0,5,0,0
6791,17-03529,2,1,1,1,1,1,N,1,N,1,0
6792,36-04010,11,1,N,1,1,1,N,N,8,0,0
6793,24-01004,12,1,N,1,1,2,N,1,4,2,0
6794,17-03529,26,1,1,2,1,2,N,7,9,0,0
6795,01-01301,10,2,N,1,1,1,N,7,5,N,0
6796,38-00100,56,1,1,1,1,1,N,8,5,0,0
6797,19-01700,27,1,N,2,1,1,N,7,5,0,0
6798,01-01301,44,2,6,2,1,2,N,3,7,2,0
6799,17-03531,64,2,4,1,2,1,N,7,4,0,0
6800,17-03529,14,2,1,2,1,2,N,6,9,0,0
6801,06-08507,6,6,6,1,3,2,N,N,7,0,0
6802,32-00405,34,2,6,1,1,1,N,9,1,2,0
6803,51-01301,72,1,6,1,1,1,N,7,1,2,0
6804,19-01700,72,1,1,2,1,0,N,2,8,0,0
6805,30-00600,30,1,1,1,1,1,N,4,2,0,0
6806,29-01901,32,2,N,1,1,2,N,N,9,0,0
6807,08-00803,0,1,N,1,1,1,N,2,10,1,0
6808,01-01301,56,2,1,2,1,2,N,8,7,0,0
6809,38-00100,5,5,1,1,1,1,N,N,11,2,0
6810,17-03529,18,2,6,2,3,1,N,9,7,N,0
6811,26-02702,30,6,1,2,1,1,N,8,5,0,0
6812,17-03531,23,8,2,2,1,1,N,7,7,0,0
6813,32-00405,49,1,3,2,1,1,N,6,2,1,0
6814,38-00100,32,1,1,1,1,2,N,6,10,0,0
6815,36-03710,80,2,3,1,1,2,N,4,5,0,0
6816,32-00405,56,8,N,2,1,1,N,5,7,0,0
6817,36-04010,29,2,N,2,1,1,N,3,7,N,0
6818,28-01100,30,1,6,1,1,2,N,N,9,2,0
6819,51-01301,39,1,1,1,1,0,N,2,9,0,0
6820,08-00803,8,1,6,2,1,1,N,3,11,0,0
6821,06-07502,59,1,1,1,1,2,4,5,9,0,0
6822,19-01700,10,2,6,1,1,1,N,4,11,0,0
6823,01-01301,21,2,6,2,1,1,N,9,9,0,0
6824,06-07502,21,1,6,1,1,0,5,7,9,0,0
6825,38-00100,50,3,1,1,1,2,N,3,7,1,0
6826,40-00200,56,3,1,2,1,2,N,6,7,0,0
6827,36-04010,79,2,1,2,1,2,N,6,3,1,0
6828,06-07502,55,1,6,2,1,1,N,N,12,0,0
6829,51-51255,2,1,6,1,1,1,N,0,4,3,2
6830,32-00405,34,2,6,1,1,1,N,9,3,2,0
6831,29-01901,63,2,6,1,1,2,N,2,7,0,0
6832,30-00600,64,1,6,2,3,2,N,N,11,2,0
6833,38-00100,70,1,6,2,1,1,N,0,12,0,0
6834,06-07502,29,1,N,1,1,1,N,0,9,0,0
6835,28-01100,15,2,3,2,1,1,N,5,3,1,0
6836,38-00100,47,1,6,1,1,2,N,7,7,0,0
6837,26-02702,30,6,6,1,3,1,N,3,12,1,0
6838,40-00200,54,1,6,1,1,1,N,6,9,0,0
6839,19-01700,46,2,4,2,1,0,N,1,9,0,0
6840,13-04600,70,2,N,2,1,1,N,1,7,0,0
6841,28-01100,49,2,1,2,1,1,N,8,3,4,0
6842,24-01004,69,1,4,1,1,1,N,1,3,3,0
6843,36-03710,74,1,4,2,1,2,N,2,7,0,0
6844,36-04010,21,2,6,1,1,1,N,4,10,0,0
6845,32-00405,39,8,4,2,1,1,N,6,8,0,0
6846,38-00100,35,1,1,2,1,2,N,N,9,0,0
6847,36-04010,45,2,N,1,1,1,N,7,7,N,0
6848,40-00200,48,1,N,1,1,1,N,9,5,0,0
6849,28-01100,68,2,1,1,1,1,N,2,9,0,0
6850,30-00600,66,6,1,1,1,1,N,9,5,0,0
6851,17-03529,32,2,6,1,1,2,N,3,9,0,0
6852,26-02702,54,1,6,2,3,1,N,6,10,0,0
6853,06-07502,28,1,1,1,1,1,N,9,2,4,0
6854,24-01004,49,1,1,1,1,1,N,4,7,0,0
6855,38-00100,58,1,1,1,1,2,N,5,N,1,0
6856,19-01700,28,1,6,2,1,1,N,N,N,0,0
6857,51-51255,86,1,N,1,1,1,N,8,5,4,1
6858,36-03710,25,2,6,2,1,2,N,4,5,0,0
6859,38-00100,22,1,1,2,1,2,N,3,12,0,0
6860,24-01004,20,6,1,1,1,1,N,0,12,0,0
6861,06-08507,53,6,3,1,1,1,N,5,N,4,0
6862,29-01901,4,3,6,2,1,2,N,5,N,1,0
6863,51-01301,32,1,4,2,1,1,N,0,12,0,0
6864,51-51255,18,1,2,2,1,1,N,N,5,0,0
6865,28-01100,21,2,1,1,1,2,N,4,10,1,0
6866,17-03531,58,2,N,1,1,2,N,2,9,4,0
6867,51-01301,29,1,3,1,1,1,N,9,10,0,0
6868,24-01004,21,6,1,2,1,2,N,0,10,0,0
6869,40-00200,60,1,N,2,1,2,N,9,1,0,0
6870,51-51255,67,1,1,2,1,2,N,2,7,0,0
6871,06-08507,69,6,1,1,1,0,N,2,12,0,0
6872,36-04010,16,2,N,1,1,1,N,1,N,0,0
6873,28-01100,27,2,6,2,1,1,N,5,5,2,0
6874,19-01700,27,1,6,2,3,0,N,0,2,0,0
6875,06-08507,59,6,4,2,1,1,N,2,5,0,0
6876,32-00405,53,2,6,1,1,1,N,7,7,1,0
6877,38-00100,19,1,4,1,1,1,N,0,7,0,0
6878,01-01301,75,1,1,1,1,1,N,5,5,0,0
6879,36-03710,52,2,1,2,1,1,N,7,7,6,0
6880,17-03529,71,6,6,1,3,1,N,4,7,0,0
6881,51-51255,33,2,1,1,1,2,N,8,7,N,0
6882,19-01700,68,1,6,1,1,1,N,9,5,0,1
6883,01-01301,57,2,1,1,1,1,N,6,10,0,0
6884,13-04600,12,6,4,1,1,1,N,3,10,3,0
6885,06-08507,49,1,5,2,1,1,N,4,10,0,0
6886,38-00100,58,1,1,2,1,1,N,N,5,0,0
6887,08-00803,20,1,1,1,1,1,N,N,7,0,0
6888,17-03529,66,2,6,1,1,1,N,N,7,0,0
6889,06-08507,67,6,1,1,1,2,N,5,3,2,0
6890,51-51255,8,2,3,2,1,1,N,9,9,2,0
6891,17-03531,41,2,4,1,1,2,N,6,10,0,0
6892,29-01901,24,2,1,2,1,1,N,1,3,4,1
6893,32-00405,21,8,N,1,1,1,N,8,N,2,0
6894,51-51255,58,1,2,2,1,1,N,1,9,0,0
6895,38-00100,66,1,1,1,1,0,N,0,7,0,0
6896,38-00100,31,1,1,2,1,1,N,7,9,0,0
6897,24-01004,9,1,4,1,1,1,N,1,1,2,4
6898,26-02702,18,6,2,2,1,2,N,5,5,1,0
6899,17-03529,64,2,N,2,1,1,N,7,9,0,0
6900,30-00600,63,1,4,2,1,2,N,0,9,0,0
6901,38-00100,56,8,6,2,1,2,N,7,4,0,0
6902,13-04600,48,2,6,2,1,1,N,3,7,0,0
6903,06-08507,37,1,1,2,1,2,N,4,1,2,0
6904,32-00405,72,1,6,2,3,1,N,6,5,2,0
6905,24-01004,51,1,4,1,1,1,N,2,7,0,0
6906,32-00405,70,2,1,1,1,1,N,N,4,3,0
6907,40-00200,11,9,6,2,1,1,N,4,8,0,0
6908,06-08507,60,6,N,1,1,2,N,3,5,1,0
6909,28-01100,21,2,3,2,1,2,N,2,7,0,0
6910,08-00803,27,1,6,2,1,1,N,1,10,2,0
6911,17-03529,28,2,1,1,1,0,N,0,5,0,0
6912,38-00100,3,1,1,1,1,1,N,5,5,2,0
6913,28-01100,66,1,6,1,1,1,N,0,7,0,0
6914,13-04600,21,2,N,1,1,2,N,3,3,4,0
6915,01-01301,63,2,1,2,1,0,N,0,11,3,0
6916,06-07502,73,1,1,1,1,2,N,N,10,0,0
6917,08-00803,30,1,3,1,1,1,N,4,9,0,0
6918,36-04010,2,2,6,2,1,1,N,N,6,0,0
6919,06-07502,32,5,1,1,1,1,N,1,9,0,0
6920,24-01004,14,6,4,2,1,1,N,N,3,2,0
6921,32-00405,15,1,3,2,1,1,N,6,N,1,2
6922,30-00600,45,1,6,2,3,1,N,6,7,0,0
6923,01-01301,42,2,3,2,1,2,N,2,7,0,0
6924,38-00100,65,1,1,2,1,2,N,N,5,0,0
6925,36-03710,75,1,6,1,1,2,N,3,12,0,0
6926,30-00600,32,1,3,2,3,1,N,3,7,0,0
6927,38-00100,39,3,4,2,1,1,N,1,9,0,0
6928,29-01901,46,2,4,1,1,1,N,6,3,1,4
6929,08-00803,20,1,6,2,1,1,N,2,9,0,0
6930,38-00100,3,3,1,1,1,1,N,7,9,0,0
6931,24-01004,51,1,1,1,1,1,N,2,4,0,0
6932,30-00600,76,1,N,2,1,2,N,1,N,1,4
6933,17-03531,69,2,1,1,1,1,N,9,10,1,0
6934,28-01100,68,2,6,1,1,2,N,1,4,N,0
6935,17-03529,2,1,4,2,1,1,N,5,7,N,0
6936,29-01901,65,2,1,1,1,1,N,8,4,1,0
6937,26-02702,18,6,6,2,1,2,N,N,10,0,0
6938,29-01901,70,2,6,2,1,1,N,9,7,0,0
6939,08-00803,18,1,N,1,1,2,N,9,3,2,0
6940,36-03710,74,8,1,1,1,1,N,N,1,0,1
6941,38-00100,21,1,4,2,1,2,N,2,10,0,0
6942,51-01301,52,1,3,2,1,2,N,N,N,5,3
6943,51-01301,10,2,4,1,1,1,N,8,N,2,0
6944,24-01004,60,8,1,1,1,2,N,5,10,0,0
6945,51-01301,28,1,N,1,1,2,N,5,8,4,1
6946,40-00200,67,3,6,2,1,2,N,N,10,2,0
6947,17-03531,37,2,6,1,1,1,N,0,2,1,0
6948,24-01004,89,1,1,2,1,2,N,4,6,0,0
6949,51-01301,24,1,6,1,1,1,N,6,7,0,0
6950,24-01004,14,1,N,2,1,2,N,N,11,0,0
6951,38-00100,61,3,6,1,2,2,N,0,3,2,0
6952,13-04600,36,1,N,2,1,2,N,0,9,0,0
6953,08-00803,57,1,6,2,1,1,N,9,9,1,0
6954,28-01100,22,2,1,2,1,2,N,4,6,0,0
6955,40-00200,13,1,3,2,3,1,N,3,10,0,0
6956,26-02702,53,6,1,1,1,1,N,1,5,0,0
6957,26-02702,53,1,4,2,1,1,N,7,7,0,0
6958,06-08507,26,1,6,1,1,0,N,0,5,0,0
6959,51-01301,94,1,N,1,1,1,N,9,7,0,0
6960,13-04600,37,2,6,2,1,1,N,3,8,0,1
6961,38-00100,9,1,6,2,1,1,N,4,5,0,0
6962,24-01004,41,1,1,2,1,1,N,3,7,0,0
6963,38-00100,22,1,6,1,1,1,N,9,10,0,0
6964,38-00100,60,1,1,2,1,1,N,7,3,0,1
6965,19-01700,24,6,6,2,1,1,N,9,2,2,0
6966,24-01004,44,2,6,2,1,2,N,5,10,0,0
6967,38-00100,83,1,6,2,1,1,N,N,2,2,0
6968,08-00803,72,1,1,2,1,2,N,N,9,0,0
6969,13-04600,69,2,4,2,1,2,N,N,5,2,0
6970,36-04010,33,2,N,2,1,2,N,5,9,0,0
6971,28-01100,31,2,1,2,1,1,N,8,8,0,0
6972,24-01004,71,1,6,2,1,1,N,N,9,0,0
6973,36-04010,64,1,6,1,1,1,N,9,2,0,0
6974,30-00600,9,1,6,2,1,1,N,4,7,0,2
6975,24-01004,47,1,1,1,1,2,N,4,12,2,0
6976,38-00100,29,1,6,1,1,2,N,8,5,0,0
6977,26-02702,35,9,1,2,1,1,N,1,3,0,1
6978,17-03529,1,2,1,2,1,2,N,5,6,5,0
6979,38-00100,22,6,4,2,1,1,N,5,10,0,0
6980,40-00200,81,3,1,1,1,1,N,9,5,3,0
6981,24-01004,67,1,1,1,1,2,N,9,5,0,0
6982,51-01301,15,6,N,2,1,2,N,0,7,0,0
6983,17-03529,22,6,6,2,1,1,N,1,7,0,0
6984,08-00803,60,1,1,2,1,1,N,N,5,0,1
6985,24-01004,12,3,6,2,1,1,N,N,11,0,0
6986,17-03531,36,2,6,2,1,2,N,0,6,2,4
6987,26-02702,73,1,N,2,1,1,N,7,10,3,0
6988,51-01301,11,1,N,1,1,1,N,8,5,1,1
6989,30-00600,5,8,6,1,1,1,N,5,12,0,0
6990,40-00200,30,3,6,2,2,1,N,2,2,1,0
6991,26-02702,80,1,1,1,1,1,N,N,4,N,4
6992,32-00405,35,2,6,1,1,1,N,2,3,0,0
6993,06-07502,72,6,6,2,1,1,N,8,10,4,0
6994,28-01100,12,2,1,2,1,2,N,5,5,0,0
6995,13-04600,67,2,6,2,1,2,N,N,7,0,1
6996,51-01301,11,1,1,2,1,2,N,0,10,0,0
6997,08-00803,19,1,1,1,1,2,N,7,4,0,0
6998,32-00405,20,1,N,1,1,1,N,N,9,0,0
6999,24-01004,65,1,1,2,1,2,N,4,10,0,0
7000,13-04600,56,2,1,2,1,1,N,4,2,5,0
7001,36-03710,0,2,6,1,1,1,N,8,11,2,0
7002,17-03529,36,1,1,1,1,0,N,1,5,0,4
7003,17-03531,43,9,1,1,1,0,N,8,7,N,0
7004,17-03529,67,1,2,1,1,1,5,9,10,0,0
7005,24-01004,57,1,1,1,1,2,N,N,2,1,0
7006,08-00803,49,1,4,1,2,0,N,4,3,2,0
7007,19-01700,2,1,N,1,1,2,N,N,6,0,0
7008,19-01700,11,1,1,1,1,2,N,2,3,0,0
7009,26-02702,20,1,1,1,1,1,N,8,7,0,0
7010,38-00100,39,8,1,2,1,2,N,N,9,2,0
7011,36-04010,54,2,3,2,1,2,N,4,7,N,0
7012,17-03529,36,2,6,1,1,2,N,0,4,0,0
7013,17-03529,28,2,3,2,1,2,N,4,10,0,0
7014,28-01100,2,2,5,2,1,1,5,7,1,3,0
7015,13-04600,66,2,1,1,1,1,N,N,11,0,0
7016,08-00803,35,1,1,1,1,1,N,8,3,0,2
7017,51-51255,6,1,3,2,1,2,N,6,7,0,1
7018,29-01901,30,2,1,1,1,1,N,N,7,N,0
7019,26-02702,22,1,N,1,1,0,N,1,5,0,0
7020,19-01700,8,6,1,1,1,1,N,9,7,1,0
7021,01-01301,23,9,1,1,1,1,N,3,4,0,0
7022,32-00405,6,1,N,2,1,1,N,N,9,0,0
7023,30-00600,0,9,1,2,1,1,N,4,9,0,0
7024,01-01301,37,9,1,2,1,2,N,6,3,2,0
7025,24-01004,56,8,6,1,1,2,N,9,12,0,0
7026,13-04600,56,2,4,1,1,1,N,2,7,0,0
7027,51-01301,71,1,6,2,3,2,N,5,1,2,1
7028,38-00100,35,1,1,2,1,1,N,3,1,2,1
7029,51-51255,0,9,1,2,1,1,N,N,10,1,0
7030,40-00200,78,2,1,1,1,0,N,1,5,N,0
7031,06-07502,20,1,6,2,1,2,N,N,9,N,0
7032,38-00100,31,1,3,2,1,1,N,N,5,1,0
7033,36-03710,26,2,N,2,1,2,N,9,8,0,0
7034,36-03710,0,8,6,1,1,2,N,5,9,0,0
7035,06-07502,7,1,6,1,1,1,N,6,2,1,0
7036,08-00803,20,1,1,2,1,0,N,2,9,3,1
7037,13-04600,18,2,1,2,1,0,N,2,2,1,0
7038,06-07502,69,1,1,1,1,1,N,N,3,2,0
7039,51-01301,50,1,6,1,1,2,N,9,3,5,0
7040,01-01301,60,2,1,1,1,2,N,0,7,1,0
7041,51-01301,39,1,1,1,1,1,N,2,8,1,0
7042,08-00803,66,1,N,1,1,1,N,5,11,0,0
7043,17-03529,44,1,6,2,1,1,N,8,9,2,0
7044,06-08507,15,1,N,1,1,1,N,5,5,0,0
7045,26-02702,9,1,6,2,1,2,N,N,7,0,1
7046,08-00803,62,1,6,2,1,1,N,3,7,0,1
7047,06-08507,45,6,1,1,1,0,N,4,7,2,0
7048,38-00100,86,1,6,2,1,2,N,2,11,0,0
7049,38-00100,64,1,1,1,1,1,N,4,3,N,0
7050,13-04600,74,2,1,1,1,2,N,1,5,1,0
7051,40-00200,35,1,1,2,1,1,N,N,9,3,0
7052,24-01004,83,1,5,1,1,1,N,0,11,2,0
7053,17-03529,67,1,6,1,1,1,N,4,9,0,0
7054,51-51255,57,2,N,2,1,2,N,3,10,0,0
7055,51-01301,70,1,6,1,1,0,N,2,3,1,0
7056,19-01700,28,1,1,2,1,1,N,1,5,0,0
7057,17-03529,51,6,6,2,1,1,N,3,11,1,0
7058,30-00600,59,3,1,1,1,1,N,8,5,0,0
7059,08-00803,19,1,6,1,1,0,N,2,2,9,0
7060,51-51255,52,1,N,2,1,2,N,2,3,3,0
7061,06-07502,25,1,6,2,1,1,N,N,10,0,0
7062,26-02702,2,1,1,1,1,1,N,0,8,3,0
7063,36-04010,64,2,5,1,1,2,N,2,10,0,0
7064,08-00803,25,1,3,1,1,1,N,5,9,0,0
7065,24-01004,55,1,N,2,1,2,N,0,10,0,0
7066,38-00100,37,1,2,1,3,2,N,5,5,0,0
7067,30-00600,45,1,6,1,3,2,N,N,9,0,0
7068,13-04600,35,2,1,1,1,1,N,7,11,2,0
7069,06-08507,22,6,6,2,1,1,N,5,7,0,0
7070,06-07502,25,1,6,2,1,1,N,3,9,0,0
7071,30-00600,70,1,1,1,1,2,N,0,10,3,0
7072,32-00405,15,8,N,1,1,1,N,4,10,0,0
7073,13-04600,29,1,6,2,1,1,N,N,9,0,0
7074,36-03710,63,8,6,1,1,2,N,2,11,0,0
7075,36-03710,20,8,1,2,1,1,N,1,7,0,0
7076,30-00600,51,6,6,2,1,2,N,3,9,0,0
7077,17-03529,53,2,1,1,1,1,N,N,5,0,0
7078,24-01004,15,2,1,1,1,2,N,7,9,1,0
7079,17-03529,44,1,N,2,1,1,N,7,7,0,0
7080,24-01004,35,1,6,2,1,2,N,0,7,0,0
7081,19-01700,24,1,6,2,1,1,N,2,10,0,0
7082,01-01301,34,2,6,1,3,2,N,8,9,0,0
7083,38-00100,40,1,N,1,1,1,N,6,5,4,1
7084,24-01004,83,1,6,2,1,1,N,4,6,N,0
7085,08-00803,20,1,4,2,1,2,N,6,9,0,0
7086,06-08507,0,2,4,1,1,2,N,N,9,1,0
7087,06-08507,16,1,1,2,1,2,N,1,10,0,0
7088,29-01901,51,2,N,2,1,2,N,N,7,N,0
7089,06-08507,89,6,6,2,1,1,N,9,11,0,0
7090,36-03710,45,8,4,2,1,2,N,N,7,0,0
7091,17-03529,17,2,6,2,1,1,N,2,10,0,0
7092,19-01700,28,2,3,2,1,1,N,N,4,3,2
7093,36-04010,67,6,6,1,1,1,N,0,3,N,1
7094,24-01004,67,1,N,1,1,2,N,1,5,0,0
7095,30-00600,12,3,N,1,1,2,N,7,4,0,0
7096,17-03529,61,2,6,1,1,0,N,0,7,0,0
7097,06-07502,29,1,N,2,1,1,N,2,10,2,0
7098,51-51255,29,2,6,2,1,1,N,9,5,0,0
7099,17-03529,57,2,6,2,1,1,N,8,5,0,0
7100,51-01301,33,1,1,1,1,1,N,6,10,0,0
7101,30-00600,35,1,1,1,1,2,N,N,10,0,0
7102,32-00405,39,8,1,2,1,1,N,9,5,0,0
7103,26-02702,1,1,6,1,1,1,N,7,5,0,1
7104,26-02702,19,1,1,1,1,2,N,2,7,N,0
7105,13-04600,38,2,1,2,1,1,N,7,7,2,0
7106,30-00600,14,1,6,1,1,2,N,3,5,0,0
7107,17-03529,3,9,6,1,1,1,N,5,8,0,0
7108,06-08507,60,6,6,2,1,1,N,9,10,0,0
7109,38-00100,64,1,1,2,1,2,N,9,7,0,0
7110,24-01004,79,6,1,2,1,1,N,4,3,0,0
7111,40-00200,53,2,6,2,1,2,N,5,1,2,4
7112,06-07502,25,6,3,2,1,2,N,0,10,0,0
7113,26-02702,53,6,2,1,1,2,N,6,9,0,0
7114,40-00200,26,1,1,2,1,1,N,6,6,0,0
7115,26-02702,85,1,N,2,1,2,N,9,5,0,0
7116,36-04010,38,2,1,2,1,1,N,N,3,2,0
7117,28-01100,45,2,6,1,1,1,N,7,1,N,0
7118,13-04600,1,2,6,1,3,0,N,8,5,0,0
7119,26-02702,2,1,1,2,1,1,N,7,7,0,0
7120,51-51255,32,1,1,1,1,2,N,9,9,0,0
7121,19-01700,67,1,1,2,1,2,N,2,3,4,0
7122,40-00200,45,1,1,1,1,1,N,9,9,0,0
7123,19-01700,77,2,6,1,1,2,N,8,9,0,0
7124,19-01700,12,2,6,1,1,1,N,N,11,4,0
7125,26-02702,35,1,6,1,1,1,N,5,5,0,0
7126,24-01004,9,1,6,1,1,2,N,6,10,2,0
7127,24-01004,57,1,1,2,1,1,N,0,5,0,0
7128,24-01004,68,1,2,2,1,1,N,9,8,2,0
7129,26-02702,82,1,1,1,1,1,N,3,10,0,0
7130,01-01301,75,2,1,1,1,0,N,0,4,N,2
7131,40-00200,2,3,1,2,1,1,N,0,12,1,0
7132,38-00100,28,1,1,2,1,1,N,8,12,3,2
7133,38-00100,54,1,1,2,1,1,N,8,9,0,0
7134,51-51255,62,1,1,1,1,2,N,4,9,0,0
7135,06-08507,29,1,1,1,1,1,N,3,6,1,0
7136,19-01700,23,1,6,2,3,1,N,N,3,2,0
7137,28-01100,52,1,N,2,1,1,N,2,9,0,0
7138,29-01901,23,2,1,1,1,2,N,6,6,0,0
7139,32-00405,47,8,1,1,1,2,N,6,4,1,0
7140,30-00600,29,9,6,1,1,1,N,3,4,0,1
7141,17-03531,27,2,3,2,1,2,N,9,N,2,0
7142,06-07502,8,6,N,1,1,2,N,7,5,0,0
7143,13-04600,63,2,N,2,1,2,N,5,9,0,0
7144,17-03529,32,2,1,2,1,0,N,0,7,3,1
7145,29-01901,30,2,6,1,3,1,N,7,7,0,0
7146,17-03529,8,2,1,1,1,0,N,2,5,0,0
7147,19-01700,9,1,1,2,1,1,N,3,4,N,0
7148,28-01100,20,1,3,1,1,1,N,7,8,1,0
7149,36-04010,77,2,4,2,3,1,N,0,9,2,0
7150,29-01901,32,2,4,1,1,1,N,6,9,0,0
7151,06-07502,87,1,4,1,1,0,N,5,9,0,0
7152,26-02702,59,6,5,1,1,0,N,0,3,2,4
7153,01-01301,60,2,1,1,1,1,N,4,5,0,0
7154,51-51255,49,1,1,1,1,1,N,0,4,2,1
7155,19-01700,29,1,N,1,1,1,N,7,1,0,0
7156,26-02702,52,1,6,2,1,2,N,N,10,0,0
7157,32-00405,70,2,1,2,1,2,N,0,7,N,0
7158,30-00600,20,1,N,1,1,1,N,5,1,1,1
7159,19-01700,12,2,6,2,1,2,N,0,5,N,0
7160,51-01301,15,6,2,2,1,2,N,9,8,0,0
7161,13-04600,39,2,1,2,1,1,N,0,7,0,0
7162,30-00600,60,1,6,1,1,0,N,0,5,0,0
7163,51-01301,14,1,6,2,1,1,N,N,6,0,0
7164,24-01004,55,6,6,2,1,2,N,7,2,1,0
7165,17-03529,33,1,3,2,1,2,5,7,9,0,0
7166,51-01301,53,1,3,2,1,1,N,9,9,0,0
7167,29-01901,42,2,N,1,1,2,N,0,8,0,0
7168,13-04600,65,2,6,1,1,1,N,7,2,1,0
7169,28-01100,57,2,6,1,1,1,N,N,9,4,4
7170,40-00200,14,3,3,2,1,1,N,5,N,3,0
7171,36-04010,45,2,6,2,3,1,N,N,10,0,0
7172,51-51255,29,1,6,2,1,2,N,1,3,5,0
7173,51-51255,58,6,N,1,1,2,N,0,9,0,0
7174,36-04010,60,6,4,1,1,2,N,2,11,1,0
7175,30-00600,1,1,6,2,1,1,N,7,5,0,0
7176,06-08507,41,1,1,2,1,1,N,N,7,0,0
7177,51-51255,70,1,N,2,1,1,N,9,9,0,0
7178,38-00100,73,1,6,1,1,1,N,6,3,2,0
7179,17-03531,13,2,6,2,1,1,N,2,8,0,0
7180,38-00100,77,1,6,2,1,0,N,0,5,0,0
7181,06-07502,42,6,6,1,1,2,N,6,4,0,2
7182,19-01700,59,1,1,2,1,1,N,9,12,0,0
7183,51-51255,20,6,1,2,1,1,N,9,7,0,0
7184,24-01004,50,2,N,1,1,2,N,N,7,0,0
7185,24-01004,49,1,6,1,1,2,N,1,5,0,2
7186,01-01301,60,2,N,1,1,1,N,8,7,N,0
7187,38-00100,60,1,2,2,1,1,N,0,9,5,1
7188,17-03529,40,2,1,1,1,2,N,4,4,N,0
7189,28-01100,21,2,N,2,1,1,N,6,5,0,0
7190,13-04600,67,2,4,2,1,2,N,1,3,3,0
7191,51-51255,31,1,3,2,1,2,N,4,9,2,0
7192,36-04010,22,2,1,2,1,1,N,N,5,0,0
7193,24-01004,19,1,4,1,1,0,N,0,9,3,0
7194,13-04600,43,2,6,1,2,1,N,4,5,3,2
7195,30-00600,60,1,6,1,1,2,N,0,9,0,0
7196,06-08507,27,1,6,2,1,2,N,1,5,0,0
7197,26-02702,58,1,4,2,1,2,N,0,8,0,0
7198,40-00200,65,3,3,2,1,2,N,5,7,0,0
7199,30-00600,27,1,3,2,1,2,N,N,10,0,0
7200,26-02702,77,1,3,2,1,1,N,0,10,2,0
7201,24-01004,4,1,1,1,1,2,N,0,5,0,0
7202,51-51255,93,2,N,1,1,0,N,0,5,0,0
7203,51-51255,29,6,6,2,1,1,N,5,12,0,0
7204,06-08507,29,6,4,2,1,2,N,4,9,0,0
7205,19-01700,28,1,3,1,1,2,N,7,5,1,0
7206,24-01004,65,1,6,1,1,1,N,6,4,0,2
7207,30-00600,64,1,4,2,1,1,4,7,3,2,0
7208,38-00100,28,1,1,2,1,2,N,N,9,0,0
7209,36-03710,16,6,N,2,1,1,N,8,7,0,0
7210,06-08507,35,6,6,1,2,2,N,N,10,0,0
7211,17-03529,49,2,2,2,1,1,N,N,12,3,0
7212,51-01301,43,1,3,2,1,1,N,7,10,1,0
7213,19-01700,23,1,6,2,1,0,N,0,4,2,0
7214,30-00600,23,1,1,2,1,1,N,4,9,0,0
7215,28-01100,69,1,6,2,1,1,N,6,5,0,0
7216,13-04600,56,2,2,1,1,1,N,7,8,N,0
7217,51-51255,37,1,N,1,1,2,N,4,2,4,0
7218,17-03529,70,2,1,2,1,2,N,0,5,N,0
7219,51-51255,46,1,1,1,1,1,N,9,9,0,0
7220,29-01901,29,2,1,1,1,1,N,8,9,1,0
7221,17-03529,25,2,1,2,1,1,N,9,7,N,0
7222,06-07502,25,1,1,1,1,2,N,2,7,0,0
7223,32-00405,26,1,N,2,1,1,N,1,7,N,0
7224,30-00600,5,1,6,1,1,2,N,6,7,N,0
7225,19-01700,22,1,4,1,3,1,N,9,9,1,0
7226,06-08507,67,1,4,1,2,1,N,N,5,0,0
7227,32-00405,14,1,1,1,1,2,N,8,N,2,0
7228,29-01901,35,1,6,1,1,1,N,0,7,0,0
7229,19-01700,36,1,1,2,1,2,N,6,5,0,0
7230,26-02702,67,3,1,2,1,1,N,8,9,2,0
7231,06-07502,5,1,2,2,1,2,N,8,3,0,4
7232,06-07502,40,6,1,1,1,1,N,N,7,0,0
7233,36-04010,52,2,N,1,1,1,N,3,3,0,0
7234,40-00200,56,9,6,1,1,2,N,7,7,N,0
7235,36-03710,88,2,1,2,1,2,N,N,10,0,0
7236,24-01004,47,8,1,1,1,1,N,3,4,0,0
7237,51-51255,66,2,3,2,1,2,N,9,8,0,0
7238,01-01301,81,2,3,1,1,1,N,5,9,0,0
7239,32-00405,44,8,6,2,1,1,N,6,9,0,0
7240,06-08507,40,1,1,2,1,2,N,2,9,0,0
7241,01-01301,57,2,6,2,1,2,N,7,7,2,0
7242,30-00600,8,3,6,2,1,2,N,N,5,1,0
7243,17-03529,22,2,N,1,1,0,N,2,7,1,0
