"","AGEP","SEX","MSP","RAC1P","EDU","PINCP_DECILE","DVET","DREM","HOUSING_TYPE","OWN_RENT"
"6316","23","1","6","1","5","1","N","2","1","2"
"6317","63","2","1","1","5","0","N","2","1","1"
"6318","16","2","6","1","4","1","N","2","1","1"
"6319","66","1","1","2","4","5","N","2","1","1"
"6320","47","2","4","1","5","5","N","2","1","2"
"6321","76","2","3","1","9","4","N","2","1","1"
"6322","56","2","1","2","6","2","N","2","1","1"
"6323","65","2","1","1","12","5","N","2","1","1"
"6324","38","1","4","6","12","9","N","2","1","2"
"6325","88","2","3","1","5","8","N","2","1","1"
"6326","63","2","1","2","6","3","N","2","1","1"
"6327","6","2","N","3","2","N","N","2","1","2"
"6328","30","1","6","1","9","5","N","2","1","2"
"6329","11","2","N","1","3","N","N","2","1","2"
"6330","12","1","N","1","3","N","N","2","1","2"
"6331","64","1","6","1","5","3","N","2","2","0"
"6332","33","1","6","1","12","9","N","2","3","0"
"6333","50","1","2","7","7","4","N","2","1","1"
"6334","74","1","3","1","1","8","N","2","1","1"
"6335","22","2","1","1","7","2","N","2","1","1"
"6336","0","2","N","1","N","N","N","N","1","1"
"6337","75","1","1","6","12","9","N","2","1","2"
"6338","19","1","6","2","7","1","N","2","1","2"
"6339","21","1","6","2","5","3","N","2","1","2"
"6340","2","2","N","1","N","N","N","N","1","1"
"6341","45","1","4","2","7","5","N","2","1","2"
"6342","19","1","6","1","5","0","N","2","1","2"
"6343","51","1","1","6","9","9","N","2","1","1"
"6344","24","1","6","9","5","4","N","2","1","1"
"6345","50","2","6","1","9","9","N","2","1","1"
"6346","17","2","2","8","4","0","N","2","1","2"
"6347","59","2","6","1","5","3","N","2","1","1"
"6348","42","1","1","6","10","9","N","2","1","1"
"6349","23","2","6","1","6","7","N","2","1","2"
"6350","25","1","6","1","5","5","N","2","1","2"
"6351","3","1","N","8","1","N","N","N","1","1"
"6352","60","1","1","1","12","8","N","2","1","1"
"6353","60","2","1","1","9","6","N","2","1","1"
"6354","28","1","6","1","9","9","N","2","1","2"
"6355","66","1","5","8","3","5","N","1","1","1"
"6356","41","2","1","1","9","9","N","2","1","1"
"6357","27","2","6","1","10","9","N","2","1","2"
"6358","60","2","1","1","9","6","N","2","1","1"
"6359","63","1","3","2","6","2","N","2","1","2"
"6360","21","1","6","1","7","0","N","2","3","0"
"6361","32","1","6","1","10","9","N","2","1","2"
"6362","25","2","6","8","9","2","N","2","1","2"
"6363","66","1","1","2","5","6","N","2","1","1"
"6364","7","1","N","2","2","N","N","2","1","1"
"6365","45","2","1","5","9","6","N","2","1","1"
"6366","63","1","1","1","5","4","N","2","1","2"
"6367","40","2","1","1","11","0","N","2","1","1"
"6368","66","1","1","1","5","4","N","2","1","1"
"6369","13","1","N","1","3","N","N","2","1","1"
"6370","83","1","4","2","10","9","N","2","1","1"
"6371","24","1","6","6","5","5","N","2","1","2"
"6372","77","2","2","1","8","5","N","2","1","1"
"6373","44","1","3","1","8","8","N","2","1","1"
"6374","79","1","1","1","5","4","N","2","1","1"
"6375","60","2","2","6","8","0","N","2","1","1"
"6376","19","1","6","1","7","3","N","2","1","1"
"6377","61","1","1","1","8","5","N","2","1","1"
"6378","61","1","6","2","4","0","N","2","1","2"
"6379","16","1","6","1","4","0","N","2","1","1"
"6380","60","1","1","1","9","4","N","2","1","1"
"6381","43","2","6","2","6","2","N","2","2","0"
"6382","51","2","1","2","6","2","N","2","1","1"
"6383","0","1","N","1","N","N","N","N","1","1"
"6384","0","2","N","1","N","N","N","N","1","1"
"6385","36","1","6","3","10","8","N","2","1","2"
"6386","39","2","4","3","7","4","N","2","1","2"
"6387","34","2","6","1","4","1","N","1","3","0"
"6388","56","1","5","1","5","4","N","2","1","2"
"6389","36","1","4","8","5","3","N","2","1","1"
"6390","60","1","2","1","11","0","N","2","1","1"
"6391","52","1","1","1","12","9","N","2","1","1"
"6392","62","2","3","3","5","2","N","2","1","1"
"6393","48","1","1","1","9","6","N","2","1","1"
"6394","92","2","3","2","5","7","N","2","1","1"
"6395","14","2","N","1","3","N","N","2","1","1"
"6396","73","1","1","1","9","9","N","2","1","1"
"6397","27","2","6","2","9","8","N","2","1","2"
"6398","48","1","1","1","5","9","N","2","1","1"
"6399","20","2","6","1","7","1","N","2","1","1"
"6400","74","1","1","2","5","6","N","1","1","1"
"6401","21","2","6","9","7","0","N","1","3","0"
"6402","15","2","6","2","3","0","N","2","1","2"
"6403","41","2","2","1","8","4","N","2","1","2"
"6404","58","2","6","2","7","6","N","2","1","2"
"6405","51","2","5","6","4","1","N","2","1","1"
"6406","31","1","1","1","4","5","N","2","1","1"
"6407","69","2","1","1","10","3","N","2","1","1"
"6408","30","2","1","1","7","6","N","2","1","1"
"6409","10","1","N","2","3","N","N","2","1","1"
"6410","20","1","6","9","5","1","N","2","1","2"
"6411","38","1","6","1","11","9","N","2","1","1"
"6412","81","2","3","2","7","5","N","2","1","1"
"6413","55","1","6","8","4","0","N","2","2","0"
"6414","67","2","3","2","6","6","N","2","1","1"
"6415","29","2","6","1","7","2","N","2","1","1"
"6416","3","2","N","1","1","N","N","N","1","2"
"6417","82","2","1","1","7","3","N","2","1","1"
"6418","10","1","N","1","3","N","N","2","1","1"
"6419","12","1","N","1","3","N","N","2","1","2"
"6420","22","1","6","2","9","1","N","2","1","2"
"6421","56","1","4","1","7","8","N","2","1","2"
"6422","18","1","6","1","5","2","N","2","1","1"
"6423","47","1","1","1","9","4","N","2","1","2"
"6424","27","1","1","6","9","8","N","2","1","1"
"6425","30","1","6","1","10","2","N","2","1","2"
"6426","84","2","1","6","9","5","N","2","1","2"
"6427","47","2","1","2","9","6","N","2","1","2"
"6428","70","2","1","1","9","6","N","2","1","1"
"6429","32","1","1","8","5","4","N","2","1","2"
"6430","84","1","1","1","5","1","N","1","1","1"
"6431","51","2","6","2","4","1","N","1","2","0"
"6432","17","1","6","1","5","0","N","2","1","1"
"6433","37","2","4","8","5","0","N","2","1","2"
"6434","15","2","6","2","4","0","N","2","1","2"
"6435","43","1","6","8","4","2","N","2","1","2"
"6436","37","1","4","1","8","8","N","2","1","1"
"6437","31","1","1","1","10","7","N","2","1","1"
"6438","27","2","6","9","4","1","N","2","1","2"
"6439","7","1","N","1","2","N","N","2","1","1"
"6440","68","2","1","3","8","1","N","2","1","1"
"6441","32","2","1","1","9","6","N","2","1","1"
"6442","20","1","6","1","7","1","N","2","1","2"
"6443","78","1","6","1","9","2","N","1","1","1"
"6444","51","1","4","1","6","8","N","2","2","0"
"6445","58","1","1","6","9","9","N","2","1","1"
"6446","15","2","6","9","3","0","N","2","1","2"
"6447","62","2","1","1","11","9","N","2","1","1"
"6448","4","1","N","9","2","N","N","N","1","2"
"6449","25","1","6","1","9","6","N","2","1","1"
"6450","85","2","1","1","5","7","N","2","1","1"
"6451","23","2","2","1","9","2","N","2","1","1"
"6452","48","1","1","6","10","9","N","2","1","1"
"6453","12","2","N","2","3","N","N","2","1","1"
"6454","10","1","N","1","3","N","N","1","1","2"
"6455","29","2","6","1","10","9","N","2","1","1"
"6456","70","1","4","1","10","6","N","2","1","1"
"6457","40","2","1","2","9","7","N","2","1","1"
"6458","7","1","N","1","3","N","N","2","1","1"
"6459","23","2","6","2","7","1","N","2","3","0"
"6460","92","2","3","2","5","5","N","2","1","1"
"6461","47","2","1","1","10","9","N","2","1","1"
"6462","5","2","N","1","1","N","N","2","1","1"
"6463","56","1","6","9","7","3","N","2","3","0"
"6464","7","1","N","1","3","N","N","2","1","2"
"6465","11","1","N","2","3","N","N","2","1","2"
"6466","67","1","1","1","9","6","N","2","1","1"
"6467","31","1","6","9","9","5","N","2","1","2"
"6468","56","2","6","1","5","5","N","2","1","1"
"6469","57","2","4","1","10","9","N","2","1","1"
"6470","0","2","N","1","N","N","N","N","1","1"
"6471","23","2","6","1","9","6","N","2","1","2"
"6472","65","1","1","1","6","4","N","2","1","1"
"6473","14","1","N","1","3","N","N","2","1","1"
"6474","23","2","6","9","6","4","N","2","1","2"
"6475","80","2","4","1","5","4","N","2","1","1"
"6476","14","1","N","3","3","N","N","2","1","1"
"6477","32","1","1","9","10","5","N","2","1","2"
"6478","40","1","1","1","6","3","N","2","1","1"
"6479","51","1","1","2","10","4","N","2","1","1"
"6480","56","2","1","1","8","9","N","2","1","1"
"6481","63","2","4","1","7","2","N","2","3","0"
"6482","24","1","6","1","9","3","N","2","1","2"
"6483","14","2","N","1","3","N","N","2","1","1"
"6484","39","1","1","1","7","8","N","2","1","1"
"6485","66","2","1","9","10","7","N","2","1","1"
"6486","47","1","1","8","9","4","N","2","1","1"
"6487","1","2","N","1","N","N","N","N","1","1"
"6488","67","2","1","1","7","2","N","2","1","1"
"6489","27","1","6","1","9","2","N","2","1","2"
"6490","45","2","6","6","3","2","N","2","1","2"
"6491","77","1","1","9","6","7","5","1","1","1"
"6492","25","2","6","6","9","6","N","2","1","2"
"6493","75","1","1","1","7","5","N","2","1","1"
"6494","39","1","6","2","7","5","N","1","1","2"
"6495","33","1","6","2","9","6","N","2","1","2"
"6496","37","1","6","1","10","9","N","2","1","2"
"6497","62","1","6","2","4","3","N","2","1","2"
"6498","48","2","1","1","5","4","N","2","1","1"
"6499","73","2","1","1","10","9","N","2","1","1"
"6500","48","2","5","1","7","0","N","2","3","0"
"6501","87","1","3","1","4","3","N","2","1","2"
"6502","53","2","1","6","9","3","N","2","1","1"
"6503","4","1","N","1","2","N","N","N","1","1"
"6504","14","1","N","1","3","N","N","2","1","1"
"6505","58","2","6","1","9","6","N","2","1","1"
"6506","53","1","4","1","12","9","N","2","1","1"
"6507","12","1","N","1","3","N","N","2","1","1"
"6508","77","1","1","2","9","8","N","2","1","1"
"6509","12","1","N","8","3","N","N","2","1","2"
"6510","88","1","1","1","12","9","N","2","1","1"
"6511","46","2","4","1","7","3","N","2","1","1"
"6512","47","2","1","3","7","3","N","2","1","2"
"6513","17","1","6","1","5","0","N","2","1","1"
"6514","24","2","6","1","10","8","N","2","1","1"
"6515","61","1","1","1","5","2","N","1","1","1"
"6516","16","2","6","1","4","0","N","2","1","1"
"6517","73","1","6","2","4","7","N","2","1","2"
"6518","55","1","4","1","5","8","N","2","1","1"
"6519","26","1","1","1","9","9","N","2","1","1"
"6520","31","2","6","1","10","8","N","2","1","1"
"6521","75","1","1","1","9","5","N","2","1","1"
"6522","60","1","1","1","8","9","N","2","1","1"
"6523","15","1","6","1","3","0","N","2","1","1"
"6524","7","1","N","6","3","N","N","2","1","2"
"6525","70","1","1","1","11","9","N","2","1","1"
"6526","13","1","N","1","3","N","N","2","1","2"
"6527","59","2","4","2","4","3","N","2","1","2"
"6528","71","1","4","1","10","2","N","2","1","1"
"6529","68","1","6","1","10","9","N","1","1","2"
"6530","51","2","1","1","7","8","N","2","1","1"
"6531","68","1","5","6","9","9","N","2","1","1"
"6532","29","1","6","1","7","5","N","2","1","1"
"6533","49","1","1","2","5","2","N","2","1","1"
"6534","28","2","1","1","9","9","N","2","1","1"
"6535","20","1","6","8","3","1","N","2","1","2"
"6536","12","1","N","9","3","N","N","2","1","1"
"6537","52","2","1","1","9","8","N","2","1","2"
"6538","95","2","4","1","5","1","N","2","1","1"
"6539","84","2","3","2","7","6","N","1","1","1"
"6540","24","1","6","1","9","6","N","2","1","2"
"6541","64","1","1","1","10","8","N","2","1","1"
"6542","27","1","6","1","9","8","N","2","1","1"
"6543","68","1","6","1","7","0","N","2","1","1"
"6544","42","1","6","6","4","0","N","2","1","2"
"6545","8","1","N","2","3","N","N","2","1","1"
"6546","37","2","6","9","7","7","N","2","1","1"
"6547","49","1","6","1","8","2","N","2","1","2"
"6548","0","1","N","1","N","N","N","N","1","2"
"6549","22","1","6","1","9","0","N","2","1","2"
"6550","81","2","1","1","11","4","N","2","1","1"
"6551","54","1","1","1","5","5","N","2","1","1"
"6552","20","1","6","1","6","2","N","2","1","2"
"6553","64","1","1","1","5","7","N","2","1","1"
"6554","48","1","1","6","5","0","N","2","1","1"
"6555","40","1","1","1","9","9","N","2","1","1"
"6556","45","2","1","6","11","9","N","2","1","1"
"6557","5","1","N","1","2","N","N","2","1","1"
"6558","13","2","N","2","3","N","N","1","1","2"
"6559","20","2","6","2","7","2","N","2","1","2"
"6560","64","1","4","2","7","5","N","2","1","1"
"6561","34","2","1","1","10","5","N","2","1","2"
"6562","71","2","1","1","9","7","N","2","1","1"
"6563","48","1","1","1","5","9","N","2","1","1"
"6564","33","1","1","1","6","8","N","2","1","1"
"6565","4","2","N","2","1","N","N","N","1","1"
"6566","65","1","1","1","11","9","N","2","1","1"
"6567","64","1","1","1","11","9","N","2","1","1"
"6568","2","2","N","2","N","N","N","N","1","2"
"6569","51","1","1","1","9","9","N","2","1","1"
"6570","51","2","1","1","7","9","N","2","1","1"
"6571","56","2","1","1","7","7","N","2","1","1"
"6572","22","1","6","3","5","5","N","2","1","2"
"6573","5","1","N","2","1","N","N","2","1","1"
"6574","35","1","6","2","5","1","N","2","1","2"
"6575","36","2","1","2","9","8","N","2","1","2"
"6576","47","2","1","1","5","1","N","2","1","1"
"6577","49","1","1","1","10","8","N","2","1","1"
"6578","62","2","1","1","6","3","N","2","1","1"
"6579","34","2","1","1","12","7","N","2","1","1"
"6580","31","2","6","2","8","4","N","2","1","2"
"6581","16","1","6","1","4","0","N","2","1","1"
"6582","65","1","4","1","10","9","N","2","1","2"
"6583","57","2","1","1","7","9","N","2","1","1"
"6584","25","2","6","2","5","3","N","2","1","2"
"6585","21","1","6","1","7","0","N","2","3","0"
"6586","21","2","6","1","5","0","N","2","1","2"
"6587","30","1","1","1","7","7","N","2","1","1"
"6588","45","2","1","1","10","8","N","2","1","1"
"6589","34","2","1","1","10","8","N","2","1","2"
"6590","64","2","5","2","9","6","N","2","1","2"
"6591","5","2","N","6","2","N","N","2","1","1"
"6592","27","1","2","1","4","2","N","2","2","0"
"6593","4","1","N","1","1","N","N","N","1","2"
"6594","60","2","6","2","6","2","N","2","1","1"
"6595","29","1","6","1","8","9","N","2","1","1"
"6596","58","1","4","1","9","9","N","2","1","2"
"6597","21","2","6","1","7","1","N","2","3","0"
"6598","66","1","1","1","7","2","N","2","1","2"
"6599","70","1","1","1","9","5","N","2","1","1"
"6600","5","2","N","1","2","N","N","2","1","2"
"6601","86","2","1","1","12","4","N","2","1","2"
"6602","67","2","1","6","10","9","N","2","1","2"
"6603","55","2","4","2","5","4","N","2","1","2"
"6604","61","1","5","1","4","2","N","2","1","2"
"6605","22","2","6","1","9","0","N","2","1","2"
"6606","20","1","6","6","4","2","N","2","1","2"
"6607","5","2","N","1","2","N","N","2","1","1"
"6608","7","2","N","3","3","N","N","2","1","1"
"6609","20","1","6","1","6","1","N","2","1","1"
"6610","16","2","6","2","4","1","N","2","1","1"
"6611","74","2","4","2","6","5","N","2","1","1"
"6612","63","2","6","2","9","3","N","2","1","1"
"6613","94","2","3","2","5","4","N","2","1","2"
"6614","31","2","4","2","7","6","N","2","1","2"
"6615","22","1","6","8","7","3","N","2","1","2"
"6616","72","2","1","1","5","2","N","2","1","1"
"6617","10","1","N","1","3","N","N","2","1","2"
"6618","32","1","6","1","4","6","N","2","1","2"
"6619","30","1","6","1","10","1","N","2","1","1"
"6620","62","1","1","1","3","5","N","2","1","2"
"6621","65","1","6","2","10","5","N","2","1","2"
"6622","69","1","4","1","10","5","N","2","1","1"
"6623","19","1","6","6","7","0","N","2","3","0"
"6624","65","1","6","1","9","9","N","2","1","1"
"6625","18","1","6","1","7","5","N","2","3","0"
"6626","7","1","N","9","3","N","N","2","1","2"
"6627","38","2","4","2","6","3","N","2","3","0"
"6628","22","2","6","1","9","1","N","2","3","0"
"6629","8","1","N","1","3","N","N","2","1","2"
"6630","29","2","1","6","6","3","N","2","1","2"
"6631","59","2","5","1","6","2","N","2","1","2"
"6632","38","1","6","1","1","2","N","1","3","0"
"6633","26","1","6","1","9","6","N","2","1","2"
"6634","10","2","N","1","3","N","N","1","1","1"
"6635","73","2","3","3","5","1","N","2","1","1"
"6636","57","1","1","1","8","7","N","1","1","1"
"6637","63","2","6","2","7","3","N","2","1","1"
"6638","27","2","6","1","7","5","N","2","3","0"
"6639","38","1","1","1","10","9","N","2","1","1"
"6640","7","2","N","2","3","N","N","2","1","2"
"6641","35","1","1","1","12","8","N","2","1","1"
"6642","4","1","N","2","2","N","N","N","1","1"
"6643","18","2","6","6","4","2","N","2","3","0"
"6644","38","2","1","2","1","1","N","2","1","1"
"6645","42","2","1","1","6","2","N","2","1","2"
"6646","82","1","1","1","5","6","N","2","1","1"
"6647","79","2","1","2","10","5","N","1","1","1"
"6648","72","2","1","6","3","2","N","2","1","2"
"6649","55","2","4","8","8","2","N","1","1","1"
"6650","17","2","6","2","4","1","N","2","1","2"
"6651","66","1","1","1","9","1","N","2","1","1"
"6652","39","1","6","2","7","5","N","2","1","2"
"6653","28","1","6","2","6","2","N","2","1","2"
"6654","31","1","6","1","11","9","N","2","1","1"
"6655","31","2","6","6","9","5","N","2","1","2"
"6656","3","2","N","1","1","N","N","N","1","1"
"6657","40","1","1","1","5","6","N","1","1","1"
"6658","22","1","6","2","9","8","N","2","1","1"
"6659","19","1","6","1","5","0","N","2","3","0"
"6660","20","2","6","2","7","0","N","2","3","0"
"6661","14","2","N","1","3","N","N","2","1","2"
"6662","64","1","6","2","9","7","N","2","1","2"
"6663","33","1","1","1","10","9","N","2","1","1"
"6664","7","1","N","1","3","N","N","2","1","2"
"6665","79","2","1","1","10","7","N","2","1","1"
"6666","66","1","1","1","10","2","N","2","1","1"
"6667","66","2","2","2","3","2","N","2","1","2"
"6668","67","2","4","1","9","7","N","2","1","2"
"6669","0","1","N","2","N","N","N","N","1","1"
"6670","61","1","1","6","10","9","N","2","1","1"
"6671","53","2","1","9","7","6","N","2","1","1"
"6672","16","2","6","1","4","1","N","2","1","2"
"6673","21","1","1","1","7","8","N","2","1","1"
"6674","8","1","N","9","3","N","N","1","1","2"
"6675","43","2","6","1","9","9","N","2","1","1"
"6676","60","2","4","2","7","2","N","2","1","1"
"6677","84","1","3","2","4","6","N","2","2","0"
"6678","46","2","1","1","9","9","N","2","1","1"
"6679","89","2","3","2","6","2","N","1","1","1"
"6680","19","2","6","2","7","6","N","2","3","0"
"6681","23","2","1","1","9","0","N","2","1","2"
"6682","61","2","1","1","10","7","N","2","1","1"
"6683","14","1","N","1","4","N","N","2","1","1"
"6684","67","1","1","1","7","7","N","1","1","1"
"6685","0","1","N","6","N","N","N","N","1","1"
"6686","69","1","4","1","9","7","N","2","1","1"
"6687","61","2","4","2","5","4","N","2","1","2"
"6688","55","1","6","1","4","2","N","2","1","2"
"6689","15","1","6","1","4","0","N","2","1","1"
"6690","18","1","6","2","7","0","N","2","1","1"
"6691","19","2","6","2","5","1","N","2","1","2"
"6692","72","2","1","1","7","1","N","2","1","1"
"6693","76","2","1","2","10","8","N","2","1","1"
"6694","33","2","1","1","8","6","N","2","1","2"
"6695","3","1","N","9","1","N","N","N","1","2"
"6696","62","2","1","9","7","4","N","2","1","1"
"6697","25","1","4","6","9","1","N","2","1","2"
"6698","28","2","6","2","3","4","N","2","1","2"
"6699","57","1","1","1","7","1","N","2","1","1"
"6700","37","1","1","8","10","5","N","2","1","1"
"6701","32","2","1","1","12","8","N","2","1","1"
"6702","61","2","4","1","9","6","N","2","1","2"
"6703","74","1","4","1","9","2","N","2","1","2"
"6704","21","2","6","6","7","0","N","2","1","2"
"6705","12","1","N","1","3","N","N","2","1","1"
"6706","62","1","1","1","5","6","N","2","1","1"
"6707","10","1","N","1","3","N","N","2","1","2"
"6708","25","2","6","1","9","6","N","2","1","2"
"6709","27","2","6","1","10","8","N","2","1","1"
"6710","58","1","1","1","7","1","5","2","1","1"
"6711","31","1","1","1","4","4","N","2","1","2"
"6712","44","1","1","2","7","9","N","2","1","1"
"6713","47","2","6","1","5","2","N","2","1","2"
"6714","7","2","N","3","3","N","N","2","1","1"
"6715","52","2","1","1","11","9","N","2","1","1"
"6716","28","1","6","1","3","1","N","2","3","0"
"6717","20","2","6","1","7","2","N","2","1","1"
"6718","14","2","N","2","3","N","N","2","1","1"
"6719","49","2","4","3","1","2","N","2","1","2"
"6720","59","1","1","1","5","9","N","2","1","1"
"6721","30","1","6","2","7","1","N","2","1","1"
"6722","29","1","1","8","10","3","N","2","1","2"
"6723","40","2","1","1","12","6","N","2","1","1"
"6724","36","2","1","1","10","9","N","2","1","1"
"6725","70","2","4","1","9","3","N","2","1","1"
"6726","13","1","N","1","3","N","N","2","1","1"
"6727","22","1","6","1","5","4","N","2","1","2"
"6728","38","2","1","1","9","2","N","2","1","1"
"6729","30","2","6","2","5","7","N","2","1","2"
"6730","47","2","1","1","5","4","N","2","1","1"
"6731","20","2","6","1","7","0","N","2","3","0"
"6732","5","2","N","2","2","N","N","2","1","2"
"6733","63","2","6","1","9","8","N","2","1","1"
"6734","63","1","3","2","7","8","N","2","1","2"
"6735","30","2","1","1","10","4","N","2","1","2"
"6736","32","1","6","2","10","2","N","2","1","2"
"6737","20","2","6","1","7","1","N","2","1","2"
"6738","62","1","1","1","11","5","N","2","1","1"
"6739","26","1","6","2","4","4","N","1","1","2"
"6740","22","1","6","1","9","1","N","2","1","1"
"6741","79","1","1","1","7","4","N","2","1","1"
"6742","53","1","3","1","9","9","N","2","1","1"
"6743","65","1","6","1","8","0","N","2","2","0"
"6744","32","2","6","1","9","2","N","2","1","2"
"6745","61","2","4","1","6","3","N","2","1","2"
"6746","19","2","6","2","7","0","N","2","1","2"
"6747","40","2","1","2","9","8","N","2","1","2"
"6748","14","2","N","2","3","N","N","1","1","1"
"6749","55","1","6","2","5","2","N","2","1","2"
"6750","77","2","5","2","5","4","N","2","1","2"
"6751","29","2","6","2","10","7","N","2","1","2"
"6752","48","2","6","5","4","7","N","2","1","1"
"6753","10","1","N","1","3","N","N","2","1","1"
"6754","31","2","6","3","8","5","N","2","1","1"
"6755","57","1","4","1","11","1","N","1","1","1"
"6756","17","1","6","1","5","0","N","2","1","1"
"6757","27","1","6","2","5","9","N","2","1","2"
"6758","41","2","1","8","7","2","N","2","1","1"
"6759","55","1","1","6","6","7","N","2","1","2"
"6760","71","1","1","1","5","3","N","2","1","1"
"6761","31","1","1","9","5","3","N","2","1","2"
"6762","29","2","6","1","7","3","N","2","1","1"
"6763","25","2","1","1","9","6","N","2","1","1"
"6764","45","2","1","3","6","2","N","2","1","1"
"6765","40","2","6","2","4","6","N","2","1","2"
"6766","36","1","6","3","4","3","N","2","1","2"
"6767","85","2","1","1","9","7","N","2","1","1"
"6768","20","2","1","1","8","0","N","2","1","2"
"6769","41","2","6","7","5","7","N","2","1","1"
"6770","82","1","3","1","4","7","N","2","2","0"
"6771","25","2","6","2","5","0","N","2","1","2"
"6772","44","2","1","2","8","8","N","2","1","1"
"6773","36","1","1","2","7","7","N","2","1","1"
"6774","27","1","1","1","11","7","N","2","1","2"
"6775","74","2","1","6","9","8","N","2","1","1"
"6776","48","1","6","3","6","0","N","2","1","1"
"6777","77","2","1","3","10","0","N","2","1","1"
"6778","46","2","6","1","5","3","N","2","1","1"
"6779","16","1","6","1","4","0","N","2","1","1"
"6780","65","2","1","1","11","9","N","2","1","1"
"6781","14","1","N","1","3","N","N","2","1","1"
"6782","68","1","4","1","9","4","N","2","1","1"
"6783","19","2","6","1","7","1","N","2","3","0"
"6784","31","1","6","1","9","7","N","2","1","2"
"6785","58","2","6","2","8","4","N","2","1","1"
"6786","45","2","6","1","10","8","N","2","1","2"
"6787","57","2","1","1","9","8","N","2","1","1"
"6788","43","2","1","2","6","0","N","2","1","1"
"6789","1","1","N","1","N","N","N","N","1","2"
"6790","37","2","6","1","6","5","N","2","1","1"
"6791","17","2","6","1","4","1","N","2","1","1"
"6792","45","1","1","1","5","4","N","2","1","1"
"6793","20","2","6","2","5","1","N","2","1","2"
"6794","40","2","1","1","10","0","N","2","1","1"
"6795","70","2","4","6","10","4","N","2","1","1"
"6796","39","2","1","1","9","9","N","2","1","1"
"6797","61","2","1","2","10","6","N","2","1","2"
"6798","84","2","6","1","5","5","N","2","1","1"
"6799","11","2","N","1","3","N","N","2","1","1"
"6800","20","2","6","2","7","0","N","2","3","0"
"6801","31","1","1","1","9","9","N","2","1","1"
"6802","89","1","6","2","5","4","N","2","1","1"
"6803","0","2","N","1","N","N","N","N","1","1"
"6804","27","1","4","1","5","4","N","2","1","1"
"6805","9","1","N","2","3","N","N","2","1","2"
"6806","63","2","4","2","5","0","N","2","2","0"
"6807","58","2","1","1","10","3","N","2","1","1"
"6808","17","1","6","2","4","2","N","2","1","1"
"6809","46","1","3","6","6","1","N","2","1","1"
"6810","18","2","6","1","4","1","N","2","1","1"
"6811","10","2","N","2","3","N","N","2","1","1"
"6812","74","2","4","1","7","6","N","2","1","2"
"6813","69","1","1","1","10","0","N","2","1","2"
"6814","80","2","3","2","4","5","N","2","1","1"
"6815","41","1","6","2","9","9","N","2","1","2"
"6816","62","1","6","2","9","1","N","1","3","0"
"6817","63","2","1","1","9","8","N","2","1","2"
"6818","4","1","N","2","2","N","N","N","1","2"
"6819","74","1","1","2","7","0","N","2","1","1"
"6820","9","2","N","1","3","N","N","2","1","1"
"6821","8","1","N","1","3","N","N","2","1","2"
"6822","17","1","6","1","4","0","N","2","1","2"
"6823","37","1","6","1","4","1","N","2","1","1"
"6824","71","2","1","1","9","8","N","2","1","1"
"6825","41","1","6","1","7","8","N","2","1","2"
"6826","11","1","N","6","3","N","N","2","1","2"
"6827","13","2","N","3","3","N","N","2","1","1"
"6828","67","2","3","2","3","6","N","2","1","1"
"6829","27","2","6","1","10","8","N","2","1","2"
"6830","8","1","N","6","3","N","N","2","1","2"
"6831","7","2","N","2","2","N","N","2","1","1"
"6832","40","2","1","2","7","3","N","2","1","1"
"6833","71","2","1","1","9","4","N","2","1","1"
"6834","62","1","1","1","8","5","N","2","1","1"
"6835","25","1","6","8","9","4","N","2","1","2"
"6836","20","2","6","1","7","4","N","2","3","0"
"6837","61","2","1","8","4","6","N","2","1","1"
"6838","48","1","6","2","5","5","N","2","1","1"
"6839","37","2","6","6","9","2","N","1","1","2"
"6840","52","1","1","1","9","5","N","1","1","2"
"6841","8","2","N","1","3","N","N","1","1","1"
"6842","0","2","N","1","N","N","N","N","1","1"
"6843","62","1","4","2","7","2","N","1","1","2"
"6844","39","2","1","1","5","6","N","2","1","2"
"6845","56","1","1","1","6","3","N","2","1","1"
"6846","40","2","1","1","7","9","N","2","1","2"
"6847","95","2","3","1","10","2","N","1","1","1"
"6848","7","2","N","1","3","N","N","2","1","2"
"6849","54","2","2","2","4","5","N","2","1","2"
"6850","51","1","1","8","5","0","N","2","1","1"
"6851","77","1","5","2","4","2","N","1","1","2"
"6852","29","1","6","1","10","5","N","2","1","2"
"6853","8","1","N","1","3","N","N","2","1","1"
"6854","75","1","2","2","3","6","N","2","1","2"
"6855","4","1","N","9","1","N","N","N","1","1"
"6856","18","2","6","6","5","1","N","2","1","1"
"6857","25","1","6","2","7","6","N","2","1","2"
"6858","65","1","5","1","4","7","N","1","1","2"
"6859","73","2","3","6","5","2","N","2","1","1"
"6860","15","2","6","1","3","0","N","2","1","1"
"6861","70","2","1","1","8","7","N","2","1","1"
"6862","23","2","6","1","6","3","N","2","3","0"
"6863","1","2","N","1","N","N","N","N","1","1"
"6864","15","1","6","6","3","0","N","2","1","1"
"6865","19","1","6","1","7","3","N","2","3","0"
"6866","15","1","6","1","4","0","N","2","1","1"
"6867","77","1","3","1","6","3","N","2","3","0"
"6868","58","1","6","2","7","0","N","2","1","2"
"6869","47","2","4","1","7","5","N","2","1","1"
"6870","20","2","6","1","7","1","N","2","1","1"
"6871","65","1","1","3","5","9","N","2","1","1"
"6872","54","2","1","1","9","9","N","2","1","1"
