,AGEP_x,DVET_x,EDU,HISP,HOUSING_TYPE_x,MSP,NOC_x,OWN_RENT,PINCP_DECILE_x,PUMA,RAC1P,SEX,AGEP_y,DVET_y,HOUSING_TYPE_y,NOC_y,PINCP_DECILE_y,percent_match
319,7,N,5,0,1,3,0,1,4,36-03710,1,2,67,N,1,0,6,60.0
320,26,N,N,1,1,N,4,1,9,38-00100,1,2,0,N,1,0,N,40.0
321,72,N,6,0,1,4,0,2,1,40-00200,1,2,50,N,1,1,1,60.0
322,94,N,10,0,1,4,2,2,N,40-00200,3,2,35,N,1,0,7,40.0
323,55,N,4,0,1,1,1,1,N,36-04010,1,2,35,N,1,3,4,40.0
324,58,N,5,0,1,6,0,2,2,01-01301,1,1,46,N,1,0,6,60.0
325,56,N,6,0,1,3,7,2,N,17-03529,2,2,60,N,1,0,1,40.0
326,53,N,9,0,1,4,0,2,5,01-01301,2,1,68,N,1,0,6,60.0
327,15,N,5,0,1,5,0,2,5,32-00405,1,1,52,N,1,0,1,60.0
328,26,N,11,0,1,4,0,1,7,51-01301,1,1,66,N,1,0,9,60.0
329,24,N,9,0,1,3,0,2,7,32-00405,1,2,69,N,1,0,2,60.0
330,38,N,8,0,1,4,1,1,9,26-02702,1,2,55,N,1,0,8,40.0
331,19,N,6,0,1,1,1,1,9,01-01301,2,2,60,N,1,0,2,40.0
332,41,N,2,0,1,N,0,1,N,24-01004,2,2,3,N,1,1,N,60.0
333,74,N,9,0,1,5,0,1,1,51-01301,1,2,56,N,1,0,7,60.0
334,23,N,7,0,1,3,1,1,9,30-00600,3,1,70,N,1,0,3,40.0
335,74,N,1,1,1,N,0,1,9,19-01700,1,1,4,N,1,3,N,40.0
336,12,N,6,0,1,6,0,1,N,40-00200,3,1,55,N,1,0,4,60.0
337,59,N,7,0,1,1,0,1,N,38-00100,6,2,40,N,1,0,5,60.0
338,49,N,6,0,1,6,1,0,1,38-00100,1,1,18,N,3,N,0,20.0
339,81,N,4,0,1,4,0,2,0,40-00200,3,2,62,N,1,0,3,60.0
340,20,N,7,0,1,2,0,0,1,32-00405,1,1,35,N,2,N,0,20.0
341,40,N,10,0,1,1,0,2,6,32-00405,2,1,55,N,1,0,0,60.0
342,72,5,5,0,1,1,N,1,8,29-01901,9,2,70,N,1,0,3,20.0
343,0,N,3,4,1,N,1,1,1,32-00405,1,2,6,N,1,2,N,40.0
344,53,N,7,0,1,4,0,0,1,08-00803,1,2,71,N,2,N,3,20.0
345,30,N,5,4,1,6,1,2,N,51-51255,1,2,30,N,1,2,4,60.0
346,55,N,6,0,1,3,2,2,8,30-00600,3,2,65,N,1,1,1,40.0
347,56,N,4,0,3,6,0,2,3,24-01004,6,1,16,N,1,2,0,20.0
348,60,N,5,0,1,2,0,2,9,24-01004,6,2,64,N,1,2,2,40.0
349,37,N,1,0,1,N,0,2,3,32-00405,1,2,3,N,1,2,N,40.0
350,67,N,4,0,1,6,N,2,9,08-00803,6,2,17,N,1,1,0,40.0
351,20,N,4,0,1,4,2,2,7,38-00100,1,1,78,N,1,0,3,40.0
352,47,N,4,0,1,4,5,1,0,24-01004,1,2,75,N,1,0,7,40.0
353,4,N,5,0,1,6,2,2,8,24-01004,2,1,39,N,1,0,1,40.0
354,30,N,7,0,1,3,1,1,9,51-51255,1,1,69,2,1,0,6,20.0
355,38,N,8,0,1,5,0,2,0,01-01301,2,2,41,N,1,2,6,40.0
356,28,N,5,1,1,6,0,2,N,06-08507,1,1,37,N,1,0,2,60.0
357,22,N,9,0,1,2,0,2,N,17-03529,2,2,46,N,1,1,9,40.0
358,64,N,3,0,1,4,0,2,6,38-00100,1,1,78,N,1,0,3,60.0
359,4,N,4,1,3,6,4,1,5,26-02702,1,1,57,N,1,0,1,20.0
360,72,N,10,1,1,1,0,1,6,24-01004,1,2,63,N,1,0,9,60.0
361,60,N,5,4,1,1,2,1,3,36-03710,2,1,57,N,1,0,4,40.0
362,25,N,7,0,1,4,0,1,7,17-03529,1,1,64,N,1,0,3,60.0
363,15,N,1,0,1,2,1,1,4,24-01004,6,1,71,N,1,3,0,40.0
364,54,N,4,0,1,4,0,1,8,13-04600,2,2,75,N,1,0,4,60.0
365,67,N,8,4,1,4,0,1,9,19-01700,1,1,52,N,1,0,8,60.0
366,60,N,7,0,1,1,N,1,N,19-01700,6,2,41,N,1,1,3,40.0
367,45,N,12,0,3,2,2,2,8,26-02702,1,1,40,N,1,0,8,40.0
368,44,N,5,0,1,1,3,2,9,26-02702,2,2,82,N,1,0,4,40.0
369,20,N,10,0,1,6,0,1,4,26-02702,6,1,47,N,1,0,1,60.0
370,68,N,10,0,1,6,0,2,1,51-51255,6,1,36,N,1,0,5,60.0
371,20,N,7,4,2,5,1,2,2,36-03710,2,2,60,N,1,0,5,20.0
372,44,N,3,1,1,4,3,1,N,32-00405,1,2,55,N,1,0,5,40.0
373,39,N,8,0,1,1,0,2,0,30-00600,3,1,33,N,1,1,1,40.0
374,57,N,3,0,1,N,2,1,1,32-00405,2,2,10,N,1,2,N,60.0
375,28,N,9,0,1,3,0,2,0,51-51255,6,2,66,N,1,2,6,40.0
376,20,N,9,0,3,6,0,1,0,28-01100,1,2,31,N,1,1,2,20.0
377,29,N,6,0,1,1,0,1,4,08-00803,1,2,55,N,1,1,3,40.0
378,57,N,9,0,1,3,N,1,N,29-01901,1,1,72,N,1,0,8,40.0
379,35,N,12,0,1,1,2,2,2,06-08507,9,2,48,N,1,2,0,60.0
380,54,N,10,0,1,3,0,2,0,26-02702,1,2,66,N,1,0,7,60.0
381,2,N,5,0,2,4,1,1,8,19-01700,2,1,70,N,1,0,3,20.0
382,19,N,4,0,3,4,0,1,9,13-04600,2,1,73,N,1,0,4,40.0
383,29,N,4,0,1,4,1,1,N,19-01700,1,1,56,N,1,0,1,40.0
384,48,N,7,0,1,6,2,0,3,36-03710,1,2,43,N,2,N,0,20.0
385,47,N,6,4,1,1,2,2,N,51-51255,1,2,22,N,1,1,3,40.0
386,14,N,12,0,1,6,0,1,N,24-01004,6,1,60,N,1,0,3,60.0
387,35,N,3,0,1,4,2,1,8,36-04010,2,2,65,N,1,0,4,40.0
388,67,N,11,0,1,1,0,1,N,30-00600,3,1,75,N,1,0,9,60.0
389,36,N,6,0,1,6,0,1,N,38-00100,3,1,30,N,1,3,3,40.0
390,13,N,7,0,1,6,0,2,8,38-00100,5,1,34,N,1,0,5,60.0
391,34,N,5,0,2,2,3,1,N,17-03531,2,2,41,N,1,0,0,20.0
392,65,N,7,0,1,2,0,2,2,17-03529,1,2,73,N,1,0,2,80.0
393,16,N,12,0,1,1,1,1,N,06-07502,1,2,67,N,1,0,9,40.0
394,49,N,7,0,1,5,0,1,6,24-01004,6,2,27,N,1,0,4,60.0
395,20,N,9,0,1,5,1,1,7,30-00600,1,2,32,N,1,3,8,40.0
396,32,N,4,0,1,4,0,0,5,32-00405,1,1,54,N,2,N,3,20.0
397,28,N,9,0,1,2,1,1,N,32-00405,1,1,66,N,1,0,6,40.0
398,54,N,4,1,1,6,4,1,0,06-08507,1,1,17,N,1,1,0,60.0
399,17,N,9,0,1,4,0,2,4,32-00405,2,2,55,N,1,0,1,60.0
400,51,N,10,0,1,1,2,2,N,06-08507,9,1,54,N,1,0,9,40.0
401,2,N,3,1,1,N,3,2,3,08-00803,1,2,12,N,1,5,N,40.0
402,11,N,7,0,3,6,0,1,9,38-00100,3,1,19,N,1,0,0,40.0
403,63,N,7,0,1,6,0,1,9,17-03529,9,2,26,N,1,0,7,60.0
404,73,N,11,0,1,1,6,1,5,51-51255,2,1,42,N,1,4,1,40.0
405,5,N,6,0,1,6,1,1,9,40-00200,1,2,81,N,1,0,6,40.0
406,53,N,1,0,2,N,2,2,4,32-00405,1,1,4,N,1,2,N,40.0
407,58,N,10,0,1,2,0,1,4,08-00803,1,2,57,N,1,0,1,60.0
408,9,N,7,0,1,4,N,2,5,06-08507,1,2,60,N,1,0,5,60.0
409,67,N,10,0,1,4,2,2,3,28-01100,1,2,77,N,1,0,2,40.0
410,63,N,4,0,1,3,0,0,0,17-03529,1,2,94,N,2,N,4,20.0
411,9,N,8,1,1,1,0,1,4,38-00100,1,2,58,N,1,0,6,60.0
412,12,N,5,0,1,1,0,2,8,24-01004,9,2,34,N,1,2,0,40.0
413,3,N,5,0,1,6,0,1,1,38-00100,9,2,56,N,1,2,6,40.0
414,46,N,3,0,1,4,3,2,2,19-01700,1,2,83,N,1,0,2,60.0
415,19,N,6,0,1,6,0,0,0,01-01301,2,1,42,N,2,N,1,20.0
416,23,N,9,0,1,3,N,0,0,38-00100,1,2,90,N,2,N,2,40.0
417,25,N,7,0,1,2,0,2,6,13-04600,2,2,65,N,1,0,2,60.0
418,21,N,11,0,1,6,0,1,1,28-01100,1,2,65,N,1,0,5,60.0
419,24,N,9,1,1,1,5,2,1,06-08507,1,1,44,N,1,2,9,40.0
420,3,N,8,0,1,6,0,2,N,38-00100,3,2,50,N,1,2,0,40.0
421,66,N,10,4,1,6,2,1,8,51-01301,1,2,26,N,1,0,7,40.0
422,30,N,8,0,1,1,0,1,9,06-07502,6,2,88,N,1,0,9,80.0
423,57,N,5,0,1,3,0,1,N,28-01100,2,1,73,N,1,2,3,40.0
424,61,N,10,0,1,3,0,1,4,38-00100,1,1,70,N,1,0,8,60.0
425,52,N,9,0,1,5,0,2,5,38-00100,1,2,31,N,1,1,4,40.0
426,22,N,1,0,1,3,1,1,9,01-01301,2,2,93,N,1,0,2,40.0
427,94,N,4,4,1,6,1,1,5,51-51255,1,2,32,N,1,0,4,40.0
428,65,N,7,0,1,2,0,1,2,28-01100,2,1,56,N,1,0,8,60.0
429,54,N,4,0,1,N,0,2,8,32-00405,2,2,14,N,1,2,N,40.0
430,15,N,5,0,1,6,0,0,2,32-00405,9,1,51,N,2,N,2,40.0
431,63,N,3,4,3,6,0,2,0,36-03710,8,2,48,N,1,1,3,20.0
432,22,N,8,0,1,4,0,1,0,28-01100,1,2,62,N,1,0,9,60.0
433,32,N,6,0,1,3,N,1,7,30-00600,1,1,53,N,1,0,5,40.0
434,51,N,7,0,2,6,0,0,2,51-51255,1,2,86,N,2,N,0,40.0
435,24,N,1,4,1,N,2,1,7,19-01700,1,1,5,N,1,3,N,40.0
436,55,N,7,4,1,6,0,2,0,30-00600,1,2,18,N,1,4,2,40.0
437,42,N,9,0,1,1,0,1,4,26-02702,2,1,61,N,1,0,9,60.0
438,11,N,10,0,1,2,0,1,6,40-00200,3,2,66,N,1,0,9,60.0
439,42,N,7,0,1,4,0,2,8,26-02702,1,2,48,N,1,0,4,60.0
440,81,N,10,0,2,6,0,1,0,01-01301,1,1,79,N,1,0,9,40.0
441,33,N,4,1,1,6,3,1,2,29-01901,1,1,27,N,1,0,2,60.0
442,23,N,5,0,1,1,N,1,2,19-01700,6,1,51,N,1,0,2,60.0
443,24,N,1,0,1,4,3,2,3,19-01700,2,2,38,N,1,5,1,40.0
444,35,N,1,0,1,N,2,1,8,28-01100,1,1,3,N,1,1,N,40.0
445,75,N,9,0,1,6,0,1,8,29-01901,6,1,23,N,1,0,4,60.0
446,42,N,7,0,1,1,0,2,4,26-02702,6,2,43,N,1,2,0,40.0
447,57,N,10,0,1,1,2,1,3,38-00100,3,1,48,N,1,0,9,40.0
448,62,N,9,0,1,6,0,1,6,38-00100,5,2,35,N,1,0,8,60.0
449,20,N,8,0,1,1,2,2,9,06-07502,1,1,70,N,1,0,3,40.0
450,14,N,9,0,1,4,2,2,5,28-01100,1,2,78,N,1,0,6,40.0
451,52,N,5,0,1,3,0,2,0,36-03710,2,2,67,N,1,0,3,60.0
452,62,N,5,0,1,4,1,2,3,40-00200,3,1,79,N,1,0,4,40.0
453,58,N,9,2,1,4,3,2,5,17-03531,2,2,40,N,1,1,7,40.0
454,33,N,5,0,1,2,0,2,N,13-04600,2,2,50,N,1,0,6,60.0
455,9,N,N,0,1,N,2,1,N,30-00600,3,2,2,N,1,3,N,60.0
456,29,N,9,0,1,2,0,2,9,29-01901,2,1,51,N,1,0,6,60.0
457,19,N,5,0,1,3,0,2,N,26-02702,1,2,84,N,1,0,3,60.0
458,53,N,4,0,3,6,2,2,6,17-03529,1,1,26,N,1,0,5,20.0
459,64,N,10,0,1,1,0,2,4,08-00803,6,1,45,N,1,3,9,40.0
460,48,N,10,0,1,3,2,1,N,19-01700,1,1,91,N,1,0,7,40.0
461,20,N,7,0,3,2,N,2,4,29-01901,2,2,56,N,1,0,6,20.0
462,18,N,5,0,1,1,0,2,N,40-00200,9,2,28,N,1,4,1,40.0
463,32,N,4,4,1,6,1,1,8,38-00100,1,2,19,N,1,1,5,60.0
464,14,N,4,0,1,4,3,1,5,32-00405,1,1,73,N,1,0,6,40.0
465,24,N,6,0,1,5,0,2,N,01-01301,2,2,68,N,1,0,3,60.0
466,43,N,6,0,1,1,0,1,5,29-01901,1,1,53,6,1,0,6,40.0
467,57,N,9,0,1,3,3,1,1,40-00200,1,1,72,N,1,0,4,40.0
468,39,N,4,0,1,6,N,2,7,29-01901,1,2,15,N,1,1,0,40.0
469,54,N,8,0,1,6,0,2,8,29-01901,1,2,21,N,1,0,3,60.0
470,30,N,11,0,1,6,0,2,2,29-01901,2,1,31,N,1,0,4,60.0
471,12,N,3,0,1,1,3,1,1,40-00200,9,1,72,N,1,0,2,40.0
472,10,N,3,0,1,2,2,1,8,30-00600,1,1,82,N,1,0,3,40.0
473,51,N,4,0,1,1,1,1,0,51-51255,2,1,61,N,1,0,5,40.0
474,64,N,7,2,1,6,N,1,1,24-01004,1,1,20,N,1,0,1,60.0
475,73,N,12,0,1,6,0,2,8,06-07502,6,1,26,N,1,0,5,60.0
476,55,N,4,0,1,6,N,0,1,36-04010,1,1,57,N,2,N,7,40.0
477,28,N,3,0,1,3,2,1,3,24-01004,6,2,76,N,1,1,3,60.0
478,81,N,9,3,1,6,3,2,4,24-01004,1,2,46,N,1,0,5,40.0
479,21,N,6,1,1,6,7,1,8,13-04600,1,2,22,N,1,1,5,40.0
480,66,N,3,4,1,1,1,1,8,51-51255,1,1,49,N,1,0,4,40.0
481,55,N,10,0,1,1,0,1,N,17-03529,9,1,45,N,1,1,9,40.0
482,40,N,6,0,1,5,4,2,N,17-03529,2,1,77,N,1,0,3,40.0
483,62,N,10,0,1,2,0,1,N,06-08507,1,2,87,N,1,0,5,60.0
484,62,N,4,0,1,1,1,1,6,06-07502,6,2,66,N,1,0,0,40.0
485,2,N,4,0,1,6,0,2,0,28-01100,1,1,21,N,1,0,2,60.0
486,29,N,7,0,1,4,0,0,0,19-01700,1,1,27,N,2,N,0,40.0
487,50,N,5,0,1,4,0,1,5,28-01100,1,2,79,N,1,0,3,60.0
488,27,N,5,0,1,4,0,1,8,32-00405,2,2,56,N,1,2,0,40.0
489,59,6,9,0,1,1,0,2,9,29-01901,1,1,43,N,1,0,8,40.0
490,22,N,6,0,1,6,0,2,6,06-07502,1,1,67,N,1,0,4,60.0
491,67,N,5,0,2,3,0,1,6,06-08507,6,2,94,N,1,2,3,20.0
492,50,N,5,0,1,3,0,2,9,32-00405,2,1,51,N,1,0,4,60.0
493,51,N,12,0,1,6,0,2,1,51-51255,1,1,45,N,1,0,9,60.0
494,32,N,10,0,1,4,0,1,N,51-51255,2,2,52,N,1,0,6,60.0
495,73,N,5,0,1,1,N,1,9,51-01301,2,1,77,N,1,0,2,40.0
496,26,N,5,1,1,6,0,1,8,38-00100,1,2,24,N,1,0,1,60.0
497,62,N,8,0,2,4,2,2,3,51-51255,1,1,65,N,1,0,7,20.0
498,8,N,10,0,1,2,2,2,7,08-00803,1,2,59,N,1,0,9,40.0
499,67,N,5,0,1,1,0,2,5,13-04600,1,2,46,N,1,0,0,60.0
500,30,N,9,0,1,4,3,1,4,01-01301,2,1,47,N,1,0,9,40.0
501,18,N,4,0,1,6,1,0,0,13-04600,2,2,71,N,2,N,2,20.0
502,13,N,1,0,1,N,0,1,9,17-03529,1,2,4,N,1,2,N,40.0
503,17,N,9,0,1,6,0,1,1,17-03529,8,1,52,N,1,0,1,80.0
504,27,N,3,0,1,N,2,2,N,51-51255,9,1,12,N,1,2,N,80.0
505,35,N,5,0,1,6,0,1,4,08-00803,6,1,21,N,1,0,1,60.0
506,32,N,8,1,1,6,0,2,4,06-07502,1,1,32,N,1,0,5,80.0
507,49,N,12,0,3,6,0,2,N,06-08507,1,1,37,N,1,0,8,40.0
508,53,N,6,0,1,4,0,2,N,40-00200,3,2,58,N,1,0,4,60.0
509,33,N,3,0,1,N,2,1,3,32-00405,8,2,8,N,1,4,N,40.0
510,34,N,7,0,1,4,0,1,7,32-00405,9,2,68,N,1,0,6,60.0
511,29,N,11,0,1,6,0,1,7,13-04600,1,1,28,N,1,0,8,60.0
512,28,N,9,0,1,4,0,1,5,32-00405,6,1,43,N,1,0,5,80.0
513,74,N,8,0,1,1,N,2,N,32-00405,1,2,59,N,1,0,2,40.0
514,1,N,8,0,1,4,0,2,4,40-00200,1,2,60,N,1,0,3,60.0
515,0,N,8,0,1,1,0,1,7,38-00100,8,2,29,N,1,2,0,40.0
516,37,N,10,0,1,1,0,1,9,01-01301,9,2,50,N,1,0,8,60.0
517,66,N,6,0,1,6,0,0,0,51-01301,1,2,20,N,3,N,1,20.0
518,50,N,6,0,1,1,0,2,3,28-01100,2,1,42,N,1,0,6,60.0
519,24,N,5,0,1,6,N,1,3,19-01700,6,2,59,N,1,0,3,60.0
520,25,N,5,4,3,6,0,2,9,36-03710,2,2,27,N,1,1,3,20.0
521,39,N,8,0,1,1,3,2,7,06-07502,6,2,73,N,1,0,3,40.0
522,70,N,8,0,1,6,0,2,4,24-01004,6,1,28,N,1,0,2,60.0
523,34,N,4,0,1,2,0,1,4,38-00100,1,1,17,N,1,0,1,60.0
524,33,N,7,0,1,6,2,0,8,30-00600,1,2,19,N,3,N,1,20.0
525,27,N,11,0,3,2,0,0,3,19-01700,1,1,81,N,2,N,4,20.0
526,1,N,10,0,1,3,0,1,1,24-01004,1,1,88,N,1,0,8,60.0
527,13,N,3,0,1,6,2,2,0,06-07502,1,1,78,N,1,0,2,40.0
528,2,N,9,1,1,2,5,2,8,38-00100,1,1,29,N,1,0,3,40.0
529,67,N,9,0,1,3,0,0,1,30-00600,1,2,94,N,2,N,0,20.0
530,42,N,8,0,1,4,0,2,N,26-02702,1,1,67,N,1,0,4,60.0
531,58,N,3,0,1,2,2,2,2,17-03531,2,2,76,N,1,0,4,40.0
532,35,N,11,0,1,5,0,1,9,51-01301,1,2,35,N,1,2,9,80.0
533,36,N,3,0,1,N,2,2,5,17-03529,9,2,10,N,1,1,N,40.0
534,37,N,5,0,1,1,1,1,8,51-01301,9,1,43,N,1,1,4,60.0
535,13,N,4,0,2,3,0,1,3,32-00405,1,2,83,N,1,0,2,40.0
536,70,N,1,0,1,N,0,1,9,17-03529,2,1,4,N,1,3,N,40.0
537,15,N,2,0,1,N,3,2,6,06-07502,1,1,4,N,1,2,N,40.0
538,64,N,7,0,1,2,0,1,8,06-08507,6,2,60,N,1,0,0,60.0
539,14,N,3,0,1,6,0,2,6,36-03710,9,2,40,N,1,1,0,40.0
540,59,N,10,0,1,1,0,1,3,38-00100,5,1,50,N,1,5,9,40.0
541,10,N,5,0,1,6,1,1,2,19-01700,2,2,19,N,1,2,1,40.0
542,72,N,6,0,1,6,0,0,2,06-07502,1,2,18,N,3,N,1,20.0
543,74,N,3,4,1,N,9,1,4,19-01700,1,2,14,N,1,3,N,40.0
544,93,N,9,0,1,2,0,2,0,51-01301,1,1,43,N,1,1,9,40.0
545,4,N,9,0,1,5,0,2,3,36-03710,2,2,54,N,1,0,0,60.0
546,67,N,12,0,2,3,0,1,6,06-08507,1,2,88,N,1,0,8,40.0
547,26,N,8,0,1,3,0,1,8,32-00405,1,2,65,N,1,0,4,60.0
548,65,N,1,0,1,1,0,1,N,29-01901,2,2,32,N,1,9,0,40.0
549,84,N,4,0,1,N,0,1,9,24-01004,2,1,14,N,1,0,N,60.0
550,66,N,11,0,1,4,0,1,2,13-04600,1,2,49,N,1,0,9,60.0
551,38,N,3,0,1,6,0,1,4,28-01100,1,2,81,N,1,0,0,60.0
552,51,N,4,0,1,4,0,0,0,08-00803,1,1,75,N,2,N,1,20.0
553,30,N,8,0,1,6,1,1,5,29-01901,2,2,55,N,1,0,0,40.0
554,28,N,9,0,1,1,0,2,N,32-00405,6,1,79,N,1,0,2,60.0
555,33,N,6,1,1,6,0,2,5,19-01700,1,1,22,N,1,1,1,40.0
556,5,N,5,0,1,6,0,1,0,36-03710,1,2,59,N,1,0,0,80.0
557,27,N,5,0,1,4,0,2,9,06-08507,1,1,52,N,1,0,6,60.0
558,52,N,9,0,1,3,0,2,5,26-02702,1,1,76,N,1,0,5,80.0
559,54,N,8,0,1,4,0,1,4,01-01301,1,1,46,N,1,0,8,60.0
560,15,N,9,0,1,2,0,1,N,28-01100,2,1,38,N,1,0,6,60.0
561,46,N,6,0,1,1,0,1,N,17-03531,2,1,56,N,1,0,4,60.0
562,80,N,8,0,1,1,0,2,0,26-02702,1,1,30,N,1,0,6,60.0
563,73,N,7,0,1,4,0,0,1,30-00600,1,1,68,5,2,N,7,0.0
564,34,N,3,4,1,4,5,1,5,32-00405,1,1,30,N,1,0,4,40.0
565,20,N,3,0,3,4,1,2,2,17-03529,2,1,71,N,1,0,3,20.0
566,24,N,5,0,1,1,0,2,2,29-01901,1,2,67,N,1,0,0,60.0
567,3,5,7,0,1,1,0,2,7,51-51255,9,2,23,N,1,2,0,20.0
568,62,N,6,0,1,1,1,2,4,40-00200,3,2,39,N,1,2,4,60.0
569,64,N,3,0,1,3,2,1,6,30-00600,3,2,75,N,1,5,4,40.0
570,15,N,1,0,1,1,2,1,4,06-07502,6,1,89,N,1,0,4,60.0
571,37,N,7,0,1,1,0,2,2,38-00100,9,2,45,N,1,1,2,60.0
572,66,N,5,0,1,2,0,1,4,40-00200,1,2,66,N,1,0,2,80.0
573,58,N,3,0,1,6,3,0,2,51-51255,1,2,75,N,3,N,2,40.0
574,58,N,9,0,1,4,0,2,8,19-01700,1,1,76,N,1,0,4,60.0
575,30,3,10,1,1,1,1,1,9,51-51255,1,1,46,2,1,1,9,60.0
576,41,N,4,1,3,6,0,2,4,36-03710,2,1,25,N,1,0,3,40.0
577,45,N,11,0,1,1,0,2,8,40-00200,1,1,39,N,1,3,6,40.0
578,33,N,10,0,1,5,1,1,9,36-04010,2,2,79,N,1,0,5,40.0
579,60,N,10,1,1,2,0,1,7,51-51255,1,1,35,N,1,0,4,60.0
580,72,N,6,1,1,1,0,1,N,38-00100,1,1,26,5,1,1,8,20.0
581,57,N,7,0,1,5,0,2,1,51-01301,1,2,32,N,1,0,1,80.0
582,33,N,7,1,1,4,4,2,8,32-00405,1,1,36,N,1,4,5,60.0
583,58,N,9,0,1,5,0,2,4,36-04010,2,2,47,N,1,1,7,40.0
584,10,N,6,0,2,6,0,1,1,19-01700,2,1,59,N,1,0,3,40.0
585,69,N,3,0,1,N,1,0,1,30-00600,1,1,8,N,2,N,N,20.0
586,29,N,8,0,1,3,0,2,0,19-01700,1,2,63,N,1,2,6,40.0
587,33,N,5,0,1,2,0,2,4,01-01301,2,2,59,N,1,0,3,60.0
588,44,N,4,0,1,6,5,2,2,06-08507,9,1,18,N,1,2,0,40.0
589,17,N,8,0,1,3,2,1,5,06-08507,1,2,94,N,1,0,3,40.0
590,66,N,9,0,1,5,0,1,N,51-51255,1,1,58,N,1,0,9,60.0
591,41,N,4,0,1,1,0,2,4,19-01700,2,1,87,5,1,0,2,40.0
592,32,N,4,0,3,6,0,1,4,51-51255,2,1,16,N,1,1,0,20.0
593,32,N,3,0,1,3,4,1,1,28-01100,2,1,94,N,1,0,2,40.0
594,59,N,11,0,1,5,0,1,9,51-51255,1,2,71,N,1,0,9,80.0
595,52,N,6,0,1,1,N,2,1,36-03710,2,1,26,N,1,2,1,60.0
596,16,N,9,4,1,1,0,2,1,51-51255,1,2,41,N,1,3,3,40.0
597,16,N,3,0,1,N,3,1,9,06-07502,9,1,12,N,1,4,N,40.0
598,65,N,5,0,1,3,0,1,8,29-01901,2,1,94,N,1,0,3,60.0
599,89,N,1,0,1,1,3,2,0,17-03531,2,1,37,N,1,0,2,40.0
600,5,N,1,0,1,6,3,2,0,32-00405,2,2,48,N,1,2,5,40.0
601,57,N,6,0,1,6,0,1,1,17-03529,2,2,69,N,1,0,3,60.0
602,78,N,5,0,1,5,0,1,8,36-04010,2,2,77,N,1,0,5,60.0
603,6,N,10,0,1,6,1,2,9,19-01700,6,2,25,N,1,0,8,40.0
604,39,N,2,0,1,N,1,1,8,51-01301,6,1,6,N,1,2,N,40.0
605,1,N,9,0,1,4,0,2,N,51-01301,1,1,50,N,1,0,9,60.0
606,1,N,10,0,1,5,0,1,N,08-00803,6,2,44,N,1,3,1,40.0
607,62,N,4,0,1,1,2,2,N,06-08507,6,2,43,N,1,1,0,40.0
608,43,N,4,1,1,1,3,2,7,40-00200,1,2,48,N,1,4,0,40.0
609,74,N,2,0,1,N,2,2,4,38-00100,1,2,4,N,1,4,N,40.0
610,45,N,7,0,1,4,N,2,3,38-00100,3,1,84,N,1,0,5,40.0
611,64,N,7,1,1,6,0,2,N,28-01100,1,2,20,N,1,0,3,60.0
612,39,N,9,0,1,2,0,1,9,01-01301,1,2,66,N,1,0,7,60.0
613,15,N,9,0,1,1,0,2,5,51-01301,9,1,31,N,1,0,8,60.0
614,35,N,8,0,1,4,0,2,N,36-03710,2,2,58,N,1,0,5,60.0
615,37,N,9,0,1,6,0,2,1,06-07502,2,2,34,N,1,0,7,60.0
616,9,N,4,0,1,6,0,1,9,17-03529,6,2,17,N,1,0,1,60.0
617,23,N,4,0,1,2,1,2,5,17-03531,2,2,59,N,1,0,2,40.0
618,73,N,10,0,1,4,0,1,7,13-04600,2,1,39,N,1,2,6,40.0
619,53,N,4,0,1,1,N,1,5,13-04600,1,1,57,N,1,0,7,40.0
620,87,N,1,4,1,N,2,1,7,24-01004,1,1,4,N,1,2,N,60.0
621,65,N,6,0,1,6,0,0,2,30-00600,1,1,26,N,2,N,1,20.0
622,42,N,12,0,1,4,2,2,N,26-02702,6,2,36,N,1,0,6,40.0
623,59,N,9,0,1,1,0,1,5,36-04010,1,1,78,N,1,0,3,60.0
624,45,N,6,0,3,6,1,1,2,06-08507,6,1,21,N,1,0,0,20.0
625,55,N,5,0,1,1,0,2,N,13-04600,1,1,52,N,1,0,8,60.0
626,38,N,7,0,1,6,N,1,N,29-01901,9,2,20,N,1,0,2,40.0
627,26,N,4,0,1,6,1,0,0,30-00600,1,1,16,N,2,N,0,40.0
628,16,N,9,0,1,6,0,1,1,26-02702,6,2,23,N,1,0,8,60.0
629,18,N,4,0,1,6,0,1,N,17-03529,6,1,15,N,1,1,0,40.0
630,52,N,10,0,2,2,1,1,5,24-01004,1,1,27,N,1,0,7,20.0
631,77,N,11,0,1,4,0,2,7,24-01004,1,1,53,N,1,0,9,60.0
632,71,N,3,2,1,N,N,2,1,51-01301,1,2,9,N,1,2,N,40.0
633,3,N,1,0,1,N,0,2,2,06-08507,1,1,4,N,1,2,N,40.0
634,32,N,7,0,1,6,0,1,2,51-51255,2,2,34,N,1,0,0,60.0
635,18,N,8,0,1,6,N,1,6,06-07502,6,1,65,N,1,0,4,40.0
636,25,N,1,2,1,4,3,2,5,19-01700,1,2,70,N,1,0,5,60.0
637,19,N,3,1,1,1,4,2,1,38-00100,1,2,51,N,1,3,2,40.0
638,77,N,9,0,1,6,0,1,5,01-01301,1,2,64,N,1,0,6,60.0
639,10,N,4,0,1,6,0,1,0,36-04010,6,2,15,N,1,0,0,80.0
640,83,N,7,0,1,2,0,1,N,17-03529,2,1,79,N,1,0,8,60.0
