AGEP,SEX,MSP,RAC1P,PINCP_DECILE,HOUSING_TYPE,OWN_RENT,DVET,DEYE,EDU
59,1,1,1,1,1,1,N,2,7
53,2,1,2,2,1,1,N,2,7
61,2,4,2,4,1,1,N,2,5
36,2,1,1,8,1,1,N,2,8
20,2,6,3,1,1,2,N,2,7
17,2,6,1,1,3,0,N,2,7
30,1,6,2,8,1,1,N,2,4
50,1,1,2,3,1,1,N,2,5
27,2,6,1,4,1,2,N,2,5
35,1,1,1,6,1,1,N,2,12
36,2,4,1,4,1,2,N,2,7
45,2,1,3,7,1,1,N,2,10
4,2,N,1,N,1,1,N,2,2
43,1,4,1,5,1,1,N,2,9
57,2,1,1,9,1,2,N,2,11
2,2,N,1,N,1,2,N,2,N
44,1,1,3,9,1,1,N,2,6
32,2,6,9,0,1,1,N,2,5
21,2,4,6,8,1,1,N,2,10
62,1,4,2,0,1,1,N,2,5
7,1,N,5,N,1,2,N,2,3
49,2,4,2,0,1,1,N,2,9
43,1,1,1,3,1,1,N,2,1
22,1,6,3,1,2,0,N,2,7
62,1,5,6,9,1,2,N,2,10
30,2,5,3,4,1,2,N,2,3
63,2,1,2,6,1,2,N,2,11
71,2,1,1,8,1,1,N,2,12
48,2,4,2,9,1,1,N,2,9
57,2,1,9,8,1,2,N,2,10
32,2,6,2,6,1,2,N,2,7
92,1,1,1,0,1,1,N,2,5
14,2,N,6,N,1,2,N,2,4
52,1,1,1,4,1,1,N,2,9
38,2,1,6,2,1,1,N,2,8
19,2,6,1,8,1,1,N,2,5
57,1,1,6,9,1,1,N,2,10
50,1,6,1,9,1,1,N,2,10
0,1,N,1,N,1,1,N,2,N
31,1,6,1,0,1,2,N,2,9
46,1,1,6,0,1,1,N,2,12
23,2,6,1,4,1,1,N,2,9
61,1,1,1,8,1,1,N,2,10
27,1,6,2,4,1,1,N,2,5
30,2,1,1,7,1,1,N,2,8
29,1,1,1,9,1,1,N,2,9
56,1,1,1,3,1,1,N,2,7
61,2,6,2,8,1,1,N,2,5
27,2,6,1,4,1,2,N,2,5
73,1,1,2,0,1,2,N,2,8
70,2,1,1,7,1,2,N,2,10
15,2,6,6,1,1,2,N,2,4
63,1,2,1,2,1,2,N,2,9
45,2,6,1,5,1,2,N,2,3
49,1,6,2,1,1,1,N,2,4
67,2,1,1,7,1,1,N,2,10
25,2,6,6,2,1,1,4,2,7
19,2,6,1,0,1,2,N,2,7
64,2,1,1,9,1,2,N,2,10
74,2,4,2,2,1,2,N,1,11
15,1,6,1,1,1,1,N,2,4
41,1,1,1,6,1,2,N,2,5
20,2,6,1,1,1,2,N,2,7
61,2,6,1,1,1,1,N,2,7
52,2,6,8,1,1,1,N,2,7
22,2,6,9,5,1,2,N,2,7
38,1,6,2,4,1,2,N,1,4
51,2,1,1,9,1,1,N,2,10
24,1,6,1,6,1,2,N,2,5
0,2,N,1,N,1,1,N,2,N
2,1,N,1,N,1,1,N,2,N
39,2,1,1,9,1,2,N,2,4
40,1,1,1,3,1,1,N,2,7
32,1,6,2,4,1,2,N,2,7
24,2,6,1,0,1,2,N,2,5
59,2,6,2,6,1,1,N,2,7
60,2,1,1,0,1,1,N,2,8
36,1,4,2,0,1,1,N,2,5
24,2,6,1,2,1,2,N,2,7
0,1,N,1,N,1,2,N,2,N
9,2,N,1,N,1,1,N,2,3
5,2,N,1,N,1,1,N,2,3
11,1,N,1,N,1,1,N,2,3
25,2,6,1,4,1,2,N,2,5
43,2,1,2,3,1,1,N,2,8
45,2,6,2,8,1,2,N,2,5
68,1,1,2,1,1,1,N,2,9
64,1,1,1,8,1,1,N,2,10
12,1,N,9,N,1,1,N,2,3
70,2,4,3,3,1,2,N,2,5
62,1,1,1,6,1,1,N,2,5
44,2,4,2,0,1,1,N,2,8
1,1,N,1,N,1,1,N,2,N
43,2,4,1,3,1,1,N,2,8
29,2,6,2,6,1,2,N,2,8
51,1,6,1,7,1,1,N,2,10
80,2,4,1,3,1,1,N,2,5
48,2,1,1,9,1,1,N,2,9
27,1,6,2,6,1,2,N,2,7
27,1,6,6,0,1,1,N,2,9
66,2,1,6,9,1,1,N,2,10
56,1,4,1,N,1,2,N,2,10
73,2,3,2,3,1,0,N,2,7
42,2,1,1,8,1,1,N,2,10
64,1,6,9,9,1,1,N,2,6
54,2,1,3,3,1,1,N,2,5
1,2,N,6,N,1,1,N,2,N
28,2,6,2,4,1,2,N,2,6
78,2,1,1,0,1,1,N,2,7
24,2,6,1,0,1,0,N,2,7
9,2,N,1,N,1,1,N,2,3
36,1,6,1,4,1,2,N,2,10
69,1,4,1,5,1,1,N,2,7
81,2,3,1,9,1,1,N,2,10
33,1,1,6,9,1,1,N,2,9
25,1,6,1,3,1,2,N,2,7
63,1,3,6,7,1,1,N,1,9
27,1,1,1,4,1,1,N,2,10
18,2,6,3,1,3,0,N,2,7
6,2,N,1,N,1,2,N,2,3
82,2,1,1,7,1,1,N,1,5
37,2,1,2,5,1,1,N,2,8
65,2,5,6,3,1,2,N,2,5
26,2,6,1,5,1,2,N,2,9
33,1,6,1,8,1,1,N,2,10
40,2,1,2,8,1,1,N,2,7
0,2,N,3,N,1,2,N,2,N
80,2,3,2,2,1,1,N,2,5
2,1,N,1,N,1,1,N,2,N
37,2,6,1,0,1,2,N,2,7
49,2,1,1,9,1,1,N,2,5
35,2,6,3,3,1,1,N,2,5
51,2,6,2,3,1,0,N,2,5
27,2,6,3,0,1,2,N,2,5
65,1,3,1,3,1,1,N,2,7
54,2,6,8,4,1,2,N,2,7
64,2,1,6,8,1,1,N,2,10
48,2,1,2,8,1,1,N,2,10
32,1,6,1,5,1,2,N,2,9
17,1,6,3,0,1,2,N,2,9
12,1,N,9,N,1,1,N,2,3
39,2,1,1,8,1,1,N,2,9
2,1,N,9,N,1,2,N,2,2
67,1,3,1,8,1,1,N,2,5
12,1,N,1,N,1,1,N,2,N
29,1,6,1,0,1,1,N,2,5
11,2,N,2,N,1,2,N,2,3
6,2,N,9,N,1,1,N,2,3
28,1,6,6,1,1,2,N,2,9
47,1,4,6,8,1,1,N,2,10
33,1,1,1,9,1,1,N,2,10
29,2,6,1,1,1,2,N,2,5
49,2,6,2,0,2,0,N,2,7
65,1,1,6,9,1,1,N,2,9
27,2,6,2,2,1,2,N,2,7
48,2,3,1,2,1,2,N,2,5
22,1,6,1,0,3,0,N,2,7
13,2,6,9,0,1,1,N,2,4
5,2,N,1,N,1,1,N,2,1
43,2,4,1,8,1,1,N,2,9
48,2,1,1,6,1,2,N,2,7
44,2,6,2,5,1,2,N,2,4
59,2,1,1,9,1,2,N,2,9
32,1,1,8,9,1,2,N,2,9
26,2,6,1,5,1,2,N,2,9
74,1,1,1,9,1,1,N,2,7
22,2,6,1,5,1,1,N,2,9
84,2,3,3,2,1,2,N,1,6
67,2,1,2,3,1,2,N,2,7
70,2,4,2,2,1,2,N,2,7
0,2,N,9,N,1,1,N,2,N
70,1,2,1,1,1,1,N,2,10
42,2,1,2,3,1,1,N,2,3
35,2,6,1,1,1,2,N,2,10
25,2,6,2,0,1,2,N,2,9
29,1,2,6,1,1,2,N,2,9
73,2,4,2,4,1,1,N,2,7
4,2,N,6,N,1,2,N,2,2
48,2,6,9,8,1,2,N,2,5
77,1,1,1,9,1,1,N,2,9
66,2,4,1,2,1,1,N,2,9
36,1,6,1,4,1,2,N,2,9
74,2,1,1,7,1,1,N,2,9
42,1,1,1,0,1,1,N,2,9
37,1,6,2,0,1,2,N,2,10
9,1,N,2,N,1,1,N,2,3
28,2,6,2,1,1,2,N,2,9
27,2,6,2,2,1,1,N,2,5
34,2,1,2,7,1,1,N,2,8
39,2,1,1,8,1,1,N,2,9
49,1,1,2,8,1,1,N,2,5
32,1,6,1,9,1,2,N,2,9
48,1,6,6,3,1,1,N,2,9
28,2,6,1,1,1,2,N,2,9
55,2,6,6,1,1,2,N,2,6
35,2,6,1,4,1,1,N,2,9
12,2,N,1,N,1,2,N,2,3
60,2,6,2,1,1,2,N,1,7
42,2,1,1,7,1,1,N,2,1
65,2,1,1,4,1,1,N,2,9
75,1,1,6,9,1,1,N,2,9
71,1,6,8,5,1,1,N,2,9
62,2,1,6,9,1,1,N,2,10
54,2,1,2,7,1,2,N,2,8
5,2,N,1,N,1,1,N,2,1
52,2,6,1,3,1,1,N,2,1
69,2,3,2,4,1,1,N,2,7
12,1,N,1,N,1,1,N,2,3
43,2,1,1,8,1,1,N,2,10
0,1,N,2,N,1,1,N,2,N
44,2,1,1,0,1,1,N,2,7
10,2,N,1,N,1,1,N,2,3
15,1,6,1,0,1,1,N,2,4
80,2,4,1,4,1,1,N,2,7
71,2,1,1,3,1,1,N,2,7
10,1,N,1,N,1,1,N,2,3
3,1,N,1,N,1,1,N,2,2
68,2,1,1,8,1,2,N,2,9
27,1,1,1,9,1,1,N,2,9
48,2,6,2,7,1,1,N,2,7
26,1,6,1,2,1,2,N,2,6
2,2,N,2,N,1,2,N,2,N
35,2,1,1,6,1,2,N,2,9
22,2,6,2,6,1,2,N,2,9
46,2,1,1,2,1,2,N,2,9
56,1,1,1,9,1,1,N,2,9
23,1,6,3,1,1,2,N,2,9
54,2,1,1,7,1,1,N,2,4
69,2,4,2,4,1,1,N,1,5
36,1,1,6,1,1,2,N,2,9
60,1,1,1,7,1,1,N,2,10
13,2,N,6,N,1,1,N,2,3
34,2,1,1,9,1,1,N,2,10
42,1,6,2,9,1,2,N,2,9
1,1,N,2,N,1,1,N,2,N
52,2,2,1,8,1,1,N,2,9
42,1,6,8,2,1,1,N,2,5
68,2,1,1,9,1,1,N,2,10
47,2,1,1,4,1,1,N,2,9
59,2,2,1,3,1,1,N,2,7
85,2,4,8,8,1,1,N,2,5
30,1,6,1,1,1,2,N,2,5
3,1,N,2,N,1,1,N,2,2
62,2,6,1,2,1,2,N,2,1
5,1,N,9,N,1,1,N,2,2
8,1,N,1,N,1,1,N,2,3
2,2,N,6,N,1,1,N,2,N
51,2,4,1,9,1,2,N,2,9
50,2,6,6,5,1,1,N,2,6
67,1,1,4,5,1,2,N,2,4
10,1,N,1,N,1,2,N,2,3
22,1,6,1,1,1,2,N,2,7
11,2,N,2,N,1,1,N,2,3
66,1,6,2,4,1,1,N,2,5
48,2,1,6,9,1,1,N,2,12
54,1,1,6,9,1,1,N,2,10
12,1,N,2,N,1,1,N,2,3
23,2,6,1,6,1,1,N,2,7
31,2,1,6,5,1,1,N,2,9
65,2,1,1,9,1,1,N,1,10
9,2,N,1,N,1,1,N,2,3
5,2,N,2,N,1,2,N,2,2
12,2,N,6,N,1,1,N,2,3
26,2,6,6,8,1,2,N,2,9
8,2,N,1,N,1,1,N,2,3
55,2,1,1,9,1,1,N,2,11
8,2,N,1,N,1,1,N,2,3
59,1,6,1,2,1,2,N,2,4
70,1,2,2,5,1,1,N,2,7
49,2,1,1,5,1,1,N,2,10
8,2,N,1,N,1,2,N,2,3
61,2,1,1,8,1,1,N,2,10
10,1,N,1,N,1,1,N,2,3
33,2,6,1,3,1,2,N,2,10
10,2,N,1,N,1,1,N,2,3
35,1,6,1,6,1,2,N,2,6
68,1,6,1,0,1,2,N,1,4
80,2,1,9,9,1,1,N,2,9
40,1,6,2,2,3,0,N,2,5
50,2,1,1,8,1,1,N,2,9
67,1,1,1,5,1,2,N,2,10
38,2,1,1,7,1,2,N,2,9
66,1,6,2,2,1,2,N,2,7
70,1,1,2,7,1,1,N,2,9
38,1,1,1,9,1,1,N,2,10
47,2,1,6,5,1,2,N,2,12
59,2,1,6,0,1,1,N,2,5
46,2,1,1,8,1,1,N,2,10
34,2,1,1,5,1,1,N,2,10
14,2,N,6,N,1,2,N,2,3
33,2,4,2,1,1,1,N,2,5
29,2,6,2,5,1,1,N,2,6
42,2,6,1,8,1,1,N,2,7
53,2,4,2,3,1,2,N,2,5
16,1,6,2,0,3,0,N,2,4
8,2,N,1,N,1,2,N,2,3
35,1,1,1,8,1,1,N,2,9
70,2,4,1,2,1,1,N,1,7
62,1,6,1,1,1,1,N,2,7
62,2,6,1,0,1,2,N,2,9
48,2,1,9,8,1,1,N,2,5
0,2,N,1,N,1,1,N,2,N
36,1,6,1,0,3,0,N,2,5
23,2,6,1,0,1,1,N,2,7
24,2,1,1,0,1,1,N,2,9
5,2,N,2,N,1,2,N,2,2
15,2,6,3,0,1,1,N,2,4
12,2,N,6,N,1,1,N,2,1
67,1,6,1,9,1,2,N,2,10
57,1,1,1,3,1,1,N,2,9
28,1,6,2,6,1,2,N,2,5
4,1,N,6,N,1,1,N,2,1
59,1,1,1,3,1,1,N,2,8
28,1,6,6,6,1,2,N,2,9
30,2,6,1,5,1,2,N,2,9
54,2,1,1,2,1,1,N,2,5
40,2,1,6,8,1,1,N,2,9
30,1,6,8,0,1,1,N,2,9
56,2,6,1,2,1,1,N,2,9
30,1,6,1,0,1,0,N,2,4
84,2,1,1,8,1,1,N,2,10
35,2,1,1,8,1,1,N,2,11
0,2,N,1,N,1,1,N,2,1
31,2,6,3,1,1,2,N,2,5
59,1,6,2,8,1,2,N,1,4
53,1,4,2,2,1,2,N,2,8
8,1,N,1,N,1,1,N,2,3
49,1,3,1,8,1,2,N,2,9
0,2,N,1,N,1,1,N,2,N
37,1,3,1,8,1,2,N,2,12
10,1,N,2,N,1,2,N,2,3
42,1,6,2,8,1,2,N,2,10
36,2,4,1,3,1,1,N,1,5
36,2,6,2,0,1,1,N,2,4
38,1,1,1,3,1,1,N,2,10
63,1,4,2,4,1,1,N,2,5
78,2,1,2,0,1,2,N,2,11
72,1,1,2,3,1,1,N,2,5
35,2,4,2,1,1,2,N,2,7
0,1,N,2,N,1,1,N,2,N
29,2,6,9,2,3,0,N,2,7
20,2,6,1,1,1,2,N,2,9
34,2,1,1,5,1,2,N,2,9
42,1,4,1,2,1,1,N,2,10
42,2,1,1,8,1,1,N,2,9
65,2,1,6,9,1,1,N,2,10
77,2,6,1,4,1,0,N,2,5
29,1,1,1,8,1,1,N,2,10
53,1,6,1,7,1,1,N,2,5
42,1,1,1,9,1,2,N,2,10
5,1,N,1,N,1,1,N,2,1
56,2,4,1,9,1,1,N,2,6
41,1,1,1,9,1,1,N,2,9
36,2,1,1,9,1,1,N,2,9
67,1,1,2,4,1,2,N,2,10
35,2,4,6,8,1,2,N,2,10
40,1,1,1,3,1,1,N,2,7
24,1,6,1,7,1,2,N,2,9
67,1,1,1,9,1,2,N,2,10
20,1,6,3,0,1,2,N,2,5
23,1,1,6,8,1,1,N,2,8
62,1,1,3,2,1,1,N,2,10
71,2,1,6,9,1,1,N,2,12
2,2,N,1,N,1,1,N,2,1
34,2,1,1,2,1,2,N,2,11
15,2,6,1,2,1,1,N,2,4
69,2,1,1,2,1,1,N,2,7
37,2,4,1,8,1,2,N,2,9
42,2,6,2,7,1,2,N,2,7
52,2,1,2,9,1,1,N,2,7
55,1,4,1,8,1,1,N,2,7
55,2,1,1,5,1,1,N,2,10
12,2,N,2,N,1,2,N,2,3
55,1,6,1,1,1,2,N,2,4
36,2,4,1,9,1,2,N,2,10
52,2,1,1,5,1,1,N,2,9
48,2,1,2,3,1,1,N,2,7
22,2,6,1,2,1,2,N,2,9
94,1,5,2,2,1,2,N,2,5
56,1,1,2,8,1,1,N,2,8
57,2,1,2,0,1,1,N,2,4
52,1,1,1,2,1,1,N,2,12
68,2,1,2,6,1,1,N,2,7
50,2,6,2,0,1,1,N,2,4
79,2,1,1,5,1,1,N,2,10
34,2,1,6,2,1,1,N,2,6
19,2,6,1,0,1,2,N,2,7
17,1,6,8,0,1,2,N,2,4
4,1,N,1,N,1,1,N,2,2
22,2,6,1,9,1,2,N,2,9
70,1,3,1,3,1,1,N,2,5
48,2,1,1,9,1,1,N,2,12
66,1,1,1,9,1,1,N,2,9
53,2,1,1,9,1,1,N,2,11
8,2,N,1,N,1,2,N,2,3
67,2,1,1,8,1,1,N,2,5
67,2,3,1,6,1,1,N,1,7
45,2,1,1,9,1,1,N,2,9
1,1,N,1,N,1,1,N,2,N
72,2,1,1,6,1,1,N,2,9
54,2,1,6,3,1,1,N,2,12
19,1,6,1,2,3,0,N,2,7
53,2,1,1,9,1,1,N,2,9
78,1,1,1,5,1,1,N,2,6
72,2,1,2,4,1,1,N,2,9
28,1,6,1,3,1,2,N,2,4
70,2,3,2,0,3,0,N,2,4
30,1,4,2,8,1,1,N,2,1
60,2,6,2,7,1,2,N,2,7
78,2,6,8,3,1,1,N,2,9
83,1,3,1,9,1,1,N,2,4
57,2,6,3,1,1,1,N,2,7
35,1,6,2,2,1,1,N,2,4
14,2,6,9,0,1,1,N,2,4
27,2,6,1,2,1,1,N,2,7
13,1,6,2,0,1,2,N,2,4
61,2,4,1,6,1,1,N,2,5
1,1,N,2,N,1,2,6,2,N
43,2,4,1,8,1,1,N,2,11
24,2,6,1,5,1,2,N,2,9
30,1,6,3,1,1,2,N,2,5
42,2,1,1,9,1,1,N,2,9
55,1,1,1,9,1,1,N,2,9
84,1,3,1,6,1,1,N,2,5
5,2,N,2,N,1,1,N,2,2
57,2,1,1,2,1,1,N,2,7
25,2,4,2,5,1,1,N,2,7
43,1,2,1,8,1,2,N,2,5
57,1,1,1,9,1,1,N,2,11
40,1,6,1,9,1,1,N,2,9
32,1,1,1,6,1,1,N,2,8
12,2,N,1,N,1,2,N,2,3
50,2,1,2,6,1,1,N,2,7
7,2,N,1,N,1,1,N,2,3
77,1,3,1,7,1,1,N,2,5
43,1,2,1,5,1,1,N,2,7
42,1,1,1,9,1,2,N,2,7
75,1,1,1,7,1,1,N,2,5
3,1,N,1,N,1,1,N,2,1
37,1,1,1,8,1,1,N,2,10
61,2,1,1,9,1,1,N,2,9
56,1,1,2,6,1,1,N,2,8
24,2,6,6,0,1,1,N,2,10
54,2,4,2,0,1,2,N,2,2
45,2,4,2,4,1,2,N,2,7
6,1,N,2,N,1,2,N,2,3
35,2,1,2,8,1,1,N,2,9
5,1,N,1,N,1,1,N,2,2
61,2,1,1,7,1,1,N,2,9
22,1,6,1,3,1,2,N,2,10
32,1,6,1,6,1,2,N,2,7
48,1,4,1,9,1,2,N,2,7
35,1,1,1,8,1,1,N,2,10
5,1,N,9,N,1,1,N,2,2
57,1,4,2,1,1,1,N,2,3
36,2,6,2,1,1,1,N,2,4
55,1,1,6,7,1,1,2,2,11
74,2,1,6,4,1,2,N,2,11
7,1,N,6,N,1,2,N,2,3
41,2,6,3,5,1,1,N,2,9
72,2,1,6,7,1,1,N,2,8
45,1,6,6,9,1,2,N,2,10
26,1,6,2,0,1,2,N,2,6
13,2,N,6,N,1,1,N,2,3
74,2,2,1,1,1,1,N,2,5
40,1,6,1,8,1,1,N,2,9
59,2,3,2,1,1,2,N,2,4
68,1,1,1,8,1,1,N,2,10
57,2,1,1,9,1,1,N,2,9
69,1,3,1,0,1,1,N,2,7
82,1,1,1,3,1,1,N,2,9
18,2,6,1,1,2,0,N,2,5
2,1,N,2,N,1,1,N,2,N
27,1,6,1,1,1,2,N,2,9
22,2,6,2,4,1,2,N,2,5
81,2,3,2,1,1,0,N,2,7
59,2,6,1,2,2,0,N,2,5
72,1,1,2,9,1,1,N,2,1
64,2,2,8,4,1,1,N,2,10
66,1,1,2,2,1,1,N,2,5
68,1,4,1,5,1,2,N,2,5
4,2,N,9,N,1,1,N,2,2
41,1,1,1,4,1,1,N,2,11
23,2,6,6,4,1,2,N,2,9
73,2,1,1,9,1,2,N,2,10
56,2,1,1,6,1,1,N,2,7
35,1,1,1,9,1,1,N,2,10
51,2,6,1,9,1,1,N,2,9
10,2,N,1,N,1,1,N,2,3
64,2,3,6,8,1,1,N,2,9
8,2,N,1,N,1,2,N,2,3
47,1,1,1,6,1,2,N,2,5
48,1,4,1,3,1,1,N,2,6
63,2,1,1,4,1,1,N,1,7
54,2,6,1,9,1,2,N,2,10
64,2,6,1,3,3,1,N,2,9
38,2,1,2,6,1,1,N,2,10
65,2,1,1,4,1,1,N,2,8
25,2,6,1,0,1,1,N,2,9
48,1,6,2,4,1,2,N,2,7
59,1,1,1,4,1,2,N,2,7
54,2,4,1,8,1,2,N,2,9
68,2,1,1,8,1,1,N,2,9
73,2,3,1,6,1,2,N,2,8
62,2,4,8,0,1,2,N,2,11
10,2,N,2,N,1,1,N,2,3
75,1,1,6,6,1,2,N,2,10
68,1,4,1,0,1,1,N,2,7
47,2,4,1,0,1,1,N,2,8
89,1,2,2,4,3,0,N,2,10
66,2,1,2,6,1,1,N,2,9
35,1,6,1,4,1,2,N,2,9
66,2,3,2,4,1,1,N,2,8
39,2,6,3,3,1,2,N,2,5
0,1,N,1,N,1,1,N,2,N
40,2,1,9,3,1,2,N,2,12
30,2,1,1,8,1,2,N,2,8
80,2,3,2,2,1,2,N,2,9
43,1,1,1,9,1,1,N,2,9
63,2,1,1,9,1,1,N,2,9
67,1,6,2,9,1,1,N,2,4
4,2,N,1,N,1,1,N,2,1
45,1,6,2,2,1,1,N,2,7
7,1,N,1,N,1,1,N,2,3
61,2,3,1,3,1,1,N,2,7
72,1,1,1,6,1,1,N,2,10
65,2,6,6,0,1,2,N,2,9
52,2,1,1,4,1,1,N,2,5
67,1,4,1,6,1,1,N,2,10
75,2,1,1,3,1,1,N,2,7
47,2,1,1,4,1,2,N,2,10
10,1,N,1,N,1,1,N,2,3
55,2,1,6,0,1,1,N,2,9
15,2,6,1,2,1,1,N,2,4
39,1,4,1,7,1,2,N,2,5
64,1,1,6,7,1,1,N,2,9
11,2,N,9,N,1,1,N,2,3
64,1,1,1,3,1,1,N,2,12
63,2,3,2,7,1,2,N,2,4
63,2,3,6,9,1,2,N,2,10
20,1,6,1,0,1,1,N,2,5
12,1,N,1,N,1,1,N,2,3
63,2,1,1,7,1,1,N,2,10
68,1,1,1,6,1,1,N,2,3
90,2,1,8,5,1,1,N,2,7
4,2,N,3,N,1,2,N,2,2
19,1,6,2,5,3,0,N,2,7
72,1,6,2,5,1,1,N,1,9
17,2,6,1,1,3,0,N,2,7
48,2,4,2,3,1,2,N,2,6
48,2,1,2,5,1,1,N,2,7
81,1,1,2,0,1,1,N,2,5
69,1,4,1,9,1,1,N,2,11
75,2,1,1,7,1,1,N,2,7
9,2,N,6,N,1,2,N,2,3
62,2,6,2,0,3,0,N,1,7
49,2,1,1,4,1,2,N,2,7
12,1,N,6,N,1,1,N,2,3
38,2,4,6,9,1,1,N,2,9
22,2,6,2,0,2,0,N,2,4
11,1,N,2,N,1,1,N,2,3
73,1,6,2,3,1,1,N,1,3
28,2,6,1,1,1,1,N,2,8
3,1,N,8,N,1,1,N,2,2
79,1,1,6,9,1,1,N,1,10
73,1,4,1,3,1,1,N,2,7
57,2,6,2,1,1,1,N,2,4
19,2,6,3,0,1,2,N,2,7
20,2,6,1,0,3,0,N,2,7
67,2,5,1,6,1,1,N,2,9
24,1,6,1,1,1,1,N,2,8
51,1,3,9,8,1,1,N,2,7
0,2,N,1,N,1,1,N,2,N
67,1,6,2,0,1,2,N,2,3
7,1,N,3,N,1,1,N,2,2
62,2,4,1,0,1,2,N,2,5
12,1,N,2,N,1,1,N,2,3
2,2,N,1,N,1,1,N,2,N
18,1,6,1,2,1,1,N,2,5
81,1,1,1,4,1,1,N,2,6
61,1,1,1,8,1,1,N,2,12
23,2,6,1,2,1,1,N,2,8
53,2,4,2,3,1,2,N,2,10
0,2,N,1,N,1,2,N,2,N
51,1,6,1,2,1,1,N,2,5
63,1,1,1,9,1,1,4,2,8
3,1,N,1,N,1,1,N,2,2
43,1,1,1,0,1,2,N,2,7
3,2,N,6,N,1,2,N,2,1
29,2,6,8,9,1,2,N,2,7
67,1,1,6,8,1,1,N,2,7
15,1,6,1,0,1,2,N,2,4
70,2,4,8,2,1,2,N,2,5
23,2,6,1,1,1,2,N,2,8
65,2,6,1,6,1,1,N,2,9
49,1,1,1,9,1,2,N,2,10
7,1,N,1,N,1,1,N,2,3
47,1,4,2,2,1,2,N,2,4
1,2,N,1,N,1,1,N,2,N
87,2,3,1,2,1,1,N,2,8
61,1,4,2,7,1,1,N,2,5
32,2,6,2,3,3,0,N,2,7
49,1,4,2,0,1,2,N,2,6
59,1,1,9,3,1,1,N,2,6
31,2,6,2,1,1,2,N,2,11
27,2,6,1,7,1,1,N,2,9
5,2,N,1,N,1,1,N,2,2
48,2,1,6,8,1,2,N,2,6
59,1,3,1,2,1,1,N,2,4
26,1,6,2,5,1,2,N,2,5
76,2,1,2,3,1,1,N,2,7
42,1,1,3,8,1,1,N,2,10
68,2,4,2,2,1,1,N,2,7
23,2,6,1,1,1,1,N,2,12
12,1,N,1,N,1,1,N,2,3
7,1,N,1,N,1,1,N,2,3
59,2,4,8,6,1,1,N,2,7
1,2,N,1,N,1,1,N,2,1
0,1,N,1,N,1,1,N,2,N
46,2,6,1,3,1,1,N,2,5
29,2,6,2,5,1,2,N,2,8
54,1,1,1,5,1,1,N,2,11
46,1,1,1,7,1,1,N,2,9
89,1,4,1,3,1,2,N,2,5
48,1,6,6,9,1,2,N,2,9
59,1,1,6,N,1,2,N,2,6
8,1,N,1,N,1,1,N,2,1
32,2,1,1,8,1,2,N,2,12
49,2,6,2,6,1,1,N,2,7
8,2,N,2,N,1,1,N,2,3
42,1,6,1,1,1,0,N,2,5
6,1,N,1,N,1,2,N,2,3
34,2,4,9,6,1,2,N,2,7
60,1,1,1,3,1,1,N,2,5
23,2,6,1,7,1,1,N,2,9
45,1,4,1,9,1,1,N,2,6
54,1,1,2,9,1,1,N,2,10
33,2,1,1,9,1,1,N,2,10
30,2,4,2,9,1,2,N,2,3
62,1,6,2,1,1,1,N,2,7
29,1,1,1,9,1,1,N,2,10
7,1,N,1,N,1,1,N,2,2
24,2,6,1,9,1,1,N,2,5
77,1,3,2,5,1,1,N,2,5
44,1,1,1,9,1,1,N,2,8
24,2,6,1,6,1,2,N,2,9
33,2,3,1,8,1,1,N,2,10
22,2,6,2,1,1,2,N,2,11
61,1,6,9,3,1,1,N,2,10
32,1,1,1,6,1,2,N,2,9
66,2,1,2,8,1,1,N,2,7
55,1,1,1,9,1,1,N,2,10
66,1,1,1,7,1,1,N,2,9
34,1,1,8,6,1,1,N,2,11
64,1,1,1,0,1,1,N,2,3
17,1,6,1,2,1,1,N,2,7
0,2,N,1,N,1,1,N,2,N
12,2,N,1,N,1,1,N,2,3
29,1,6,3,8,1,2,N,2,10
64,1,6,2,6,1,2,N,2,3
49,2,1,2,7,1,1,N,2,7
71,2,1,2,1,1,1,N,2,5
50,2,1,6,9,1,2,N,2,10
42,2,1,7,8,1,1,N,2,10
27,1,6,1,9,1,2,N,2,9
0,2,N,8,N,1,1,N,2,N
50,2,1,1,2,1,1,N,2,8
36,2,1,6,8,1,1,N,2,9
82,2,1,1,3,1,1,N,2,5
17,2,6,8,1,3,0,N,2,5
70,2,1,1,9,1,1,N,2,10
69,2,1,1,2,1,1,N,2,7
61,1,1,6,9,1,1,N,2,10
20,2,6,1,0,1,2,N,2,4
60,2,6,2,2,1,2,N,2,7
61,2,3,2,5,1,1,N,2,5
42,2,2,2,0,1,1,N,2,3
52,2,4,1,4,1,1,N,1,5
92,2,1,2,5,1,1,N,2,5
5,1,N,1,N,1,1,N,2,2
61,2,2,2,4,1,1,N,2,7
0,1,N,3,N,1,1,N,2,N
10,2,N,3,N,1,1,N,2,3
65,2,4,1,9,1,1,N,2,10
55,2,1,1,3,1,1,N,2,9
57,1,1,1,4,1,1,N,2,9
14,2,N,1,N,1,2,N,2,3
31,2,6,2,6,1,2,N,2,8
55,2,1,2,5,1,1,N,2,5
42,2,6,2,6,1,1,N,2,5
1,2,N,1,N,1,1,N,2,2
75,2,4,3,3,1,1,N,2,1
29,1,6,6,9,1,2,N,2,10
50,2,1,1,9,1,1,N,2,9
83,2,3,4,6,1,1,N,2,4
22,2,6,1,7,1,1,N,2,10
