PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP,target
48-02515,3,2,N,0,1,2,4,1,1,2134.8,9920,N,12,9950.0,N,229,N,2,2,2,2,21,49,8762
48-02510,63,2,1,0,1,0,2,1,1,3092.4,9920,9,4,101500.0,0,500,N,2,2,2,2,175,177,5567
48-02516,27,2,1,0,1,0,2,1,1,3092.4,8660,15,6,56300.0,9,501,N,2,2,2,2,75,81,3928
48-02510,28,2,1,0,1,0,2,1,1,3092.4,8070,10,7,24600.0,4,52,N,2,2,2,2,114,128,7031
48-02515,46,1,6,0,1,0,3,1,1,2134.8,6890,10,8,24800.0,9,52,N,2,2,2,2,78,138,1729
48-02507,27,2,6,1,2,0,2,1,1,2134.8,5593,14,3,220000.0,1,229,N,1,2,2,2,55,52,5086
48-02101,17,1,6,1,1,0,N,1,1,450.9,3070,N,4,0.0,0,88,N,2,2,2,2,21,18,2798
48-02101,16,2,6,0,1,2,4,1,1,1338.4,7790,10,5,81500.0,8,501,N,2,2,2,2,51,51,2191
48-02507,4,1,N,1,1,2,5,1,1,3731.1,9920,9,1,99800.0,9,121,N,2,2,2,2,48,47,7878
48-02516,5,1,N,0,9,2,4,1,1,3731.1,N,N,4,N,N,249,N,N,N,2,2,55,393,8617
48-02515,39,1,1,0,2,1,6,1,2,2134.8,7860,3,1,58300.0,9,500,N,2,2,2,2,360,402,5396
48-02507,18,2,3,0,1,0,N,1,2,3731.1,9920,9,7,43100.0,5,33,N,2,1,2,2,48,50,7005
48-02510,25,2,1,0,6,0,2,1,1,3092.4,8670,15,5,79480.0,1,418,N,2,2,2,2,42,48,1777
48-02102,77,2,1,0,1,1,5,1,1,450.9,N,N,2,100.0,0,144,N,2,2,2,2,158,17,910
48-02507,71,2,N,0,1,0,2,1,1,450.9,9920,N,12,98370.0,7,52,N,2,2,2,2,51,54,8765
48-02507,29,2,6,0,1,2,4,1,2,3731.1,7770,9,9,80.0,1,400,N,2,2,2,2,87,93,7304
48-02102,64,2,2,0,1,0,3,1,1,450.9,9920,N,8,99000.0,8,9,N,2,2,2,2,129,122,5173
48-02101,40,1,1,0,2,3,N,1,1,357.4,6190,6,4,4100.0,6,326,N,2,2,2,2,238,96,4674
48-02102,57,2,1,0,1,0,2,1,1,3731.1,7970,10,5,38360.0,9,501,N,2,2,2,2,38,42,5056
48-02101,61,2,1,1,1,0,2,1,1,357.4,9390,10,10,57010.0,6,52,N,2,2,2,2,20,17,7079
48-02510,47,2,1,0,1,0,4,1,1,3092.4,7190,10,7,100200.0,0,56,N,2,2,2,2,86,105,5599
48-02101,62,1,1,0,1,0,2,1,1,357.4,9180,N,1,54600.0,0,501,N,2,2,2,2,17,11,5244
48-02102,67,1,N,0,1,0,2,1,1,450.9,N,N,1,N,N,329,N,2,2,2,2,57,17,7910
48-02101,64,2,3,0,1,0,2,1,1,357.4,7880,10,7,24600.0,6,501,N,2,2,2,2,42,52,7511
48-02102,4,1,N,0,1,0,6,1,1,450.9,N,9,1,99060.0,9,413,N,N,N,2,2,44,44,7932
48-02510,55,1,6,0,1,2,4,1,2,3092.4,8580,3,8,20810.0,6,253,N,2,2,2,2,49,86,6379
48-02507,38,1,1,0,1,0,2,1,1,3731.1,7181,4,8,133800.0,9,501,N,2,2,2,2,36,45,2105
48-02102,56,1,1,0,1,0,2,1,1,450.9,3180,14,7,136000.0,3,344,N,2,2,2,2,10,14,2121
48-02515,48,2,1,0,1,0,3,1,2,2134.8,8770,10,5,203200.0,7,53,N,2,2,2,2,45,45,1624
48-02102,62,2,1,0,1,0,2,1,1,450.9,5170,6,7,8300.0,5,52,N,2,2,2,2,263,56,2012
48-02102,4,1,N,0,1,3,5,1,1,450.9,N,N,12,2330.0,N,213,N,2,2,2,2,273,59,8743
48-02102,28,1,4,1,1,2,4,1,1,450.9,3170,6,2,14400.0,9,227,N,2,2,2,2,219,181,7721
48-02515,63,2,6,0,1,0,N,1,2,3731.1,7071,11,12,13000.0,1,32,N,2,2,2,2,77,75,4405
48-02101,56,1,5,0,1,0,2,1,1,357.4,9920,N,6,82300.0,6,391,N,1,2,2,2,9,8,4819
48-02515,16,1,6,0,1,N,N,2,0,450.9,9920,N,4,100.0,0,98,N,2,2,2,2,53,41,303
48-02510,49,2,1,0,1,0,4,1,1,1338.4,9290,15,9,4000.0,6,500,N,2,2,2,2,387,369,3766
48-02515,28,1,1,0,6,1,5,1,1,2134.8,7770,N,9,80000.0,6,391,N,N,2,2,2,202,220,7150
48-02515,59,1,4,1,8,0,N,1,2,1338.4,3180,4,4,59200.0,7,324,N,2,2,2,2,309,53,2918
48-02101,36,2,1,0,1,0,3,1,1,357.4,7880,6,7,3000.0,4,218,N,2,2,2,2,49,46,7471
48-02507,62,2,1,0,1,0,2,1,2,3731.1,7680,14,4,33800.0,1,232,N,2,2,2,2,48,51,1787
48-02507,40,1,1,0,1,0,N,1,1,3731.1,5070,3,8,500.0,6,416,N,1,2,2,2,47,41,2245
48-02101,5,1,N,1,1,3,5,1,1,450.9,9920,N,2,99200.0,N,416,N,2,2,2,2,151,380,8125
48-02102,74,1,1,0,1,0,4,1,1,3092.4,9920,N,12,60300.0,7,344,N,1,1,2,2,80,79,6466
48-02510,77,2,1,0,1,0,4,1,1,3092.4,N,N,8,9950.0,1,501,N,2,2,2,2,59,264,7385
48-02101,61,2,1,0,1,0,2,1,1,450.9,8670,14,4,59500.0,6,325,N,2,2,2,2,42,209,4274
48-02101,48,1,1,0,1,0,4,1,1,357.4,8660,15,6,40800.0,6,334,N,2,2,2,2,81,54,5794
48-02102,36,1,1,0,1,1,3,1,2,450.9,7080,6,7,132000.0,3,88,N,2,2,2,2,136,17,7296
48-02515,5,2,N,1,2,3,6,1,2,2134.8,N,N,12,N,N,199,N,1,2,2,2,139,147,6011
48-02516,32,1,6,0,2,1,N,1,0,357.4,9920,9,4,99060.0,1,52,N,2,2,2,2,92,143,593
48-02515,15,2,N,0,2,3,6,1,1,2134.8,9920,N,2,990.0,N,93,N,2,2,2,2,261,51,9082
48-02102,36,1,1,0,1,1,3,1,1,450.9,2880,6,4,22100.0,8,501,N,2,2,2,2,13,80,3340
48-02102,77,1,1,0,1,1,5,1,1,2134.8,7080,11,1,98400.0,9,52,N,2,2,2,2,13,53,6397
48-02515,76,1,1,0,1,0,2,1,1,3092.4,9920,9,9,8100.0,8,53,N,2,1,2,1,12,13,7743
48-02507,59,1,2,0,1,0,5,1,1,3731.1,N,N,6,6100.0,1,218,N,N,N,2,2,178,186,7348
48-02510,73,2,1,0,1,0,N,1,1,3092.4,9920,9,5,10100.0,0,337,N,2,2,2,2,82,79,7318
48-02102,13,2,N,0,9,2,4,1,2,450.9,9920,9,2,99800.0,9,325,N,2,2,2,2,57,54,7770
48-02102,16,1,1,0,1,0,3,1,1,450.9,5080,5,4,10300.0,0,305,N,1,2,2,2,37,40,4907
48-02516,56,1,1,0,1,0,4,1,1,3092.4,6992,14,8,6000.0,8,52,N,2,2,2,2,88,98,2150
48-02515,3,1,N,1,1,3,5,1,1,450.9,N,N,4,N,N,262,N,N,N,2,2,245,203,7770
48-02102,27,1,5,0,1,2,N,1,2,357.4,770,11,8,57500.0,6,394,N,2,2,2,2,59,57,3276
48-02507,66,2,3,0,1,0,N,1,0,3731.1,9920,N,3,227700.0,1,321,N,2,1,2,2,40,41,4006
48-02101,71,2,1,0,1,0,2,1,1,357.4,N,N,4,100900.0,3,331,N,2,1,2,1,68,12,6369
48-02510,51,1,6,0,1,0,6,1,1,3092.4,8680,14,8,125700.0,3,336,N,2,2,2,2,169,174,4365
48-02516,52,1,1,0,1,0,5,1,1,1338.4,590,8,7,61540.0,9,52,N,2,2,2,2,76,86,7163
48-02507,49,1,1,0,1,3,6,1,1,3731.1,6992,8,1,597000.0,9,500,N,2,2,2,2,15,12,3119
48-02102,62,2,1,0,1,0,3,1,1,450.9,6992,6,7,60.0,7,52,N,2,2,2,2,10,8,1907
48-02510,60,1,1,0,1,0,2,1,1,3092.4,2890,4,1,77500.0,3,501,N,2,1,2,2,41,73,6733
48-02515,18,1,6,0,1,1,3,1,1,2134.8,8570,14,4,-1300.0,0,127,N,2,2,2,2,77,131,5498
48-02102,5,2,2,2,1,N,N,1,0,450.9,N,N,9,99000.0,N,98,N,N,N,2,2,85,13,8681
48-02102,76,2,1,0,1,0,2,1,1,357.4,9920,10,4,27500.0,5,250,N,2,2,2,2,45,49,7353
48-02507,57,2,1,0,1,0,2,1,1,3731.1,9920,N,2,N,N,223,N,2,2,2,2,50,14,7436
48-02515,63,1,1,0,1,1,2,1,1,3092.4,5790,6,6,137000.0,5,474,N,2,2,2,2,16,11,577
48-02515,57,2,6,0,2,0,N,1,2,3092.4,9920,N,3,100000.0,0,87,N,2,2,2,2,68,75,4694
48-02507,36,1,N,0,1,0,6,1,1,2134.8,6080,3,7,58600.0,5,219,N,2,2,2,2,54,23,3832
48-02507,24,2,1,0,1,0,3,1,1,3731.1,9370,14,7,150400.0,9,480,N,2,2,2,2,83,56,1801
48-02507,62,1,1,0,1,0,4,1,1,3731.1,7580,10,8,-1300.0,9,501,N,2,2,2,2,90,93,591
48-02507,78,1,1,0,1,0,2,1,1,3731.1,7870,10,1,8000.0,8,46,N,2,2,2,2,43,50,3680
48-02515,58,1,4,0,1,0,3,1,2,2134.8,7980,11,4,134000.0,6,35,N,2,2,2,2,42,46,7033
48-02510,63,2,1,0,1,0,2,1,1,3092.4,7770,11,1,860.0,6,501,N,2,2,2,2,46,50,4439
48-02515,5,1,N,0,1,2,4,1,1,2134.8,9920,N,9,9900.0,N,464,N,N,N,2,2,85,49,3537
48-02510,55,2,1,0,1,1,3,1,2,3092.4,8690,14,6,142000.0,4,501,N,2,2,2,2,121,96,7014
48-02516,61,1,1,0,1,0,2,1,1,1338.4,9190,9,9,56190.0,9,52,N,2,2,2,2,119,122,617
48-02507,37,1,1,0,1,0,2,1,1,2134.8,7780,4,3,42000.0,8,47,N,2,2,2,2,45,47,1961
48-02101,38,2,6,4,1,2,4,1,1,450.9,5090,5,5,22000.0,3,245,N,2,2,2,2,175,242,837
48-02510,39,1,6,1,1,0,5,1,1,3092.4,9920,N,3,34500.0,5,234,N,2,2,2,2,48,57,7529
48-02101,48,1,1,0,1,0,3,1,1,357.4,8670,15,7,79700.0,8,501,N,2,2,2,2,42,48,1584
48-02510,61,2,1,0,1,0,4,1,1,450.9,9920,N,3,99300.0,8,52,N,2,1,2,2,76,76,5342
48-02102,54,2,1,0,1,0,2,1,1,450.9,4880,6,8,10000.0,7,52,N,2,2,2,2,78,85,2240
48-02510,49,1,1,0,1,1,3,1,1,357.4,6992,11,8,137920.0,9,501,N,2,2,2,2,76,86,7458
48-02101,49,2,4,4,2,N,6,1,0,357.4,7870,3,9,101700.0,3,233,N,2,N,2,2,88,82,4612
48-02516,37,2,1,0,1,1,3,1,1,357.4,7880,11,12,36800.0,6,52,N,2,2,2,2,140,132,2051
48-02516,48,2,1,1,1,0,4,1,1,3092.4,7970,11,1,57000.0,0,500,N,2,2,2,2,125,91,4268
48-02101,56,2,1,0,1,0,2,1,1,2134.8,2880,15,5,77500.0,8,52,N,2,2,2,2,78,135,4226
48-02516,54,2,6,0,1,0,2,1,1,2134.8,2780,4,6,103580.0,7,500,N,2,2,2,2,44,50,3203
48-02102,57,2,4,0,1,0,2,1,1,450.9,5090,6,4,100030.0,1,391,N,2,2,2,2,80,50,1759
48-02510,28,2,1,0,8,0,3,1,1,3092.4,7980,10,9,2330.0,9,52,N,2,2,2,2,43,49,5727
48-02516,10,2,N,0,1,2,4,1,1,1338.4,9920,9,3,N,N,252,N,2,2,2,2,248,128,8837
48-02516,55,2,1,0,1,0,2,1,1,1338.4,2880,11,8,80430.0,8,501,N,2,2,2,2,127,131,4148
48-02102,41,1,1,0,1,2,4,1,1,450.9,7072,6,4,600.0,8,468,N,2,2,2,2,119,86,610
48-02510,28,1,1,0,1,0,2,1,1,3092.4,7072,3,8,10200.0,8,500,N,2,2,2,2,46,80,814
48-02102,61,1,6,0,1,0,3,1,1,450.9,8660,5,4,21300.0,4,206,N,2,2,2,2,84,51,2068
48-02510,64,2,1,0,1,0,2,1,1,3092.4,7880,11,6,136000.0,1,501,N,2,2,2,2,43,47,3940
48-02101,70,1,1,0,1,0,5,1,1,357.4,6170,8,5,390600.0,4,225,N,2,2,2,2,51,55,1718
48-02101,45,1,1,0,1,1,N,1,1,357.4,9920,4,5,-1300.0,0,52,N,1,2,2,2,19,14,435
48-02510,16,1,N,1,8,2,7,1,1,3092.4,N,N,3,9950.0,9,220,N,2,2,2,2,91,98,8564
48-02515,17,1,1,0,1,0,4,1,1,450.9,9920,N,3,785000.0,1,501,N,2,2,2,2,122,96,4034
48-02507,57,1,4,0,2,0,N,1,2,3731.1,7860,6,6,59800.0,6,400,N,2,1,2,1,49,52,7054
48-02507,14,1,6,0,1,1,4,1,1,3731.1,9920,N,3,101000.0,0,52,N,2,2,2,2,39,17,3803
48-02101,64,2,1,0,1,0,2,1,1,2134.8,7270,10,7,59500.0,6,468,N,2,2,2,2,43,50,2994
48-02515,58,1,4,0,1,0,2,1,1,2134.8,7680,9,7,-600.0,0,213,N,2,2,2,2,71,52,5261
48-02516,3,2,N,0,1,3,6,1,2,357.4,N,N,9,N,9,235,N,N,N,2,2,89,88,5740
48-02101,58,2,1,4,1,0,7,1,1,357.4,9920,N,4,130100.0,3,245,N,1,1,2,2,81,181,6694
48-02515,63,1,4,0,1,0,2,1,1,2134.8,5381,10,7,357200.0,4,52,N,2,2,2,2,56,53,2191
48-02507,55,1,6,0,1,N,N,1,2,3731.1,3170,9,3,199350.0,3,143,N,2,1,2,2,87,56,5657
48-02515,35,2,6,1,8,3,8,1,1,2134.8,8660,6,7,21900.0,3,210,N,2,2,2,2,60,52,3146
48-02515,57,1,1,0,1,0,3,1,1,450.9,6991,4,7,78400.0,9,501,N,2,2,2,2,41,8,1638
48-02510,64,1,1,0,8,0,2,1,1,3092.4,590,6,6,-400.0,7,345,N,2,2,2,2,51,59,4816
48-02507,40,1,4,0,2,2,3,1,1,3731.1,5180,8,6,100030.0,3,501,N,2,2,2,2,395,199,1909
48-02101,16,2,6,0,1,N,N,3,0,357.4,5070,5,5,-1300.0,2,N,N,2,2,2,2,19,2,509
48-02507,25,2,6,0,1,0,N,1,1,3731.1,8660,14,5,125800.0,3,501,N,2,2,2,2,76,90,2018
48-02101,72,1,4,1,1,0,N,1,2,357.4,7181,10,5,397000.0,7,348,N,2,2,2,2,55,60,5662
48-02102,51,1,6,0,1,0,N,1,1,450.9,7880,10,4,42110.0,6,52,N,2,2,2,2,87,80,1827
48-02101,4,2,N,0,1,3,5,1,1,357.4,9920,N,3,99060.0,N,89,N,2,2,2,2,125,90,8770
48-02102,73,2,1,0,1,0,2,1,1,2134.8,9290,14,8,24000.0,7,52,N,2,2,2,2,57,58,4885
48-02102,81,1,3,0,1,0,2,1,2,3092.4,N,9,5,42400.0,7,233,N,2,2,2,2,204,85,3761
48-02515,14,1,6,0,1,3,6,1,1,357.4,N,N,3,143200.0,N,9,N,2,2,2,2,81,49,5473
48-02102,59,2,5,0,1,0,2,1,1,450.9,2980,4,7,99300.0,N,227,N,2,2,2,2,11,49,8636
48-02507,38,1,1,0,1,2,4,1,1,2134.8,7870,10,1,35300.0,9,52,N,2,2,2,2,85,85,3931
48-02101,48,1,1,0,1,2,3,1,1,1338.4,9920,N,4,101200.0,0,331,N,2,2,2,2,83,85,532
48-02102,40,2,4,1,1,0,3,1,2,450.9,8680,9,6,22200.0,4,87,N,2,2,2,2,49,52,672
48-02101,55,1,1,0,2,1,5,1,1,450.9,9370,14,6,13600.0,8,501,N,2,2,2,2,161,93,4241
48-02515,62,1,6,1,1,0,2,1,1,2134.8,9920,N,3,102100.0,0,122,N,2,2,2,2,91,96,3169
48-02101,70,2,5,0,1,2,6,1,1,357.4,5090,14,7,21900.0,1,380,N,2,2,2,2,53,55,4538
48-02101,63,2,4,0,1,0,N,1,1,357.4,7860,11,9,82500.0,1,418,N,2,2,2,2,80,49,4948
48-02507,39,1,6,0,1,2,3,1,2,3731.1,8690,14,1,147000.0,9,500,N,2,2,2,2,18,14,619
48-02515,55,2,4,0,1,0,N,1,2,2134.8,4972,9,4,221600.0,1,230,N,2,2,2,2,247,46,3770
48-02515,15,1,6,0,1,1,2,1,1,2134.8,580,6,3,85920.0,8,501,N,2,2,2,2,52,16,1898
48-02515,27,2,6,0,1,0,2,1,2,2134.8,9370,15,6,13790.0,3,398,N,2,2,2,2,83,127,1549
48-02510,61,2,6,1,6,0,2,1,1,3092.4,9920,6,4,58240.0,1,214,N,2,2,2,2,45,50,6529
48-02102,27,1,6,0,1,0,2,1,1,450.9,4980,6,4,307000.0,5,225,N,2,2,2,2,55,58,5570
48-02515,72,2,6,0,1,0,2,1,1,2134.8,9920,6,6,101100.0,1,52,N,2,2,2,2,48,46,5737
48-02102,74,2,4,0,1,0,3,1,1,450.9,7860,11,6,60600.0,3,402,N,2,2,2,2,126,131,5188
48-02507,28,2,6,0,2,0,5,1,1,3731.1,6991,10,3,38020.0,1,5,N,2,2,2,2,157,177,7453
48-02102,36,1,6,0,1,0,7,1,2,450.9,7780,3,6,133800.0,0,14,N,2,2,2,2,53,53,612
48-02515,40,1,N,0,2,0,4,1,1,1338.4,7072,8,12,99060.0,9,52,N,2,2,2,2,177,282,8757
48-02102,18,2,N,0,1,1,4,1,1,450.9,8660,14,5,54200.0,1,476,N,2,2,2,2,49,50,5807
48-02102,74,2,3,0,1,0,N,1,2,450.9,N,N,3,N,1,80,N,2,2,2,2,288,266,830
48-02102,4,1,N,0,1,0,4,1,1,450.9,N,N,3,N,N,52,N,2,2,2,2,15,13,8641
48-02507,12,2,6,0,1,0,3,1,1,3731.1,8680,14,7,137000.0,3,500,N,2,2,2,2,39,13,2177
48-02102,77,1,1,0,1,0,2,1,1,450.9,3180,3,7,597000.0,9,52,N,2,2,2,2,39,42,2536
48-02101,63,2,4,0,1,0,3,1,1,357.4,7880,11,7,21600.0,4,500,N,2,2,2,2,46,49,4940
48-02507,41,1,1,0,1,2,4,1,1,3731.1,7770,9,7,10070.0,N,52,N,2,2,2,2,54,94,5485
48-02102,38,2,1,0,1,0,2,1,1,1338.4,N,9,7,100004.0,0,327,N,2,2,2,2,88,75,491
48-02507,30,2,6,0,2,3,5,1,1,3731.1,5690,N,5,52200.0,0,213,N,2,2,2,2,373,53,5431
48-02510,16,1,6,1,6,0,2,1,2,357.4,9920,9,3,-6300.0,0,144,N,2,2,2,2,83,80,2933
48-02102,13,2,N,0,1,1,5,1,2,450.9,9920,6,3,990.0,2,321,N,2,2,2,2,53,179,1689
48-02102,63,2,1,0,1,0,2,1,1,2134.8,290,6,6,100200.0,7,501,N,2,2,2,2,15,14,5612
48-02102,70,2,1,0,1,0,2,1,2,450.9,N,N,6,101000.0,0,138,N,2,1,2,2,41,46,6378
48-02507,12,2,1,0,1,1,3,1,2,2134.8,9920,N,4,130.0,0,229,N,2,2,2,2,65,39,4117
48-02510,66,1,1,0,1,0,2,1,1,3092.4,9170,3,4,10200.0,9,501,N,2,2,2,2,89,95,7074
48-02515,16,1,1,0,1,1,4,1,1,2134.8,6070,8,2,60500.0,8,501,N,2,2,2,2,83,118,8740
48-02507,38,2,4,1,1,0,3,1,1,3092.4,8670,14,6,40000.0,1,357,N,2,2,2,2,40,41,591
48-02516,69,2,1,0,1,0,2,1,1,1338.4,8670,14,1,80040.0,8,501,N,2,2,2,2,43,9,7013
48-02101,57,2,1,0,1,0,5,1,1,357.4,770,6,8,30350.0,5,408,N,2,2,2,2,85,86,4860
48-02510,4,1,N,0,1,0,2,1,1,1338.4,3370,N,9,990.0,7,500,N,2,2,2,2,44,70,5158
48-02515,58,1,6,0,1,0,3,1,1,450.9,9090,2,4,57010.0,1,145,N,2,2,2,2,79,84,5736
48-02101,27,2,2,1,1,2,7,1,1,1338.4,9920,N,5,101200.0,0,40,N,2,2,2,2,101,151,3683
48-02102,66,1,1,0,1,0,2,1,1,450.9,N,N,1,13650.0,8,52,N,2,2,2,2,77,83,3971
48-02507,12,2,N,1,1,2,4,1,1,357.4,9920,N,2,N,N,464,N,2,2,2,2,83,192,8626
48-02102,43,2,1,0,1,0,2,1,1,450.9,N,9,6,39600.0,0,501,N,2,2,2,1,77,50,4886
48-02101,51,2,4,0,1,0,3,1,1,357.4,7072,9,7,409000.0,5,500,N,2,2,2,2,58,55,5686
48-02510,58,2,1,0,1,0,2,1,1,3092.4,7071,10,8,100004.0,9,501,N,2,2,2,2,90,90,5218
48-02510,40,1,1,0,1,0,5,1,1,3092.4,7880,11,8,8590.0,9,53,N,2,2,2,2,74,83,672
48-02515,36,1,1,0,1,0,2,1,1,2134.8,7780,10,1,2330.0,7,501,N,2,2,2,2,46,48,2835
48-02510,62,1,1,0,1,0,2,1,1,357.4,6991,8,9,137920.0,9,52,N,2,2,2,2,51,51,6441
48-02516,45,1,1,0,1,0,2,1,1,357.4,5180,6,8,565600.0,7,402,N,2,2,2,2,87,53,731
48-02102,69,1,1,0,1,0,2,1,1,450.9,7770,8,7,78000.0,8,401,N,2,2,2,2,50,56,2115
48-02102,39,2,1,0,1,3,6,1,1,450.9,9920,9,12,210000.0,3,347,N,2,2,2,2,184,287,5630
48-02516,65,2,6,1,1,0,3,1,1,1338.4,9920,N,3,47900.0,6,390,N,2,2,2,2,82,60,5413
48-02102,63,2,1,0,1,0,2,1,1,450.9,7880,10,4,60350.0,9,52,N,2,2,2,2,73,76,7466
48-02510,36,1,1,0,1,0,5,1,1,3731.1,5070,10,8,131700.0,2,32,N,2,2,2,2,52,54,902
48-02101,27,1,1,0,8,6,7,1,1,450.9,9920,N,5,10300.0,0,85,N,2,2,2,2,432,62,8572
48-02510,57,2,1,1,1,1,3,1,1,3092.4,7980,11,1,22200.0,8,501,N,2,2,2,2,137,99,3559
48-02102,63,1,1,0,1,0,2,1,1,357.4,6992,10,1,13300.0,8,52,N,2,2,2,2,84,83,816
48-02516,26,1,1,0,1,1,3,1,2,3731.1,7860,10,4,225060.0,4,465,N,2,2,2,2,51,54,7541
48-02507,38,2,4,0,1,1,3,1,2,3731.1,7880,14,8,25450.0,3,217,N,2,2,2,2,49,48,7388
48-02510,6,1,4,0,1,0,2,1,1,3092.4,9920,N,4,100004.0,3,214,N,2,2,2,2,68,49,2314
48-02516,12,1,N,0,1,2,3,1,1,1338.4,9920,N,3,N,N,155,N,N,N,2,2,83,21,8739
48-02101,62,2,1,0,1,0,2,1,1,357.4,5275,6,4,80050.0,1,216,N,1,2,2,2,43,45,4815
48-02101,25,1,6,1,1,0,N,1,2,2134.8,570,7,9,N,4,228,N,2,2,2,2,87,105,7497
48-02516,45,2,1,0,1,0,5,1,2,1338.4,7970,N,1,62000.0,7,232,N,2,2,2,2,124,85,653
48-02102,24,1,1,1,8,0,2,1,1,450.9,6970,11,7,397000.0,6,400,N,2,2,2,2,319,192,1821
48-02510,18,2,2,0,1,1,4,1,1,3092.4,7071,10,6,136060.0,3,500,N,2,2,2,2,15,52,7558
48-02516,60,1,5,0,1,0,3,1,2,2134.8,9920,N,5,-6300.0,N,219,N,N,1,2,2,83,196,5709
48-02102,63,1,1,0,1,0,2,1,1,3092.4,2680,4,5,59050.0,8,52,N,2,2,2,2,87,54,6477
48-02510,49,1,3,0,1,0,4,1,1,3092.4,7280,10,1,15000.0,9,501,N,2,2,2,2,86,54,7096
48-02516,16,1,N,0,9,2,4,1,1,1338.4,6970,14,4,99200.0,1,397,N,2,2,2,2,86,91,7183
48-02101,3,2,N,1,1,3,5,1,1,357.4,N,N,9,99000.0,N,32,N,N,N,2,2,146,87,8665
48-02516,8,1,N,0,1,2,4,1,1,1338.4,9920,N,12,N,9,501,N,2,2,2,2,47,80,3218
48-02101,28,1,1,0,1,1,3,1,2,357.4,7890,11,9,100000.0,0,348,N,2,2,2,2,90,92,4246
48-02516,36,2,1,0,1,2,2,1,2,450.9,9290,8,8,82500.0,6,244,N,2,2,2,2,22,58,576
48-02102,66,2,5,0,1,0,3,1,1,450.9,N,N,3,128560.0,1,133,N,2,2,2,2,38,44,2014
48-02507,53,1,1,0,1,1,3,1,1,3731.1,6890,8,7,61600.0,7,483,N,2,2,2,2,44,49,1689
48-02507,64,1,5,0,1,0,2,1,1,357.4,7770,10,8,9900.0,1,52,N,2,1,2,2,82,90,5467
48-02516,59,2,3,0,1,0,2,1,1,1338.4,7860,9,5,58010.0,7,52,N,2,2,2,2,75,80,5255
48-02510,57,1,1,0,1,0,4,1,1,3092.4,N,4,6,100000.0,1,468,N,2,2,2,2,53,51,5674
48-02102,66,1,1,0,1,0,2,1,1,3092.4,3095,4,9,59240.0,9,52,N,2,2,2,2,44,48,2133
48-02515,4,2,N,0,1,4,6,1,1,2134.8,N,N,3,99800.0,9,137,N,2,N,2,2,158,93,8731
48-02102,77,2,3,0,1,0,4,1,1,450.9,9920,9,4,9950.0,1,52,N,2,2,2,2,14,18,1721
48-02101,38,2,1,0,6,1,6,1,1,357.4,9170,9,9,212600.0,9,411,N,2,2,2,2,48,48,7793
48-02102,61,2,1,0,1,0,2,1,1,357.4,9920,3,6,81500.0,8,501,N,2,2,2,2,17,18,3686
48-02510,16,1,6,4,1,2,N,1,2,3092.4,7690,3,4,-1300.0,0,133,N,2,2,2,2,89,51,5352
48-02102,29,2,1,0,1,1,3,1,1,450.9,8660,14,5,10.0,3,322,N,2,2,2,2,233,239,2039
48-02507,43,1,6,0,2,0,2,1,2,3731.1,9920,N,4,100000.0,0,247,N,2,2,2,2,82,61,6080
48-02507,46,1,1,1,1,3,5,1,1,3731.1,9920,8,6,36300.0,9,410,N,2,2,2,2,80,58,1761
48-02510,38,1,1,0,1,0,2,1,1,3092.4,7880,4,9,140.0,3,340,N,2,2,2,2,87,86,3995
48-02516,16,1,6,0,6,0,3,1,1,1338.4,9920,N,7,133700.0,N,501,N,2,2,2,2,56,57,4522
48-02101,59,2,1,0,1,0,2,1,1,450.9,N,9,6,81050.0,7,330,N,2,2,2,2,126,52,4322
48-02102,56,2,1,0,1,0,3,1,1,450.9,7071,9,7,58010.0,9,501,N,2,2,2,2,63,73,4366
48-02102,36,1,1,0,1,1,3,1,1,450.9,490,6,6,8210.0,1,501,N,2,2,2,2,53,53,2019
48-02510,66,1,1,0,1,0,2,1,1,3092.4,6180,6,4,130000.0,9,500,N,2,2,2,2,76,48,1876
48-02102,61,2,4,0,1,0,3,1,2,450.9,9370,6,4,20650.0,4,500,N,2,2,2,2,83,115,2111
48-02515,18,1,6,0,1,0,2,1,1,2134.8,9920,N,8,129900.0,3,501,N,2,2,2,2,48,47,1919
48-02516,40,1,1,0,1,0,3,1,1,1338.4,9920,N,6,8100.0,8,52,N,2,2,2,2,85,86,5981
48-02101,30,2,1,0,1,1,4,1,1,357.4,9190,15,7,57000.0,5,310,N,2,2,2,2,256,192,1782
48-02515,38,2,6,0,1,N,N,2,0,3092.4,9920,N,4,139000.0,0,83,N,2,2,2,2,18,4,396
48-02510,74,1,1,0,1,0,5,1,1,3092.4,9920,9,4,39600.0,N,285,N,2,2,2,2,84,86,7521
48-02516,46,1,6,0,1,3,5,1,1,1338.4,7071,9,9,202000.0,0,501,N,2,2,2,2,93,99,1522
48-02510,35,1,6,1,6,2,6,1,1,3092.4,2680,3,2,58500.0,3,254,N,2,2,2,2,169,50,7770
48-02102,16,2,1,0,1,1,3,1,1,450.9,9920,N,5,100200.0,0,125,N,2,2,2,2,131,90,1691
